SampleID	SoilType	Al	Al2O3	Ba	BaO	Br	Ca	CaO	Ce	CeO2	Cl	Co	CoO	Cr	Cr2O3	Cs	Cu	CuO	Diameter	Eu	Eu2O3	Fe	Fe2O3	Ga	Ga2O3	Gd	Gd2O3	K	K2O	La	La2O3	Material	Method	Mg	MgO	Mn	MnO	Mo	MoO3	Mode	Na	Na2O	Nd	Nd2O3	Ni	NiO	P	P2O5	Pr	Pr6O11	S	SO3	Sc	Sc2O3	Si	SiO2	Sm	Sm2O3	Sr	SrO	Ti	TiO2	V	V2O5	Zn	ZnO	Zr	ZrO2
V1Sr1	Surface	0.78	1.5	0.0	0.0	0.0	0.79	1.1	0.33	0.4	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.351	0.502	0.0	0.0	0.0	0.0	0.34	0.4	0.19	0.0	Oxides	Fast Screening-He8mm	0.19	0.0	0.0	0.0	0.0	0.0	He	0.08	0.0	0.084	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.053	0.0	0.0	0.0	20.1	43.0	0.0	0.0	0.0	0.0	0.14	0.24	0.0	0.0	0.0	0.0	0.055	0.074
V2Sr1	Surface	1.6	3.1	0.0	0.0	0.0	1.3	1.8	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.015	0.019	8mm	0.0	0.0	0.762	1.09	0.0	0.0	0.0	0.0	0.63	0.76	0.0	0.0	Oxides	Fast Screening-He8mm	0.38	0.63	0.0	0.0	0.018	0.027	He	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.067	0.17	0.028	0.0	20.2	43.3	0.0	0.0	0.027	0.032	0.2	0.0	0.01	0.0	0.0	0.0	0.054	0.073
V3Sr1	Surface	1.9	3.5	0.28	0.0	0.0	0.9	1.3	0.0	0.0	0.38	0.0	0.0	0.008	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.521	0.745	0.0	0.0	0.0	0.0	0.52	0.62	0.0	0.0	Oxides	Fast Screening-He8mm	0.24	0.39	0.0	0.0	0.0	0.0	He	0.12	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.078	0.0	0.12	0.0	0.0	0.0	18.5	39.5	0.0	0.0	0.031	0.037	0.097	0.16	0.022	0.0	0.0	0.0	0.0	0.0
V4Sr1	Surface	1.2	2.2	0.36	0.0	0.0	0.76	1.1	0.0	0.0	0.049	0.0	0.0	0.029	0.042	0.0	0.0	0.0	8mm	0.0	0.0	0.468	0.669	0.0	0.0	0.0	0.0	0.57	0.68	0.0	0.0	Oxides	Fast Screening-He8mm	0.31	0.52	0.0	0.0	0.0	0.0	He	0.18	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.044	0.0	0.0	0.0	20.6	44.1	0.0	0.0	0.0	0.0	0.12	0.2	0.0	0.0	0.0	0.0	0.0	0.0
V5Sr1	Surface	1.8	3.3	0.21	0.0	0.0	2.12	2.96	0.14	0.17	0.052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.907	1.3	0.0	0.0	0.0	0.0	0.72	0.87	0.0	0.0	Oxides	Fast Screening-He8mm	0.36	0.59	0.0	0.0	0.0	0.0	He	0.31	0.41	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.036	0.0	0.0	0.0	19.2	41.0	0.0	0.0	0.028	0.033	0.34	0.57	0.004	0.0	0.0	0.0	0.0	0.0
V6Sr1	Surface	1.3	2.4	0.0	0.0	0.0	2.34	3.28	0.0	0.0	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.827	1.18	0.0	0.0	0.0	0.0	0.62	0.75	0.11	0.0	Oxides	Fast Screening-He8mm	0.4	0.66	0.0	0.0	0.0	0.0	He	0.13	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.027	0.0	0.0	0.0	19.2	41.1	0.0	0.0	0.0	0.0	0.14	0.0	0.015	0.0	0.0	0.0	0.047	0.063
V7Sr1	Surface	1.3	2.4	0.0	0.0	0.0	0.82	1.2	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.408	0.583	0.0	0.0	0.0	0.0	0.38	0.46	0.0	0.0	Oxides	Fast Screening-He8mm	0.2	0.0	0.0	0.0	0.0	0.0	He	0.11	0.0	0.0	0.0	0.0	0.0	0.092	0.0	0.13	0.0	0.039	0.0	0.0	0.0	21.6	46.3	0.0	0.0	0.0	0.0	0.089	0.0	0.03	0.0	0.0	0.0	0.029	0.039
V8Sr1	Surface	1.2	2.3	0.0	0.0	0.0	2.63	3.67	0.0	0.0	0.042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.888	1.27	0.0	0.0	0.0	0.0	0.69	0.83	0.1	0.0	Oxides	Fast Screening-He8mm	0.33	0.55	0.057	0.074	0.0	0.0	He	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.2	43.1	0.094	0.0	0.0	0.0	0.22	0.37	0.002	0.0	0.0	0.0	0.042	0.057
V9Sr1	Surface	0.95	1.8	0.18	0.0	0.0	0.83	1.2	0.0	0.0	0.071	0.0	0.0	0.001	0.0	0.0	0.0	0.0	8mm	0.0	0.0	0.33	0.471	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	Oxides	Fast Screening-He8mm	0.2	0.33	0.0	0.0	0.0	0.0	He	0.17	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.093	0.23	0.0	0.0	22.1	47.4	0.0	0.0	0.0	0.0	0.082	0.14	0.042	0.074	0.0	0.0	0.0	0.0
V10Sr1	Surface	1.9	3.5	0.076	0.0	0.0	2.77	3.88	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8mm	0.0	0.0	1.04	1.48	0.0	0.0	0.0	0.0	0.74	0.89	0.0	0.0	Oxides	Fast Screening-He8mm	0.29	0.47	0.0	0.0	0.0	0.0	He	0.43	0.58	0.0	0.0	0.0	0.0	0.031	0.0	0.079	0.0	0.0	0.0	0.029	0.0	20.0	42.8	0.0	0.0	0.036	0.043	0.21	0.0	0.058	0.1	0.0	0.0	0.004	0.006
