Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	20.2	XRF 0	Si KA1-HR-Tr	19.82	20.2	0.0254		30 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.3991	11	0.179		35 um	1.23	24.16								
Ca	20	1.6	XRF 0	Ca KA1-HR-Tr	2.984	1.6	0.0655		80 um	1.02	20	Ca KB1-HR-Tr	0.3953	0.86	0.45		100 um	1.02	20								
Al	13	1	XRF 0	Al KA1-HR-Tr	0.8774	1	0.302		21.2 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03913	3.8	0.572		23.8 um	1.38	23.44								
K	19	0.97	XRF 0	K  KA1-HR-Tr	1.872	0.97	0.0827		63 um	1.03	19.06	K  KB1-HR-Tr	0.2058	0.49	0.623		78 um	1.02	19.06								
Ba	56	0.53	XRF 0	Ba LA1-HR-Tr	0.0875	0.064	0.382		121 um	1.01	21.32	Ba LB1-HR-Tr	0.1605	0.53	0.706		150 um	1.01	21.32	Ba KA1-HR-Tr	1.126	0.4	0.657	167.9 PPM	3.4 cm	1	11.39
Fe	26	0.506	XRF 0	Fe KA1-HR-Tr	5.738	0.506	0.0487	35.0 PPM	0.31 mm	1	21.51	Fe KB1-HR-Tr	0.8173	0.13	0.158	215.6 PPM	0.41 mm	1	21.51								
Mg	12	0.37	XRF 0	Mg KA1-HR-Tr	0.3166	0.37	0.201		13.8 um	1.75	23.78																
Na	11	0.3	XRF 0	Na KA1-HR-Tr	0.04793	0.3	1.29		8.7 um	2.5	32.61																
P	15	0.19	XRF 0	P  KA1-HR-Tr	0.1905	0.19	0.259		16.9 um	1.18	22.22																
Pr	59	0.15	XRF 0	Pr LA1-HR-Tr	0.08382	0.15	0.391		169 um	1.01	21.32	Pr LB1-HR-Tr	0.0587	0.1	1.17		209 um	1.01	21.23	Pr MA1-HR-Tr	0.02105	2.9	0.78		6.6 um	3.43	32.61
Cl	17	0.059	XRF 0	Cl KA1-HR-Tr	0.06382	0.059	1.12		33 um	1.08	22.22																
S	16	0.046	XRF 0	S  KA1-HR-Tr	0.08288	0.046	0.982		23.2 um	1.12	22.22																
Cr	24	0.044	XRF 0	Cr KA1-HR-Tr	0.2434	0.044	0.229		201 um	1.01	21.23	Cr KB1-HR-Tr	-0.00737	-0.003		304.3 PPM	258 um	1	21.23								
Sr	38	0.036	XRF 0	Sr KA1-HR-Tr	1.204	0.036	0.432	9.9 PPM	2.89 mm	1	18.25	Sr KB1-HR-Tr	1.606	0.2	0.146	57.3 PPM	4.0 mm	1	17.3	Sr LA1-HR	0.03785	-0.008	1.45		34 um	1.24	24.16
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	41.4	XRF 1	Si KA1-HR-Tr	18.76	41.4	0.0261		28.7 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.6646	40	0.139		33 um	1.23	24.16								
Al2O3	13	2.8	XRF 1	Al KA1-HR-Tr	1.302	2.8	0.0992		20.7 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.1142	21	0.335		23.2 um	1.38	23.44								
CaO	20	2.5	XRF 1	Ca KA1-HR-Tr	3.44	2.5	0.061		79 um	1.02	20	Ca KB1-HR-Tr	0.3697	1.1	0.186		99 um	1.02	20								
K2O	19	1.2	XRF 1	K  KA1-HR-Tr	2.007	1.2	0.0799		62 um	1.03	19.06	K  KB1-HR-Tr	0.3283	0.93	0.197		78 um	1.02	19.06								
Fe2O3	26	0.668	XRF 1	Fe KA1-HR-Tr	5.288	0.668	0.0502	38.1 PPM	0.30 mm	1	21.51	Fe KB1-HR-Tr	0.9703	0.23	0.137	281.5 PPM	0.39 mm	1	21.51								
TiO2	22	0.2	XRF 1	Ti KA1-HR-Tr	0.2597	0.2	0.222		120 um	1.01	21.32	Ti KB1-HR-Tr	0.00335	-0.002	4.89		154 um	1.01	21.32								
Sm2O3	62	0.1	XRF 1	Sm LA1-HR-Tr	0.1166	0.1	0.331		219 um	1.01	21.23	Sm LB1-HR-Tr	0.1892	0.23	0.65		279 um	1	21.23								
MnO	25	0.049	XRF 1	Mn KA1-HR-Tr	0.3281	0.049	0.198		245 um	1	21.23	Mn KB1-HR-Tr	0.1035	0.027	1.6	306.8 PPM	0.31 mm	1	21.23								
ZrO2	40	0.041	XRF 1	Zr KA1-HR-Tr	1.068	0.041	0.213	12.4 PPM	3.8 mm	1	17.3	Zr KB1-HR-Tr	0.3984	0.094	1.52	81.2 PPM	5.3 mm	1	17.3	Zr LA1-HR	0.04952	0.24	0.508		17.2 um	1.17	22.22
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
