Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	20.9	XRF 0	Si KA1-HR-Tr	19.41	20.9	0.0257		23.5 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.1515	8.2	0.727		27.1 um	1.23	24.16								
Cl	17	4.06	XRF 0	Cl KA1-HR-Tr	4.479	4.06	0.0535		31 um	1.08	22.22																
Ca	20	3.86	XRF 0	Ca KA1-HR-Tr	6.889	3.86	0.0431		65 um	1.02	20	Ca KB1-HR-Tr	0.6746	2.1	0.138		82 um	1.02	20								
Na	11	3.2	XRF 0	Na KA1-HR-Tr	0.4673	3.2	0.166		7.8 um	2.5	32.61																
Al	13	1.7	XRF 0	Al KA1-HR-Tr	1.358	1.7	0.0971		16.7 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03913	4.2	0.572		18.8 um	1.38	23.44								
Mg	12	1.3	XRF 0	Mg KA1-HR-Tr	1.01	1.3	0.113		11.3 um	1.75	23.78																
K	19	0.99	XRF 0	K  KA1-HR-Tr	1.775	0.99	0.0849		51 um	1.03	19.06	K  KB1-HR-Tr	0.3226	1.1	0.498		63 um	1.02	19.06								
Fe	26	0.456	XRF 0	Fe KA1-HR-Tr	4.647	0.456	0.0538	38.8 PPM	247 um	1	21.51	Fe KB1-HR-Tr	0.8214	0.22	0.15	256.2 PPM	0.32 mm	1	21.51								
S	16	0.23	XRF 0	S  KA1-HR-Tr	0.4248	0.23	0.174		22.1 um	1.12	22.22																
Nd	60	0.097	XRF 0	Nd LA1-HR-Tr	0.08161	0.097	0.99		141 um	1.01	21.23	Nd LB1-HR-Tr	0.1648	0.091	0.697		181 um	1.01	21.23	Nd MA1-HR-Tr	0.04786	2.8	1.29		6.7 um	2.93	32.61
Ti	22	0.081	XRF 0	Ti KA1-HR-Tr	0.16	0.081	0.283		95 um	1.01	21.32	Ti KB1-HR-Tr	0.08286	0.18	0.983		121 um	1.01	21.32								
Pr	59	0.075	XRF 0	Pr LA1-HR-Tr	0.04965	0.075	1.27		127 um	1.01	21.32	Pr LB1-HR-Tr	0.0522	0.032	1.24		162 um	1.01	21.23	Pr MA1-HR-Tr	0.02105	2.8	0.78		5.9 um	3.43	32.61
Sr	38	0.054	XRF 0	Sr KA1-HR-Tr	2.286	0.054	0.101	12.4 PPM	2.35 mm	1	18.25	Sr KB1-HR-Tr	1.493	0.18	0.155	69.6 PPM	3.3 mm	1	17.3	Sr LA1-HR	0.07657	0.14	1.02		26.0 um	1.24	24.16
Mn	25	0.047	XRF 0	Mn KA1-HR-Tr	0.3632	0.047	0.188		198 um	1	21.23	Mn KB1-HR-Tr	-0.02351	-0.016		332.6 PPM	256 um	1	21.23								
Sc	21	0.032	XRF 0	Sc KA1-HR-Tr	0.04953	0.032	0.508		73 um	1.02	21.32																
Cr	24	0.031	XRF 0	Cr KA1-HR-Tr	0.153	0.031	0.723		156 um	1.01	21.23	Cr KB1-HR-Tr	0.1116	0.066	0.847		203 um	1	21.23								
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
																											
																											
																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	44.6	XRF 1	Si KA1-HR-Tr	19.41	44.6	0.0257		23.5 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.1515	18	0.727		27.1 um	1.23	24.16								
CaO	20	5.39	XRF 1	Ca KA1-HR-Tr	6.889	5.39	0.0431		65 um	1.02	20	Ca KB1-HR-Tr	0.6746	2.9	0.138		82 um	1.02	20								
Na2O	11	4.3	XRF 1	Na KA1-HR-Tr	0.4673	4.3	0.166		7.8 um	2.5	32.61																
Cl	17	4.06	XRF 1	Cl KA1-HR-Tr	4.479	4.06	0.0535		31 um	1.08	22.22																
Al2O3	13	3.2	XRF 1	Al KA1-HR-Tr	1.358	3.2	0.0971		16.7 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03913	7.9	0.572		18.8 um	1.38	23.44								
MgO	12	2.2	XRF 1	Mg KA1-HR-Tr	1.01	2.2	0.113		11.3 um	1.75	23.78																
K2O	19	1.2	XRF 1	K  KA1-HR-Tr	1.775	1.2	0.0849		51 um	1.03	19.06	K  KB1-HR-Tr	0.3226	1.3	0.498		63 um	1.02	19.06								
Fe2O3	26	0.652	XRF 1	Fe KA1-HR-Tr	4.647	0.652	0.0538	55.4 PPM	247 um	1	21.51	Fe KB1-HR-Tr	0.8214	0.32	0.15	366.3 PPM	0.32 mm	1	21.51								
SO3	16	0.58	XRF 1	S  KA1-HR-Tr	0.4248	0.58	0.174		22.1 um	1.12	22.22																
TiO2	22	0.14	XRF 1	Ti KA1-HR-Tr	0.16	0.14	0.283		95 um	1.01	21.32	Ti KB1-HR-Tr	0.08286	0.29	0.983		121 um	1.01	21.32								
SrO	38	0.064	XRF 1	Sr KA1-HR-Tr	2.286	0.064	0.101	14.6 PPM	2.35 mm	1	18.25	Sr KB1-HR-Tr	1.493	0.21	0.155	82.3 PPM	3.3 mm	1	17.3	Sr LA1-HR	0.07657	0.17	1.02		26.0 um	1.24	24.16
MnO	25	0.06	XRF 1	Mn KA1-HR-Tr	0.3632	0.06	0.188		198 um	1	21.23	Mn KB1-HR-Tr	-0.02351	-0.021		429.5 PPM	256 um	1	21.23								
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
