Sample 18Dr3 Best detection																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	59.8	XRF 1	Si KA1-HR-Tr	27.42	59.8	0.00624	81.5 PPM	25.9 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.6301	47.3	0.0418	0.00346	29.9 um	1.23	24.16								
Al2O3	13	2.9	XRF 1	Al KA1-HR-Tr	1.316	2.9	0.0285		18.3 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03138	5.9	0.461		20.6 um	1.38	23.44								
CaO	20	1.3	XRF 1	Ca KA1-HR-Tr	1.76	1.3	0.0246		65 um	1.02	20	Ca KB1-HR-Tr	0.2032	0.79	0.0725		82 um	1.02	20								
K2O	19	0.943	XRF 1	K  KA1-HR-Tr	1.473	0.943	0.0269		50 um	1.03	19.06	K  KB1-HR-Tr	0.1566	0.59	0.0825		63 um	1.02	19.06								
MgO	12	0.866	XRF 1	Mg KA1-HR-Tr	0.4286	0.866	0.0562	145.7 PPM	11.9 um	1.75	23.78																
Fe2O3	26	0.597	XRF 1	Fe KA1-HR-Tr	5.119	0.597	0.0147	11.7 PPM	290 um	1	21.51	Fe KB1-HR-Tr	0.8326	0.236	0.0406	68.8 PPM	0.38 mm	1	21.51								
Na2O	11	0.38	XRF 1	Na KA1-HR-Tr	0.04118	0.38	0.189	190.7 PPM	7.3 um	2.5	32.61																
TiO2	22	0.099	XRF 1	Ti KA1-HR-Tr	0.1348	0.099	0.0934	20.5 PPM	108 um	1.01	21.32	Ti KB1-HR-Tr	0.00941	0.027	1.59	173.7 PPM	139 um	1.01	21.32								
P2O5	15	0.056	XRF 1	P  KA1-HR-Tr	0.02262	0.056	0.217		13.3 um	1.18	22.22																
SrO	38	0.0307	XRF 1	Sr KA1-HR-Tr	1.167	0.0307	0.0487	3.3 PPM	2.87 mm	1	18.25	Sr KB1-HR-Tr	1.092	-0.072	0.145	23.4 PPM	4.0 mm	1	17.3	Sr LA1-HR	0.01818	-0.061	0.921	135.9 PPM	28.6 um	1.24	24.16
ZrO2	40	0.0159	XRF 1	Zr KA1-HR-Tr	1.51	0.0159	0.0439	4.2 PPM	4.0 mm	1	17.3	Zr KB1-HR-Tr	0.7449	0.13	0.0917	22.9 PPM	5.6 mm	1	17.3	Zr LA1-HR	0.00302	0.015	1.49		13.8 um	1.17	22.22
Rb2O	37	0.007	XRF 1	Rb KA1-HR-Tr	0.3037	0.007	0.148	3.3 PPM	2.43 mm	1	18.25	Rb KB1-HR-Tr	0.1021	0.014	1.22	18.3 PPM	3.4 mm	1	18.25	Rb LA1-HR					24.1 um	1	1
CuO	29	0.006	XRF 1	Cu KA1-HR-Tr	0.1328	0.006	0.17	6.5 PPM	0.54 mm	1	21.56	Cu KB1-HR-Tr	-0.01932	-0.002		39.2 PPM	0.72 mm	1	21.56	Cu LA1-HR	0.0079	0.33	0.918		5.6 um	3.4	32.61
ZnO	30	0.005	XRF 1	Zn KA1-HR-Tr	0.1321	0.005	0.185	5.6 PPM	0.66 mm	1	21.56	Zn KB1-HR-Tr	0.03496	0.002	0.753	37.6 PPM	0.89 mm	1	21.56	Zn LA1-HR-Tr	0.0118	0.053	0.752		6.8 um	2.68	32.61
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Best Detection-He8mm	Input																								
																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	28	XRF 0	Si KA1-HR-Tr	27.42	28	0.00624	38.1 PPM	25.9 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.6301	22.1	0.0418	0.00162	29.9 um	1.23	24.16								
Al	13	1.54	XRF 0	Al KA1-HR-Tr	1.316	1.54	0.0285		18.3 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03138	3.1	0.461		20.6 um	1.38	23.44								
Ca	20	0.927	XRF 0	Ca KA1-HR-Tr	1.76	0.927	0.0246		65 um	1.02	20	Ca KB1-HR-Tr	0.2032	0.57	0.0725		82 um	1.02	20								
K	19	0.783	XRF 0	K  KA1-HR-Tr	1.473	0.783	0.0269		50 um	1.03	19.06	K  KB1-HR-Tr	0.1566	0.49	0.0825		63 um	1.02	19.06								
Mg	12	0.522	XRF 0	Mg KA1-HR-Tr	0.4286	0.522	0.0562	87.8 PPM	11.9 um	1.75	23.78																
Fe	26	0.418	XRF 0	Fe KA1-HR-Tr	5.119	0.418	0.0147	8.2 PPM	290 um	1	21.51	Fe KB1-HR-Tr	0.8326	0.165	0.0406	48.1 PPM	0.38 mm	1	21.51								
Na	11	0.28	XRF 0	Na KA1-HR-Tr	0.04118	0.28	0.189	141.5 PPM	7.3 um	2.5	32.61																
Ti	22	0.059	XRF 0	Ti KA1-HR-Tr	0.1348	0.059	0.0934	12.3 PPM	108 um	1.01	21.32	Ti KB1-HR-Tr	0.00941	0.016	1.59	104.1 PPM	139 um	1.01	21.32								
Sr	38	0.026	XRF 0	Sr KA1-HR-Tr	1.167	0.026	0.0487	2.8 PPM	2.87 mm	1	18.25	Sr KB1-HR-Tr	1.092	-0.061	0.145	19.8 PPM	4.0 mm	1	17.3	Sr LA1-HR	0.01818	-0.051	0.921	115.0 PPM	28.6 um	1.24	24.16
P	15	0.024	XRF 0	P  KA1-HR-Tr	0.02262	0.024	0.217		13.3 um	1.18	22.22																
Cl	17	0.014	XRF 0	Cl KA1-HR-Tr	0.01457	0.014	0.676		26.2 um	1.08	22.22																
Zr	40	0.0117	XRF 0	Zr KA1-HR-Tr	1.51	0.0117	0.0439	3.1 PPM	4.0 mm	1	17.3	Zr KB1-HR-Tr	0.7449	0.094	0.0917	17.0 PPM	5.6 mm	1	17.3	Zr LA1-HR	0.00302	0.011	1.49		13.8 um	1.17	22.22
S	16	0.008	XRF 0	S  KA1-HR-Tr	0.01411	0.008	0.687		18.5 um	1.12	22.22																
Sc	21	0.007	XRF 0	Sc KA1-HR-Tr	0.01312	0.007	0.713		82 um	1.02	21.32																
Rb	37	0.007	XRF 0	Rb KA1-HR-Tr	0.3037	0.007	0.148	3.0 PPM	2.43 mm	1	18.25	Rb KB1-HR-Tr	0.1021	0.013	1.22	16.7 PPM	3.4 mm	1	18.25	Rb LA1-HR					24.1 um	1	1
Cu	29	0.005	XRF 0	Cu KA1-HR-Tr	0.1328	0.005	0.17	5.2 PPM	0.54 mm	1	21.56	Cu KB1-HR-Tr	-0.01932	-0.001		31.3 PPM	0.72 mm	1	21.56	Cu LA1-HR	0.0079	0.27	0.918		5.6 um	3.4	32.61
Zn	30	0.004	XRF 0	Zn KA1-HR-Tr	0.1321	0.004	0.185	4.5 PPM	0.66 mm	1	21.56	Zn KB1-HR-Tr	0.03496	0.002	0.753	30.2 PPM	0.89 mm	1	21.56	Zn LA1-HR-Tr	0.0118	0.043	0.752		6.8 um	2.68	32.61
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Best Detection-He8mm	Input																								
