processLabel	siteLabel	analyte	concentration
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Ba concentration	0.0017
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	BaO concentration	0.001898
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Ca concentration	0.2521
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	CaO concentration	0.352738
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Ce concentration	0.0032
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	CeO2 concentration	0.003931
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Fe concentration	0.1725
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Fe2O3 concentration	0.246623
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	K concentration	0.0506
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	K2O concentration	0.060953
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	La concentration	0.0032
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	La2O3 concentration	0.003753
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Mo concentration	0.0011
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Nd concentration	0.0078
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Nd2O3 concentration	0.009098
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	S concentration	0.148
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	SO3 concentration	0.369586
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Si concentration	15.1229
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	SiO2 concentration	32.35242
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Sr concentration	0.0021
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	SrO concentration	0.002483
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Th concentration	0.0042
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	Zr concentration	0.0031
Field XRF analysis (Test 5847) for Site 10 (Trip5)	Site 10	ZrO2 concentration	0.004187
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Al concentration	0.2522
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Al2O3 concentration	0.476532
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Ba concentration	0.0017
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	BaO concentration	0.001898
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Ca concentration	0.2824
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	CaO concentration	0.395134
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Fe concentration	0.1803
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Fe2O3 concentration	0.257775
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	K concentration	0.1225
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	K2O concentration	0.147563
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	La concentration	0.0028
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	La2O3 concentration	0.003284
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Rb concentration	0.0004
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	S concentration	0.1713
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	SO3 concentration	0.42777
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Si concentration	17.7482
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	SiO2 concentration	37.968724
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Sr concentration	0.0024
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	SrO concentration	0.002838
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Th concentration	0.0043
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	Zr concentration	0.0031
Field XRF analysis (Test 5848) for Site 10 (Trip5)	Site 10	ZrO2 concentration	0.004187
