role	campaign	compartment	profiles	mean_removed_read_fraction	max
biological	Trip1	deep	110	0.005520	0.059829
biological	Trip1	root-adjacent	106	0.011903	0.330885
biological	Trip1	surface	114	0.006661	0.145464
biological	Trip2	deep	9	0.004952	0.025421
biological	Trip2	root-adjacent	13	0.015298	0.058052
biological	Trip2	surface	6	0.004017	0.010155
biological	Trip3	deep	148	0.026936	1.000000
biological	Trip3	root-adjacent	162	0.026657	0.394066
biological	Trip3	surface	168	0.046973	0.616146
biological	Trip4	deep	59	0.014520	0.473926
biological	Trip4	root-adjacent	58	0.014981	0.158218
biological	Trip4	surface	60	0.003975	0.020668
biological	Trip5	deep	55	0.031501	0.375843
biological	Trip5	root-adjacent	133	0.064685	0.604835
biological	Trip5	surface	29	0.013457	0.054578
biological	Trip5	unassigned	17	0.072173	0.205693
control	unassigned	unassigned	24	0.634892	0.725793
