profile	role	campaign	compartment	total_reads	removed_reads	removed_read_fraction	total_features	removed_features
e0325_10Dr2	biological	Trip1	deep	503679	997	0.001979	2457	6
e0326_10PRr2	biological	Trip1	root-adjacent	234734	880	0.003749	1379	12
e0327_10Sr2	biological	Trip1	surface	1634081	3422	0.002094	3897	8
e0328_10Sr3	biological	Trip1	surface	1049003	5314	0.005066	2914	14
e0329_11Dr3	biological	Trip1	deep	152441	8804	0.057753	1374	9
e0330_11PRr3	biological	Trip1	root-adjacent	847369	31823	0.037555	3095	12
e0331_11Sr2	biological	Trip1	surface	125604	222	0.001767	934	3
e0332_12PRr1	biological	Trip1	root-adjacent	43484	111	0.002553	621	3
e0333_12PRr3	biological	Trip1	root-adjacent	311186	3783	0.012157	2294	15
e0334_12Sr1	biological	Trip1	surface	182291	3409	0.018701	1489	5
e0335_12Sr3	biological	Trip1	surface	145306	737	0.005072	1360	7
e0336_13Dr1	biological	Trip1	deep	473455	8600	0.018164	2649	19
e0337_13Dr3	biological	Trip1	deep	1852185	50852	0.027455	3299	7
e0338_13Sr2	biological	Trip1	surface	357173	4460	0.012487	1528	6
e0339_14Dr1	biological	Trip1	deep	655184	2745	0.004190	2306	12
e0340_14Dr3	biological	Trip1	deep	1195294	5975	0.004999	3604	22
e0341_14PRr1	biological	Trip1	root-adjacent	529395	9334	0.017631	848	20
e0342_14PRr2	biological	Trip1	root-adjacent	458988	4773	0.010399	642	11
e0343_14Sr2	biological	Trip1	surface	1079644	9186	0.008508	2826	13
e0344_15Dr1	biological	Trip1	deep	943660	6894	0.007306	4437	27
e0345_15Dr3	biological	Trip1	deep	1181250	21679	0.018353	4279	22
e0346_15PRr1	biological	Trip1	root-adjacent	532453	7101	0.013336	1663	12
e0347_15PRr2	biological	Trip1	root-adjacent	909284	16737	0.018407	1999	20
e0348_15PRr3	biological	Trip1	root-adjacent	594206	9297	0.015646	1989	15
e0349_15Sr1	biological	Trip1	surface	900509	7726	0.008580	2282	15
e0350_15Sr3	biological	Trip1	surface	71452	374	0.005234	959	6
e0351_16Dr1	biological	Trip1	deep	416803	425	0.001020	2073	3
e0352_16Dr3	biological	Trip1	deep	120288	391	0.003251	1203	3
e0353_16PRr2	biological	Trip1	root-adjacent	869078	2232	0.002568	2607	13
e0354_16PRr3	biological	Trip1	root-adjacent	822232	8619	0.010482	2000	13
e0355_16Sr1	biological	Trip1	surface	214146	182	0.000850	861	8
e0356_17Dr1	biological	Trip1	deep	133041	39	0.000293	1799	2
e0357_17Dr3	biological	Trip1	deep	145553	32	0.000220	1943	2
e0358_17PRr2	biological	Trip1	root-adjacent	218408	3144	0.014395	753	4
e0359_18PRr1	biological	Trip1	root-adjacent	701029	1223	0.001745	1316	4
e0360_18PRr2	biological	Trip1	root-adjacent	554215	376	0.000678	551	2
e0361_18Sr1	biological	Trip1	surface	41294	117	0.002833	450	3
e0362_18Sr2	biological	Trip1	surface	188918	813	0.004303	537	5
e0363_19Dr2	biological	Trip1	deep	141570	27	0.000191	1441	2
e0364_1Dr1	biological	Trip1	deep	80130	598	0.007463	1651	4
e0365_1Dr2	biological	Trip1	deep	127644	4493	0.035199	1706	14
e0366_1PRr2	biological	Trip1	root-adjacent	234664	2134	0.009094	2335	9
e0367_1PRr3	biological	Trip1	root-adjacent	186884	3473	0.018584	2377	12
e0368_1Sr1	biological	Trip1	surface	466832	681	0.001459	1822	11
e0369_1Sr3	biological	Trip1	surface	448797	445	0.000992	2479	7
e0370_20Dr2	biological	Trip1	deep	227053	98	0.000432	1421	3
e0371_20PRr1	biological	Trip1	root-adjacent	431003	2270	0.005267	1965	15
e0372_20PRr2	biological	Trip1	root-adjacent	403872	1922	0.004759	2551	18
e0373_21Dr1	biological	Trip1	deep	355097	7759	0.021850	2038	11
e0374_21Sr1	biological	Trip1	surface	365318	2685	0.007350	2114	15
e0375_21Sr2	biological	Trip1	surface	423925	2954	0.006968	2215	12
e0376_22Dr1	biological	Trip1	deep	520766	619	0.001189	1886	6
e0377_22Dr2	biological	Trip1	deep	645847	745	0.001154	2470	9
e0378_22PRr1	biological	Trip1	root-adjacent	182436	690	0.003782	1197	2
e0379_22PRr3	biological	Trip1	root-adjacent	473079	658	0.001391	1511	4
e0380_23Dr1	biological	Trip1	deep	221753	1092	0.004924	1559	6
e0381_23Sr2	biological	Trip1	surface	621961	21567	0.034676	1528	9
e0382_24Dr1	biological	Trip1	deep	488598	2165	0.004431	1999	5
e0383_24Dr2	biological	Trip1	deep	510802	2610	0.005110	1950	5
e0384_24PRr2	biological	Trip1	root-adjacent	4	0	0.000000	2	0
e0385_25Dr1	biological	Trip1	deep	798052	8060	0.010100	3202	16
e0386_25Dr3	biological	Trip1	deep	499676	1223	0.002448	2708	5
e0387_25PRr2	biological	Trip1	root-adjacent	375595	2162	0.005756	1351	12
e0388_25Sr1	biological	Trip1	surface	376969	1364	0.003618	1526	7
e0389_25Sr2	biological	Trip1	surface	817704	382	0.000467	2073	5
e0390_26Dr1	biological	Trip1	deep	446320	91	0.000204	1869	3
