extraction_blank	extraction_date	index_code	workbook_sample_count	canonical_sample_count	canonical_missing_sample_count	blank_reads	blank_asvs	median_biological_removal_fraction	maximum_biological_removal_fraction
EB1	2025-10-20	xGen 10nt UDI Index Pair 307	15	12	3	140243	570	0.00526011	0.26186671
EB2	2025-10-21	xGen 10nt UDI Index Pair 410	15	15	0	670322	2317	0.00255777	0.14702557
EB3	2025-10-26	xGen 10nt UDI Index Pair 319	12	12	0	37978	182	0.00648194	0.56595080
EB4	2025-10-27	xGen 10nt UDI Index Pair 331	12	12	0	17388	148	0.00279837	0.02956829
EB5	2025-10-28	xGen 10nt UDI Index Pair 422	15	15	0	294641	1271	0.00288000	0.16834890
EB6	2025-10-29	xGen 10nt UDI Index Pair 343	4	4	0	11130	122	0.00457004	0.02057309
EB7	2025-10-30	xGen 10nt UDI Index Pair 355	19	19	0	16822	145	0.00287570	0.17597214
EB8	2025-11-02	xGen 10nt UDI Index Pair 434	17	17	0	238761	1041	0.01082308	0.11476749
EB9	2025-11-03	xGen 10nt UDI Index Pair 446	13	13	0	722664	1540	0.00287169	0.01089955
EB10	2025-11-05	xGen 10nt UDI Index Pair 458	9	9	0	216668	1120	0.00133104	0.00769094
EB11	2025-11-06	xGen 10nt UDI Index Pair 470	16	16	0	495356	1519	0.00505689	0.29582340
EB12	2025-11-09	xGen 10nt UDI Index Pair 387	14	14	0	360779	1414	0.00395714	0.01423516
EB13	2025-11-10	xGen 10nt UDI Index Pair 399	12	12	0	332474	1834	0.00195247	0.00705498
EB14	2025-11-11	xGen 10nt UDI Index Pair 411	19	19	0	222312	1052	0.00490657	0.46793010
EB15	2025-11-12	xGen 10nt UDI Index Pair 423	22	22	0	264450	1188	0.00483238	0.05780093
EB16	2025-11-13	xGen 10nt UDI Index Pair 435	5	5	0	332021	1175	0.01544647	0.19768039
EB17	2025-11-16	xGen 10nt UDI Index Pair 447	1	1	0	603911	2181	0.01292185	0.01292185
