feature_id	taxonomy	extraction_blanks_present	extraction_blanks_total	mapped_biological_profiles_present	mapped_biological_profiles_total	blank_prevalence	biological_prevalence	prevalence_score	blank_reads	mapped_biological_reads	call
9617f26f732400ce3abf7fdabe53f305	Bacteria;Actinomycetota;Actinobacteria;Kitasatosporales;Streptomycetaceae;Streptomyces;thermoatroviridis;;0.84	11	17	2	217	0.64705882	0.00921659	4.039811094e-13	9750	11810	candidate_contaminant
0577113a0b6ed7c720c43a8c18387354	Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;NA;NA	12	17	6	217	0.70588235	0.02764977	2.394448585e-12	11111	34920	candidate_contaminant
f6f28ee86415068e9998585aa6621fca	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;aureus	11	17	6	217	0.64705882	0.02764977	5.792245502e-11	2748	1125	candidate_contaminant
8aa0425d017aa74c4da559acb853bec6	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA	11	17	8	217	0.64705882	0.03686636	3.360582729e-10	5083	43783	candidate_contaminant
78956d84000e0a1f1865f178d6004d82	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;;;0.65	10	17	6	217	0.58823529	0.02764977	1.171748937e-09	340	3883	candidate_contaminant
96432b8d48a97273b6e2930bfd765c27	Bacteria;Cyanobacteriota;Sericytochromatia;NA;NA;NA;NA	11	17	10	217	0.64705882	0.04608295	1.48924725e-09	5943	80126	candidate_contaminant
0a362a9d299cac90fbc18e3eaa18f7ed	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;;;;1	7	17	0	217	0.41176471	0.00000000	2.793415726e-09	3474	0	candidate_contaminant
9f86595b1486625e364e8fe09b6cdb0b	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;NA	10	17	9	217	0.58823529	0.04147465	1.236740177e-08	3144	34396	candidate_contaminant
af71139e63afbe2408046ace2a564506	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;NA	12	17	20	217	0.70588235	0.09216590	2.135938388e-08	15734	65806	candidate_contaminant
1b8f8cc60c3dd0cbae120893b3206a7b	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Herbihabitans;NA	12	17	21	217	0.70588235	0.09677419	3.280559602e-08	29006	163847	candidate_contaminant
515ccab04610bd9a691bbc07b4497db5	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;NA;NA	12	17	21	217	0.70588235	0.09677419	3.280559602e-08	8883	66574	candidate_contaminant
