record_id	control_scope	control_class	material_or_product	material_form	workflow_stage	assay	status	evidence	limitation
CGT-001	Trip 1 positive-control design	positive control	ZymoBIOMICS HMW DNA Standard D6322	purified high-molecular-weight DNA	PCR; library preparation; sequencing	16S V3-V4	CONFIRMED_AUTHOR	data/metadata/samples/controls/README.md; author message 2026-07-30	Raw-library membership is limited to unambiguously positive-labelled libraries; e0323_Ctrl_1_Trip1 remains polarity-unresolved.
CGT-002	Trip 2 positive-control design	positive control	ZymoBIOMICS HMW DNA Standard D6322	purified high-molecular-weight DNA	PCR; library preparation; sequencing	16S V3-V4	CONFIRMED_AUTHOR	data/metadata/samples/controls/README.md; author message 2026-07-30	The standard entered after DNA extraction and cannot estimate extraction or lysis bias.
CGT-003	Trip 3 positive-control design	positive control	ZymoBIOMICS Microbial Community Standard D6300	whole cells	extraction; lysis; PCR; library preparation; sequencing	16S V3-V4	CONFIRMED_AUTHOR	data/metadata/samples/controls/README.md; author message 2026-07-30	Expected composition is product-specific and not interchangeable with D6322.
CGT-004	Trip 4 positive-control design	no positive control	none		not applicable	16S V3-V4	CONFIRMED_AUTHOR	data/metadata/samples/controls/README.md; author message 2026-07-30	No positive control travelled with the car.
CGT-005	Trip 5 positive-control design	positive control	ZymoBIOMICS Microbial Community Standard D6300	whole cells	extraction; lysis; shotgun-library preparation; sequencing	shotgun metagenomics	CONFIRMED_AUTHOR	data/metadata/samples/controls/README.md; author message 2026-07-30	The positive control was not sequenced in the Trip-5 16S assay.
CGT-006	Trip 4 extraction-batch blanks	negative control	extraction blank	nuclease-free blank input	DNA extraction	16S V3-V4	CONFIRMED_AUTHOR	data/metadata/samples/EB_Sample_Map_FourthTrip2.xlsx; message 81B21189-C97A-4927-986D-58BF4B010670@KAUST.EDU.SA, 2026-08-30	The corrected workbook identifies 28 sites wholly or partly without a sequenced extraction blank; six sequenced blanks cover 95 canonical biological profiles.
CGT-007	Trip 5 mapped extraction-batch blanks EB1-EB17	negative control	extraction blank	nuclease-free blank input	DNA extraction	16S V3-V4	CONFIRMED_AUTHOR	data/metadata/samples/Sequenced_Samples_by_EB_FifthTrip.xlsx; data/metadata/samples/controls/README.md	Each blank belongs to an extraction date/batch, not a field trip; 217 of 220 mapped biological profiles occur in the canonical table.
CGT-008	Trip 5 EB18	negative control	extraction blank	nuclease-free blank input	DNA extraction	16S V3-V4	CONFIRMED_AUTHOR	data/metadata/samples/controls/source_snapshots/ibex_trip5_16s_samplesheet.tsv; message 81B21189-C97A-4927-986D-58BF4B010670@KAUST.EDU.SA, 2026-08-30	Extraction-day and co-extracted-sample mappings are unavailable, so this library is characterization-only. The six Negative-labelled NTCs are described separately in CGT-012.
CGT-009	Trip 5 shotgun negative control	negative control	extraction blank	nuclease-free blank input	DNA extraction; shotgun-library preparation; sequencing	shotgun metagenomics	CONFIRMED_AUTHOR	data/metadata/samples/controls/README.md; author message 2026-07-30	Exact raw-library identity within facility run 20260402_LL00134_0018_A23J2Y7LT4 remains unresolved.
CGT-010	PCR blanks across laboratory processing	negative control	PCR blank	nuclease-free blank input	PCR	16S V3-V4	CONFIRMED_CLASS_AUTHOR	author message 2026-07-29; frozen control labels	Only libraries explicitly labelled PCR or NTC are promoted to PCR-blank roles; generic negative labels retain unresolved processing stage.
CGT-011	Sterile bags carried in the field	field blank	sterile sampling bag	sterile bag	field handling	not sequenced	UNRESOLVED_INVENTORY	author-requested control class; no frozen inventory located	No instance, trip membership, or assay occurrence is asserted until a bag ledger or equivalent source is available.
CGT-012	Trip 5 Negative1; Negative2; Negative4-Negative7	negative control	PCR no-template control	PCR reagents with water replacing template	PCR; library preparation; sequencing	16S V3-V4	CONFIRMED_AUTHOR	message 81B21189-C97A-4927-986D-58BF4B010670@KAUST.EDU.SA, 2026-08-30	These controls entered at PCR and have no extraction-batch membership; they remain characterization-only in the extraction-blank prevalence screen.
