source	identifier	campaign	source_locator	site_field	has_sequence_run	in_feature_table	biosample	archive_title
sample_ledger	- Ctrl 1	Trip1	Trip1:row 578	Control	False	False		
sample_ledger	- Ctrl 2	Trip1	Trip1:row 579	Control	False	False		
sample_ledger	- Ctrl 3	Trip1	Trip1:row 580	Control	False	False		
sample_ledger	=+ Ctrl 1	Trip1	Trip1:row 581	Control	False	False		
sample_ledger	=+ Ctrl 2	Trip1	Trip1:row 582	Control	False	False		
sample_ledger	=+ Ctrl 3	Trip1	Trip1:row 583	Control	False	False		
sample_ledger	- Ctrl PCR	Trip1	Trip1:row 584	Control	False	False		
sample_ledger	Extraction Ctrl	Trip1	Trip1:row 585	Control	False	False		
sample_ledger	- Ctrl PCR 2	Trip1	Trip1:row 586	Control	False	False		
sample_ledger	Extraction Ctrl 2	Trip1	Trip1:row 587	Control	False	False		
sample_ledger	- Ctrl 1	Trip3	Trip3:row 542	61	False	False		
sample_ledger	- Ctrl 2	Trip3	Trip3:row 543	61	False	False		
sample_ledger	- Ctrl 3	Trip3	Trip3:row 544	61	False	False		
sample_ledger	=+ Ctrl 1	Trip3	Trip3:row 545	61	False	False		
sample_ledger	=+ Ctrl 2	Trip3	Trip3:row 546	61	False	False		
sample_ledger	=+ Ctrl 3	Trip3	Trip3:row 547	61	False	False		
sample_ledger	Extraction Ctrl	Trip3	Trip3:row 548	61	False	False		
sample_ledger	PCR Ctrl	Trip3	Trip3:row 549	61	False	False		
sample_ledger	- Ctrl 1	Trip4	Trip4:row 542	61	False	False		
sample_ledger	- Ctrl 2	Trip4	Trip4:row 543	61	False	False		
sample_ledger	- Ctrl 3	Trip4	Trip4:row 544	61	False	False		
sample_ledger	=+ Ctrl 1	Trip4	Trip4:row 545	61	False	False		
sample_ledger	=+ Ctrl 2	Trip4	Trip4:row 546	61	False	False		
sample_ledger	=+ Ctrl 3	Trip4	Trip4:row 547	61	False	False		
sample_ledger	Extraction Ctrl	Trip4	Trip4:row 548	61	False	False		
sample_ledger	PCR Ctrl	Trip4	Trip4:row 549	61	False	False		
sample_ledger	- Ctrl 1	Trip5	Trip5:row 542	61	False	False		
sample_ledger	- Ctrl 2	Trip5	Trip5:row 543	61	False	False		
sample_ledger	- Ctrl 3	Trip5	Trip5:row 544	61	False	False		
sample_ledger	=+ Ctrl 1	Trip5	Trip5:row 545	61	False	False		
sample_ledger	=+ Ctrl 2	Trip5	Trip5:row 546	61	False	False		
sample_ledger	=+ Ctrl 3	Trip5	Trip5:row 547	61	False	False		
sample_ledger	Extraction Ctrl	Trip5	Trip5:row 548	61	False	False		
sample_ledger	PCR Ctrl	Trip5	Trip5:row 549	61	False	False		
sequence_submission	T_Neg_Ctrl1		ERR16061177		True		ERS28392121	
sequence_submission	T_Neg_Ctrl2		ERR16061178		True		ERS28392122	
sequence_submission	EB10		ERR16783284		True		ERS29439729	
sequence_submission	EB11		ERR16783285		True		ERS29439730	
sequence_submission	EB12		ERR16783286		True		ERS29439731	
sequence_submission	EB13		ERR16783287		True		ERS29439732	
sequence_submission	EB14		ERR16783288		True		ERS29439733	
sequence_submission	EB15		ERR16783289		True		ERS29439734	
sequence_submission	EB16		ERR16783290		True		ERS29439735	
sequence_submission	EB17		ERR16783291		True		ERS29439736	
sequence_submission	EB18		ERR16783292		True		ERS29439737	
sequence_submission	EB1		ERR16783283		True		ERS29439728	
