control_profile	observed_asvs	total_counts	multiqc_record	multiqc_total_sequences_millions
EB1	570	140243	M-25-0770_EB1_SU0216-SU0216_L002_R1_001	0.245525
EB10	1120	216668		
EB11	1519	495356		
EB12	1414	360779		
EB13	1834	332474		
EB14	1052	222312		
EB15	1188	264450		
EB16	1175	332021		
EB17	2181	603911		
EB18	1833	491118		
EB2	2317	670322	M-25-0771_EB2_SU0228-SU0228_L002_R1_001	0.23293699999999998
EB3	182	37978	M-25-0772_EB3_SU0240-SU0240_L002_R1_001	0.042136
EB4	148	17388	M-25-0773_EB4_SU0252-SU0252_L002_R1_001	0.035852999999999996
EB5	1271	294641	M-25-0774_EB5_SU0264-SU0264_L002_R1_001	0.032272999999999996
EB6	122	11130		
EB7	145	16822		
EB8	1041	238761		
EB9	1540	722664		
Negative1	44	6206		
Negative2	262	78645		
Negative4	100	9437		
Negative5	50	5657		
Negative6	576	109605		
Negative7	581	156754		
