control_id	aliases	raw_files_or_accessions	trip	extraction_batch	pcr_batch	library_batch	index	lane	control_stage	polarity	commercial_or_custom_candidate	candidate_organisms	multiqc_join	observed_dominant_taxa	observed_asvs	read_count	evidence	competing_interpretation	confidence	promoted	family
+ Ctrl 1	Positive control – sampling trip (Zymo D6305)	PRJNA1065643/SRR27587622; SAMN39465916	unknown	unknown	unknown	unknown	unknown	unknown	sampling campaign (carried through collection)	positive	one of two mock communities used across trips; Trip 1 archive candidate: ZymoBIOMICS D6305	composition and trip assignment pending from Marwa; the Trip 1 archive title names D6305 but does not establish other trips	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	PRJNA1065643 run SRR27587622 / biosample SAMN39465916, library_name '+ Ctrl 1', sample_title 'Positive control - sampling trip (Zymo D6305)'; matches this master-sheet identifier once the leading '=' spreadsheet artifact is removed; Robert confirmed that the numbered positives are replicates and that different positive controls were used across trips	the archive title is submission metadata for one campaign, not a laboratory record; it cannot assign either of the two mock communities to the remaining trips and states no lot	high for the Trip 1 identifier and replicate status; composition and all other trip assignments pending	NO	positive_sampling_trip
+ Zymo	Positive control – PCR (Zymo D6305)	PRJNA1065643/SRR27587611; SAMN39465917	unknown	unknown	unknown	unknown	unknown	unknown	PCR	positive	commercial candidate: ZymoBIOMICS D6305	composition pending from Marwa; the archive title names D6305 for this Trip 1 PCR control	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	PRJNA1065643 run SRR27587611 / biosample SAMN39465917, library_name '+ Zymo', sample_title 'Positive control - PCR (Zymo D6305)'	no master-sheet identifier matches it, so its relation to '=+ Ctrl 2' and '=+ Ctrl 3' is unresolved; it may be an additional PCR-stage positive rather than a numbered replicate	high for the archive record; unresolved as to which ledger row it is	NO	positive_pcr
- Ctrl 1	unknown	unknown	Trip1; Trip3; Trip4; Trip5	unknown	unknown	unknown	unknown	unknown	unknown	negative	custom blank; extraction-versus-PCR type pending	not applicable	candidate only, not asserted: M-25-0870_Neg-Ctrl-1-Trip2_SU0335-SU0335_L002_R1_001	not in the canonical feature table	unknown	unknown	Robert confirmed that '- Ctrl 1', '- Ctrl 2' and '- Ctrl 3' are replicates and that extraction controls and PCR blanks were two distinct negative-control types	the numbered replicate group has not been assigned to the extraction-control or PCR-blank type	high for polarity and replicate status; exact type and batch unknown	NO	negative_numbered_replicate
- Ctrl 2	unknown	unknown	Trip1; Trip3; Trip4; Trip5	unknown	unknown	unknown	unknown	unknown	unknown	negative	custom blank; extraction-versus-PCR type pending	not applicable	candidate only, not asserted: M-25-0871_Neg-Ctrl-2-Trip2_SU0347-SU0347_L002_R1_001	not in the canonical feature table	unknown	unknown	Robert confirmed that '- Ctrl 1', '- Ctrl 2' and '- Ctrl 3' are replicates and that extraction controls and PCR blanks were two distinct negative-control types	the numbered replicate group has not been assigned to the extraction-control or PCR-blank type	high for polarity and replicate status; exact type and batch unknown	NO	negative_numbered_replicate
- Ctrl 3	Negative control – sampling trip	PRJNA1065643/SRR27587623; SAMN39465915	Trip1; Trip3; Trip4; Trip5	unknown	unknown	unknown	unknown	unknown	sampling campaign (carried through collection)	negative	custom (matrix not recorded)	not applicable	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	PRJNA1065643 run SRR27587623 / biosample SAMN39465915, library_name '- Ctrl 3', sample_title 'Negative control - sampling trip'; exact match to this master-sheet identifier; Robert confirmed that the numbered negatives are replicates	Robert confirmed two distinct negative-control types, extraction controls and PCR blanks, but the numbered replicates have not been mapped to either type	high for identifier, polarity and replicate status; exact negative-control type unresolved	NO	negative_sampling_trip
- Ctrl PCR	unknown	unknown	Trip1	unknown	unknown	unknown	unknown	unknown	PCR (no-template)	negative	custom (no template)	not applicable	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	PRJNA1065643 run SRR27587568, library_name 'Neg Ctrl (PCR)', sample_title 'Negative control - PCR'; MultiQC record M-25-0555_PCR-Ctrl-Trip1_UDP0374	the master-sheet identifiers and the archive library name are not byte-identical, so the mapping is by role rather than by identifier	moderate-to-high for the role; identifier mapping inferred	NO	negative_pcr
- Ctrl PCR 2	unknown	unknown	Trip1	unknown	unknown	unknown	unknown	unknown	PCR (no-template)	negative	custom (no template)	not applicable	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	PRJNA1065643 run SRR27587568, library_name 'Neg Ctrl (PCR)', sample_title 'Negative control - PCR'; MultiQC record M-25-0555_PCR-Ctrl-Trip1_UDP0374	the master-sheet identifiers and the archive library name are not byte-identical, so the mapping is by role rather than by identifier	moderate-to-high for the role; identifier mapping inferred	NO	negative_pcr
=+ Ctrl 1	unknown	unknown	Trip1; Trip3; Trip4; Trip5	unknown	unknown	unknown	unknown	unknown	sampling campaign (carried through collection)	positive	one of two mock communities used across trips; Trip 1 archive candidate: ZymoBIOMICS D6305	composition and trip assignment pending from Marwa; the Trip 1 archive title names D6305 but does not establish other trips	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	PRJNA1065643 run SRR27587622 / biosample SAMN39465916, library_name '+ Ctrl 1', sample_title 'Positive control - sampling trip (Zymo D6305)'; matches this master-sheet identifier once the leading '=' spreadsheet artifact is removed; Robert confirmed that the numbered positives are replicates and that different positive controls were used across trips	the archive title is submission metadata for one campaign, not a laboratory record; it cannot assign either of the two mock communities to the remaining trips and states no lot	high for the Trip 1 identifier and replicate status; composition and all other trip assignments pending	NO	positive_sampling_trip
=+ Ctrl 2	unknown	unknown	Trip1; Trip3; Trip4; Trip5	unknown	unknown	unknown	unknown	unknown	unknown	positive	one of two mock communities used across trips; exact assignment pending	composition and trip assignment pending from Marwa	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	Robert confirmed that '=+ Ctrl 1', '=+ Ctrl 2' and '=+ Ctrl 3' are replicates; master-sheet rows do not identify which of the two mock communities or which preparation stage	replicate status is confirmed, but replication may be within a trip-specific control set rather than across all trips	high for polarity and replicate status; composition, stage and trip assignment pending	NO	positive_numbered_replicate
=+ Ctrl 3	unknown	unknown	Trip1; Trip3; Trip4; Trip5	unknown	unknown	unknown	unknown	unknown	unknown	positive	one of two mock communities used across trips; exact assignment pending	composition and trip assignment pending from Marwa	no unambiguous MultiQC record	not in the canonical feature table	unknown	unknown	Robert confirmed that '=+ Ctrl 1', '=+ Ctrl 2' and '=+ Ctrl 3' are replicates; master-sheet rows do not identify which of the two mock communities or which preparation stage	replicate status is confirmed, but replication may be within a trip-specific control set rather than across all trips	high for polarity and replicate status; composition, stage and trip assignment pending	NO	positive_numbered_replicate
EB1	unknown	ERR16783283; ERS29439728	not applicable (extraction day may include multiple trips)	unknown	unknown	M-25-0770	SU0216	L002	DNA extraction	negative	custom (extraction blank)	not applicable	M-25-0770_EB1_SU0216-SU0216_L002_R1_001	Ammoniphilus; NA 0.0188; Streptomyces; NA 0.0140; NA; NA 0.0094	570	140243	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
EB10	unknown	ERR16783284; ERS29439729	not applicable (extraction day may include multiple trips)	unknown	unknown	unknown	unknown	unknown	DNA extraction	negative	custom (extraction blank)	not applicable	candidate only, not asserted: M-25-0770_EB1_SU0216-SU0216_L002_R1_001	NA; NA 0.0192; Nitrolancea; hollandica 0.0106; Herbihabitans; NA 0.0094	1120	216668	18 submission rows ERR16783283-ERR16783300 and 18 canonical feature-table profiles; MultiQC carries EB1-EB5 only, with distinct indices SU0216, SU0228, SU0240, SU0252, SU0264; Robert and Marwa confirmed that EB denotes extraction blank; Robert confirmed that one EB was included per extraction day and that samples from multiple trips could be extracted on the same day	the MultiQC EB1-EB5 records belong to a July-era run (M-25-0770-M-25-0774), while EB1-EB5 also occur in the Trip-5-era submission block; sequence indices can help adjudicate library identity or label reuse, but cannot assign an extraction-day blank to one trip; exact extraction-day/batch membership and each collision's library identity remain pending	high for extraction-blank stage and per-day design; trip is not applicable, while extraction-day/batch membership and cross-run label identity remain pending	NO	extraction_blank_eb
