contrast	genus	mean_clr_difference
Deep-Surface	Domibacillus	-0.4207054032
Deep-Surface	Massilia	-1.117031681
Deep-Surface	Bacillus	0.2807343648
Deep-Surface	Microvirga	-0.101533655
Deep-Surface	Flavisolibacter	-0.3635216639
Deep-Surface	Herpetosiphon	0.3408268173
Deep-Surface	Noviherbaspirillum	-0.3898628095
Deep-Surface	Streptomyces	-0.01516864508
Deep-Surface	Paenibacillus	0.3406665713
Deep-Surface	Nocardioides	-0.003791073451
Deep-Surface	Rubrobacter	0.05408033007
Deep-Surface	Ammoniphilus	0.5604776923
Deep-Surface	Lysinibacillus	0.009915608444
Deep-Surface	Deinococcus	-1.297330791
Deep-Surface	Rubellimicrobium	-0.4052479127
Deep-Surface	Geodermatophilus	-0.2576088884
Deep-Surface	Ramlibacter	0.1481680269
Deep-Surface	Ectobacillus	0.3578976903
Deep-Surface	Acidiferrimicrobium	0.8934587763
Deep-Surface	Neobacillus	-0.0091759836
Deep-Surface	Planococcus	-1.74546329
Deep-Surface	Nibribacter	-1.484710156
Deep-Surface	Bradyrhizobium	-0.03390750255
Deep-Surface	Adhaeribacter	-0.1061760111
Deep-Surface	Metabacillus	0.4081212626
Deep-Surface	Solirubrobacter	0.3089545946
Deep-Surface	Ellin6055	0.05125977665
Deep-Surface	Halomonas	-0.1214725777
Deep-Surface	Symbiobacterium	0.3290535775
Deep-Surface	Arthrobacter	-0.4776087979
Deep-Surface	Sphingoaurantiacus	-0.3267365836
Deep-Surface	Blastococcus	-0.6330528254
Deep-Surface	Nitrolancea	0.1864477831
Deep-Surface	Pontibacter	-0.2457971046
Deep-Surface	Tumebacillus	-0.7698255891
Deep-Surface	Roseomonas	-0.2517293075
Deep-Surface	CSP1-2	0.2976230548
Deep-Surface	Chthoniobacter	0.2872524306
Deep-Surface	Pseudomonas	-1.022505118
Deep-Surface	Aeromonas	0.3967583973
Deep-Surface	Pseudonocardia	0.2909523382
Deep-Surface	Lysobacter	-0.7148475295
Deep-Surface	Cytophaga	-0.5806855982
Deep-Surface	Saccharopolyspora	-0.1142706087
Deep-Surface	Archangium	-0.1799348703
Deep-Surface	Actinomadura	-0.1252106917
Deep-Surface	Cellulomonas	-0.6800643975
Deep-Surface	Pirellula	0.8065444102
Deep-Surface	Segetibacter	-0.5772756924
Deep-Surface	Halalkalibacter	0.4568348771
Deep-Surface	Chelativorans	0.0304325461
Deep-Surface	Oxalophagus	0.1417144597
Deep-Surface	Steroidobacter	0.3247873704
Deep-Surface	Devosia	-0.5035741112
Deep-Surface	Gemmatimonas	0.5227779835
Deep-Surface	Gaiella	0.7842452211
Deep-Surface	Phenylobacterium	0.0413190682
Deep-Surface	Cnuella	-0.7331221964
Deep-Surface	Aquibacillus	0.09358839729
Deep-Surface	Prauserella	-0.346572891
Deep-Surface	Roseisolibacter	-0.2166445582
Deep-Surface	Vallicoccus	-0.7391943363
Deep-Surface	Verrucosispora	0.3700502432
Deep-Surface	Azospirillum	-0.4576675206
Deep-Surface	Sphingomonas	-0.08876127515
Deep-Surface	Telluribacter	-0.8284461912
Deep-Surface	Mycobacterium	-0.2977299887
Deep-Surface	Acidibacter	0.285741904
Deep-Surface	Brucella	0.07876165894
Deep-Surface	Pir4 lineage	0.5042804772
Deep-Surface	MND1	0.8911717385
Deep-Surface	Croceibacterium	0.175709405
Deep-Surface	Marmoricola	0.2745659086
Deep-Surface	Daejeonella	0.08776811372
Deep-Surface	Bryobacter	0.5335805766
Deep-Surface	Pedomicrobium	0.1888989606
Deep-Surface	Opitutus	1.156744912
Deep-Surface	Escherichia-Shigella	0.09861665667
Deep-Surface	Sediminibacillus	0.4748716122
Deep-Surface	DSSF69	0.1462022246
Deep-Surface	Terribacillus	-0.3307339023
Deep-Surface	Peredibacter	0.161178101
Deep-Surface	Subgroup 10	0.3888689387
Deep-Surface	Limnobacter	-0.5987790156
Deep-Surface	Nitrospira	0.7960450192
Deep-Surface	Truepera	0.00550120521
Deep-Surface	Kallotenue	0.04043171044
Deep-Surface	Litchfieldia	0.4242263592
Deep-Surface	Novosphingobium	-0.4350267416
Deep-Surface	Sporocytophaga	-0.3867613557
Deep-Surface	OM27 clade	0.5008363262
Deep-Surface	Arenimicrobium	0.7489529344
Deep-Surface	Kocuria	-1.129902467
Deep-Surface	Parviterribacter	0.4434742185
Deep-Surface	Arcticibacter	-1.036838898
Deep-Surface	Roseicella	0.07355285331
Deep-Surface	Nitrosomonas	0.2567114693
Deep-Surface	Actinophytocola	-0.06951544036
Deep-Surface	Mesobacillus	-0.04227014863
Deep-Surface	Dongia	0.2508759994
Deep-Surface	Lautropia	0.09141176879
Deep-Surface	Saccharibacillus	-1.27358647
Deep-Surface	Brevibacillus	0.07725512257
Deep-Surface	Rhodocista	-0.810708446
Deep-Surface	Pelagibacterium	-0.4236337462
Deep-Surface	Caulobacter	0.2140857528
Deep-Surface	Baekduia	0.6599603536
Deep-Surface	Isoptericola	-0.5874434178
Deep-Surface	Saccharomonospora	-0.2734017089
Deep-Surface	Gemmata	0.6681879126
Deep-Surface	Pantoea	-0.9316939874
Deep-Surface	Georgenia	-0.4772045149
Deep-Surface	Kineococcus	-1.364961971
Deep-Surface	Streptococcus	0.2840207971
Deep-Surface	Glycomyces	-0.1739576689
Deep-Surface	Conexibacter	0.1257272569
Deep-Surface	TM7a	-0.056334954
Deep-Surface	Blastocatella	0.2595518341
Deep-Surface	Cystobacter	-0.6799915305
Deep-Surface	Niallia	-0.5249830952
Deep-Surface	[Polyangium] brachysporum group	0.3465039731
Deep-Surface	Saccharothrix	0.1295907556
Deep-Surface	Amycolatopsis	0.3136901769
Deep-Surface	Falsirhodobacter	-0.7209440089
Deep-Surface	Gracilibacillus	0.377450517
Deep-Surface	Rubritepida	-0.4932397646
Deep-Surface	Methylobacillus	0.01143650733
Deep-Surface	Caenimonas	0.09066071494
Deep-Surface	Aridibacter	0.1517680464
Deep-Surface	Oceanobacillus	-0.3173099899
Deep-Surface	SH-PL14	0.432931775
Deep-Surface	Brevundimonas	-0.6618618662
Deep-Surface	Neorhizobium	-0.4038820633
Deep-Surface	Turicibacter	-0.4800683669
Deep-Surface	Sumerlaea	0.7260771576
Deep-Surface	Polycyclovorans	1.785751559
Deep-Surface	Thermosipho	1.020603085
Deep-Surface	Limibaculum	0.5133821674
Deep-Surface	Corynebacterium	-0.3714066277
Deep-Surface	YC-ZSS-LKJ147	0.2289021403
Deep-Surface	Pajaroellobacter	0.5028304827
Deep-Surface	Phaselicystis	0.3130939603
Deep-Surface	Luteitalea	0.07982923203
Deep-Surface	Myxococcus	0.3630263466
Deep-Surface	Aeromicrobium	0.05737797322
Deep-Surface	Azohydromonas	0.7188517981
Deep-Surface	Herbaspirillum	-0.1752034326
Deep-Surface	Staphylococcus	-0.1921365332
Deep-Surface	Polygonibacillus	0.4019895353
Deep-Surface	Arsenicitalea	0.5146484
Deep-Surface	Aureibacillus	0.8397465438
Deep-Surface	Nesterenkonia	-0.01147661111
Deep-Surface	Paracoccus	-0.6901470663
Deep-Surface	Hydrocarboniphaga	-0.2937444903
Deep-Surface	Rufibacter	-1.197367244
Deep-Surface	Abditibacterium	0.2977730117
Deep-Surface	Caldilinea	0.8201969588
Deep-Surface	Bauldia	0.4996884228
Deep-Surface	Anaeromyxobacter	0.2908006798
Deep-Surface	Plastorhodobacter	-0.5042014024
Deep-Surface	Tepidisphaera	-0.2334265447
Deep-Surface	Ohtaekwangia	0.3878848966
Deep-Surface	Candidatus Alysiosphaera	0.3772641264
Deep-Surface	Fimbriiglobus	0.4360186897
Deep-Surface	Enterococcus	-0.02405364188
Deep-Surface	SM1A02	0.2795435499
Deep-Surface	Rhizorhabdus	0.4039101964
Deep-Surface	Actinoplanes	-0.4699376165
Deep-Surface	Longispora	0.4045123678
Deep-Surface	Acinetobacter	0.178216377
Deep-Surface	JCM 18997	0.2820786708
Deep-Surface	Allorhizocola	0.373081358
Deep-Surface	Rhodoplanes	0.7304569107
Deep-Surface	Litorilinea	0.2476543718
Deep-Surface	Crossiella	0.1790806396
Deep-Surface	Ornithinibacillus	-0.3227306176
Deep-Surface	Nonomuraea	-0.1471489085
Deep-Surface	Modestobacter	-0.6163149951
Deep-Surface	Nordella	0.9194806322
Deep-Surface	Paraconexibacter	0.4622294341
Deep-Surface	Pelagibius	-0.1193947255
Deep-Surface	Fictibacillus	0.005879688961
Deep-Surface	Rhodococcus	-0.2924842743
Deep-Surface	Mangrovihabitans	-0.08737569995
Deep-Surface	Peribacillus	0.06678038218
Deep-Surface	PMMR1	-0.6372865377
Deep-Surface	Cupriavidus	-0.3946573471
Deep-Surface	Sandaracinobacter	0.01540898008
Deep-Surface	I-8	0.8458861744
Deep-Surface	Luedemannella	0.09247862597
Deep-Surface	Rhodocytophaga	-0.407742978
Deep-Surface	Niastella	0.5139654204
