model	contrast	n_observations	n_sites	estimate	std_error	ci_low	ci_high	p
additive_unadjusted	Deep-Surface	633	60	0.07348682196	0.07281117906	-0.06922046667	0.2161941106	0.3128406643
additive_unadjusted	Rhizosphere-Surface	633	60	-0.2438911141	0.08559191486	-0.4116481846	-0.07613404364	0.004379290669
additive_unadjusted	Rhizosphere-Deep	633	60	-0.3173779361	0.09179692047	-0.4972965941	-0.1374592781	0.0005454308688
additive_depth_adjusted	Deep-Surface	633	60	0.1025892271	0.05841527064	-0.01190259951	0.2170810537	0.07905330398
additive_depth_adjusted	Rhizosphere-Surface	633	60	-0.1708874113	0.07680833344	-0.3214289785	-0.020345844	0.02609096803
additive_depth_adjusted	Rhizosphere-Deep	633	60	-0.2734766384	0.07703589898	-0.4244642259	-0.1224890508	0.0003852464052
depth_and_kit_as_recorded	Deep-Surface	633	60	0.1086212002	0.06173557865	-0.01237831057	0.2296207109	0.07849963142
depth_and_kit_as_recorded	Rhizosphere-Surface	633	60	-0.1455047356	0.07886784868	-0.3000828786	0.009073407315	0.06504942728
depth_and_kit_as_recorded	Rhizosphere-Deep	633	60	-0.2541259358	0.0753831487	-0.4018741923	-0.1063776793	0.0007486217491
complete_case_cohort	Deep-Surface	352	60	0.1841808787	0.07719332905	0.03288473393	0.3354770235	0.01703419372
complete_case_cohort	Rhizosphere-Surface	352	60	-0.1530090673	0.09116282602	-0.331684923	0.02566678843	0.09326608424
complete_case_cohort	Rhizosphere-Deep	352	60	-0.337189946	0.095376313	-0.5241240845	-0.1502558075	0.0004072144034
depth_and_kit_kit_varying_campaigns	Deep-Surface	285	60	0.1994486733	0.08126606735	0.04017010816	0.3587272385	0.01411718959
depth_and_kit_kit_varying_campaigns	Rhizosphere-Surface	285	60	-0.1248388124	0.09993754415	-0.3207127996	0.07103517485	0.2116035228
depth_and_kit_kit_varying_campaigns	Rhizosphere-Deep	285	60	-0.3242874857	0.1121334005	-0.5440649121	-0.1045100594	0.003828230301
protocol_matched_pairs	Deep-Surface	154	54	0.2033808007	0.08238329485	0.04191250987	0.3648490915	0.01355995121
protocol_matched_pairs	Rhizosphere-Surface	162	56	-0.2830717054	0.1156654231	-0.5097717689	-0.05637164194	0.01439181526
protocol_matched_pairs	Rhizosphere-Deep	180	56	-0.3415063469	0.09849054986	-0.5345442775	-0.1484684164	0.0005255149803
