site_a	site_b	geographic_distance_km	compartment	compartment_label	aitchison_dissimilarity
1	2	10.10648629	Surface	Surface	18.41460391
1	3	28.25796439	Surface	Surface	21.57087634
1	4	47.61544412	Surface	Surface	19.94002643
1	5	58.85946294	Surface	Surface	15.85282186
1	6	73.55524788	Surface	Surface	19.87705044
1	7	87.06997825	Surface	Surface	25.251344
1	8	102.2829382	Surface	Surface	27.45391559
1	9	122.206354	Surface	Surface	30.2929974
1	10	138.5354625	Surface	Surface	26.87105266
1	11	156.9523329	Surface	Surface	28.00090491
1	12	178.0420697	Surface	Surface	24.97036389
1	13	201.6005194	Surface	Surface	27.25579178
1	14	227.2011724	Surface	Surface	35.50437718
1	15	246.7396651	Surface	Surface	26.22239209
1	16	262.8044668	Surface	Surface	29.25190083
1	17	284.1077048	Surface	Surface	32.41116999
1	18	307.8393819	Surface	Surface	30.3944711
1	19	329.5327081	Surface	Surface	32.91632832
1	20	349.673269	Surface	Surface	25.40973111
1	21	356.7704178	Surface	Surface	28.28617128
1	22	374.3426741	Surface	Surface	24.20642616
1	23	389.843226	Surface	Surface	28.21596174
1	24	403.8103918	Surface	Surface	31.05983461
1	25	409.5609904	Surface	Surface	34.31970101
1	26	423.5184924	Surface	Surface	32.35413037
1	27	436.9448526	Surface	Surface	33.30279764
1	28	455.7387838	Surface	Surface	30.81364072
1	29	476.0392933	Surface	Surface	38.17554777
1	30	488.0409304	Surface	Surface	34.49634223
1	31	509.7584327	Surface	Surface	42.08988095
1	32	530.6215785	Surface	Surface	47.40374623
1	33	552.1228693	Surface	Surface	36.65076782
1	34	574.3947786	Surface	Surface	38.72176072
1	35	596.9239916	Surface	Surface	33.36376448
1	36	640.4532381	Surface	Surface	35.42717469
1	37	661.6027389	Surface	Surface	36.35185037
1	38	664.3532204	Surface	Surface	35.88206431
1	39	688.7119861	Surface	Surface	38.28732601
1	40	712.8752931	Surface	Surface	38.10268432
1	41	725.001922	Surface	Surface	45.06320968
1	42	743.5378843	Surface	Surface	37.09421643
1	43	754.0557975	Surface	Surface	36.32283455
1	44	773.1090806	Surface	Surface	35.51355544
1	45	778.8870015	Surface	Surface	35.5511702
1	46	799.3134504	Surface	Surface	36.27994533
1	47	819.5350219	Surface	Surface	33.15077531
1	48	843.2164368	Surface	Surface	39.32672438
1	49	864.7013877	Surface	Surface	32.40709756
1	50	878.9351544	Surface	Surface	33.64965725
1	51	888.4684542	Surface	Surface	37.72834273
1	52	907.9238235	Surface	Surface	43.30351599
1	53	917.3740007	Surface	Surface	38.94540368
1	54	939.8353911	Surface	Surface	45.99742661
1	55	943.5396347	Surface	Surface	48.05566984
