climate_variable	genus	n_sites	spearman_rho	p_value	q_global_600	supported_q_lt_0_05
mean_air_temperature_c	Domibacillus	60	0.1142293479	0.3848180324	0.4500795701	False
mean_air_temperature_c	Massilia	60	-0.37547584	0.003114223661	0.007785559153	True
mean_air_temperature_c	Bacillus	60	0.8325043767	1.6566209e-16	4.9698627e-14	True
mean_air_temperature_c	Microvirga	60	-0.2100086138	0.1072851108	0.1554856679	False
mean_air_temperature_c	Flavisolibacter	60	-0.387507294	0.002221053918	0.0057940537	True
mean_air_temperature_c	Noviherbaspirillum	60	-0.3105393316	0.01574130341	0.0303690741	True
mean_air_temperature_c	Streptomyces	60	-0.6153824782	1.674398753e-07	2.283271027e-06	True
mean_air_temperature_c	Herpetosiphon	60	-0.3018422297	0.01908673027	0.03601269862	True
mean_air_temperature_c	Paenibacillus	60	0.3730862209	0.003325523799	0.008211169874	True
mean_air_temperature_c	Nocardioides	60	-0.372780572	0.003353447559	0.008246182522	True
mean_air_temperature_c	Lysinibacillus	60	0.208369224	0.110118733	0.1588250957	False
mean_air_temperature_c	Rubrobacter	60	-0.4917335855	6.606279277e-05	0.0002893260997	True
mean_air_temperature_c	Ammoniphilus	60	0.7512295427	4.70188198e-12	4.70188198e-10	True
mean_air_temperature_c	Deinococcus	60	-0.3741420991	0.003230639678	0.008009850442	True
mean_air_temperature_c	Rubellimicrobium	60	-0.3482452973	0.006397617471	0.01411239148	True
mean_air_temperature_c	Nibribacter	60	-0.1340687433	0.3071284604	0.3700342896	False
mean_air_temperature_c	Geodermatophilus	60	-0.4832309874	9.196595041e-05	0.0003831914601	True
mean_air_temperature_c	Ramlibacter	60	-0.2316819029	0.07488461312	0.1152070971	False
mean_air_temperature_c	Planococcus	60	0.160160049	0.2215538975	0.2816363103	False
mean_air_temperature_c	Ectobacillus	60	-0.1578537887	0.2283661284	0.2872529917	False
mean_air_temperature_c	Neobacillus	60	0.1896690656	0.1466471297	0.2041491365	False
mean_air_temperature_c	Acidiferrimicrobium	60	-0.08899941652	0.4988956566	0.5543285073	False
mean_air_temperature_c	Adhaeribacter	60	-0.4855372477	8.414548828e-05	0.0003559265597	True
mean_air_temperature_c	Metabacillus	60	0.5955708691	5.177224674e-07	5.878972128e-06	True
