site	latitude	longitude	transect_km	mean_air_temperature_c	mean_monthly_rain_mm	mean_relative_humidity_pct	shannon	expected_richness_25k	normalized_evenness
1	19.14977056	45.16651139	-517.7178161	26.41734694	2.773469388	25.46755102	5.452685812	1496.189018	0.7992176124
2	19.20346833	45.2447675	-508.601156	26.37959184	2.8	25.51469388	6.259546498	2465.602402	0.8478905108
3	19.30107944	45.38441417	-492.2969033	26.78918367	2.428571429	25.29693878	6.154135894	2030.497975	0.8384642188
4	19.37957167	45.55182694	-473.520626	27.06102041	2.553061224	25.06489796	6.479618742	2398.52798	0.8444157412
5	19.40715528	45.65950139	-461.9018782	27.14285714	2.4	24.99244898	6.461422266	2288.065428	0.862492176
6	19.40573917	45.8161425	-445.8293645	27.23020408	2.716326531	24.9455102	6.128311419	2229.665533	0.8363606334
7	19.40700528	45.95394361	-431.6397836	27.31326531	2.053061224	24.8555102	6.053639192	1823.939021	0.8138818506
8	19.39315417	46.11073472	-415.8003027	27.47408163	1.442857143	24.75673469	6.136646246	1882.069726	0.8518111624
9	19.41120028	46.30267361	-395.7107504	27.65204082	1.546938776	24.63734694	5.782987674	1663.482648	0.7843094862
10	19.42046972	46.46079528	-379.2725562	27.81632653	1.306122449	24.53346939	5.813595802	1841.379494	0.7816060724
11	19.44435222	46.6356325	-360.8242371	27.96857143	1.53877551	24.40163265	6.051870711	1986.574598	0.818073126
12	19.47793361	46.83437333	-339.7251328	28.20122449	1.789795918	24.30163265	6.279241321	2080.581332	0.8316403161
13	19.52934611	47.05328444	-316.1965033	28.31857143	1.783673469	24.3344898	6.300048696	2011.422922	0.8345392742
14	19.58133806	47.2920225	-290.6183269	28.55510204	2.010204082	24.32836735	5.447276712	1438.755012	0.7628018761
15	19.61374972	47.47587194	-271.073248	28.68183673	2.440816327	24.2722449	6.347417264	2103.021937	0.8448903303
16	19.64445583	47.62611861	-255.0162042	28.78326531	2.802040816	24.3455102	6.18645452	1990.147195	0.8239923567
17	19.67646	47.82730556	-233.6971823	28.90897959	2.146938776	24.42204082	6.347728714	1941.087606	0.8496597322
