trip	site	shannon	expected_richness_25k	normalized_evenness	temperature_c	pressure_mbar	relative_humidity_pct	transect_km
1	1	6.477263239	1773.77504	0.8676355931	20.7	928	62.5	-517.7178161
1	2	6.209331864	3269.086964	0.870630724	21.3	928	60.4	-508.601156
1	3	5.68524294	1592.893436	0.8170947715	22.6	928	55.4	-492.2969033
1	4	6.312802231	2380.937475	0.8349816692	24	928	51	-473.520626
1	5	5.787828645	1677.410392	0.8571614824	28.8	928	40.6	-461.9018782
1	6	5.918662505	1952.57118	0.8330022028	29	928	42.9	-445.8293645
1	7	5.320756525	1244.371128	0.7506385744	28.7	928	49.4	-431.6397836
1	8	5.944742229	1217.282173	0.8719456013	30.6	928	41.5	-415.8003027
1	9	6.176365813	1654.334101	0.8458754457	35.9	928	36.3	-395.7107504
1	10	6.350512728	1885.405955	0.8482832183	32.5	928	39	-379.2725562
1	11	5.688402568	1462.844304	0.8171464536	31.1	930	37.5	-360.8242371
1	12	5.794511905	1372.299318	0.8100007242	34.6	932	30	-339.7251328
1	13	6.131675324	1887.283303	0.8147673649	28.9	936	29.2	-316.1965033
1	14	5.411209097	1315.84617	0.7673138159	30.2	938	37.8	-290.6183269
1	15	6.318188531	1911.859825	0.844811595	31.6	946	33	-271.073248
1	16	5.512549769	1377.479781	0.78176978	20.7	948	33.3	-255.0162042
1	17	6.08019027	1414.838737	0.854123373	20.5	952	32.7	-233.6971823
1	18	4.976149032	667.6044269	0.771646641	20	954	50	-210.0095507
1	19	5.071030151	999.1617032	0.7396572731	22.9	960	51.4	-188.4893933
1	20	5.233176651	1319.518182	0.7321469663	24.3	964	39.6	-168.4448291
1	21	6.161093977	1693.742816	0.8305293069	29.4	962	30.9	-161.4547433
1	22	5.944497934	1203.248577	0.8517740023	29		25.9	-144.181918
1	23	5.419628779	1120.772769	0.7766995146	26.8	966	25.2	-129.008546
1	24	5.641814841	1117.667848	0.8152658203	29.5	966	25.9	-115.1821155
1	25	6.043032698	1758.593395	0.812083089	27.8	968	27.6	-109.3965555
1	26	5.744697877	1393.600971	0.7973919665	31.7	968	23.1	-95.62861051
1	27	5.993217016	1976.096588	0.7915014068	31.5	970	23.8	-82.47630032
1	28	6.015144213	1522.945987	0.8274467201	31.9	970	24.9	-63.70113915
1	29	6.103097448	1282.372315	0.8614854872	31.7	968	25.7	-43.16663877
1	30	5.922164169	1485.271564	0.8167379471	34.1	964	22.4	-31.04008344
1	31	5.640138307	1036.545253	0.8155481375	33.8	964	22.3	-9.181887324
1	32	5.926404801	1104.084324	0.8558570976	34	968	22	11.86272886
1	33	5.764327528	1335.0348	0.8046694108	34.8	968	20.1	33.58954434
1	34	5.701269257	1420.778255	0.7871027129	34.1	970	21.1	55.94883459
1	35	5.905135831	1482.288255	0.8478386286	33.7	976	20.8	78.55661989
1	36	5.520824937	1066.58181	0.8612778784	29.8	982	15.9	122.2237697
1	37	6.127630225	1566.54767	0.8368441243	33.5	984	14.4	143.4054133
1	38	6.05823743	1921.332113	0.8554417981	31.9	984	15.1	146.1476077
1	39	5.011255985	998.2179759	0.8061508412	36.4	984	16	170.4835934
1	40	5.771509905	1231.901822	0.8275493629	30.5	980	30.4	194.6749641
1	41	4.156745923	995.4092137	0.8398335723	35.4	980	19.8	206.9146237
1	42	5.827361015	1255.544793	0.8215143655	35.4	984	20.5	225.5104191
1	43	6.162616653	1449.981525	0.8629010233	35.2	984	22.8	236.0478339
1	44	5.827354225	1183.812699	0.8514300685	38.4	984	19.6	255.1948189
