rank	genus	prevalence	mean_relative_abundance
1	Domibacillus	0.9722901385	0.08435861877
2	Massilia	0.9364303178	0.04967771667
3	Bacillus	0.9828850856	0.04319999239
4	Microvirga	0.9722901385	0.03714484915
5	Flavisolibacter	0.9421352893	0.03230515083
6	Noviherbaspirillum	0.9437652812	0.02997880383
7	Streptomyces	0.9087204564	0.0290775082
8	Herpetosiphon	0.9160554197	0.02717657581
9	Paenibacillus	0.9625101874	0.02261789765
10	Nocardioides	0.9470252649	0.01947533436
11	Lysinibacillus	0.9462102689	0.01828093374
12	Rubrobacter	0.8883455583	0.01815665302
13	Ammoniphilus	0.9551752241	0.01809527211
14	Deinococcus	0.8818255909	0.01570739642
15	Rubellimicrobium	0.9217603912	0.01440906091
16	Nibribacter	0.8394458028	0.01405425903
17	Geodermatophilus	0.8924205379	0.01372265556
18	Ramlibacter	0.9217603912	0.013530245
19	Planococcus	0.8247758761	0.01307944135
20	Ectobacillus	0.8834555827	0.01283461368
21	Neobacillus	0.934800326	0.01257061656
22	Acidiferrimicrobium	0.9030154849	0.01219171419
23	Adhaeribacter	0.9087204564	0.01201364929
24	Metabacillus	0.9331703341	0.01163219956
25	Ellin6055	0.9030154849	0.01027581973
26	Solirubrobacter	0.8899755501	0.00986489065
27	Bradyrhizobium	0.6112469438	0.008976210106
28	Halomonas	0.3471882641	0.008163716524
29	Arthrobacter	0.8712306438	0.008062430076
30	Symbiobacterium	0.8557457213	0.007944122672
31	Sphingoaurantiacus	0.890790546	0.006992376067
32	Blastococcus	0.8280358598	0.006577930599
33	Pseudomonas	0.7595762021	0.006476277725
34	Pontibacter	0.8891605542	0.006311619436
35	Roseomonas	0.8899755501	0.006221161108
36	Nitrolancea	0.847595762	0.006017336384
37	Tumebacillus	0.7351263244	0.005686080821
38	Pseudonocardia	0.8549307253	0.005485870174
39	CSP1-2	0.7310513447	0.00523167243
40	Chthoniobacter	0.8606356968	0.005141464672
41	Lysobacter	0.8630806846	0.004746509743
42	Saccharopolyspora	0.7660961695	0.004719147434
43	Cytophaga	0.8133659332	0.004605191412
44	Cellulomonas	0.8019559902	0.004470064481
45	Archangium	0.8239608802	0.004341294002
46	Pirellula	0.8638956805	0.00421190588
47	Actinomadura	0.7750611247	0.004183170496
48	Chelativorans	0.7766911165	0.004025378337
49	Segetibacter	0.8312958435	0.003943425157
50	Devosia	0.8427057865	0.003714462596
51	Phenylobacterium	0.8810105949	0.003644431817
52	Steroidobacter	0.8353708231	0.003578122267
53	Oxalophagus	0.7033414833	0.003519734426
54	Halalkalibacter	0.5134474328	0.003463769707
55	Gemmatimonas	0.8761206194	0.003399965909
56	Gaiella	0.792991035	0.003320618239
57	Prauserella	0.576202119	0.003137287441
58	Cnuella	0.8190709046	0.003078531052
59	Azospirillum	0.858190709	0.002658004686
60	Vallicoccus	0.7416462918	0.0025918525
61	Roseisolibacter	0.8109209454	0.002568997035
62	Mycobacterium	0.7701711491	0.002510501999
63	Sphingomonas	0.7970660147	0.002473410658
64	Daejeonella	0.7579462103	0.002328866939
65	Telluribacter	0.7465362673	0.00217543336
66	MND1	0.7905460473	0.002166646614
67	Marmoricola	0.7872860636	0.002141180822
68	Pir4 lineage	0.7563162184	0.002131296637
69	Terribacillus	0.7008964955	0.00211307376
70	Croceibacterium	0.8427057865	0.002087524199
71	Verrucosispora	0.6487367563	0.002067418083
