metric	contrast	contrast_label	n_sites	mean_difference	median_difference	bootstrap_ci_low	bootstrap_ci_high	wilcoxon_w	p	fraction_positive	bootstrap_resamples	bootstrap_seed	q_within_metric
shannon	Deep-Surface	shallow subsurface minus surface	60	0.0753573674045	0.0981388584187	-0.0889714413594	0.234702354226	700	0.113479678025	0.566666666667	1000000	20260723	0.113479678025
shannon	Rhizosphere-Surface	root-adjacent minus surface	60	-0.130359456896	-0.250208038096	-0.32125591635	0.0787879866301	568	0.0106347687157	0.333333333333	1000000	20260723	0.0180939554052
shannon	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-0.2057168243	-0.429840829668	-0.398092116422	-0.00118878307657	574	0.0120626369368	0.316666666667	1000000	20260723	0.0180939554052
richness_hurlbert_25000	Deep-Surface	shallow subsurface minus surface	60	141.408690481	76.9765326156	39.3228842108	244.768134096	605	0.0224836181875	0.566666666667	1000000	20260723	0.0674508545624
richness_hurlbert_25000	Rhizosphere-Surface	root-adjacent minus surface	60	-10.4920252917	5.56617556581	-136.018821465	115.961778613	883	0.813765349083	0.5	1000000	20260723	0.813765349083
richness_hurlbert_25000	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-151.900715773	-74.7735714028	-277.535449354	-28.7848960224	658	0.0585000453347	0.433333333333	1000000	20260723	0.087750068002
evenness_h_over_log_hurlbert	Deep-Surface	shallow subsurface minus surface	60	0.0125020393576	0.00980489192677	0.000840015234862	0.0250789072457	574	0.0120626369368	0.666666666667	1000000	20260723	0.0120626369368
evenness_h_over_log_hurlbert	Rhizosphere-Surface	root-adjacent minus surface	60	-0.0314781207286	-0.0242054148427	-0.044773208831	-0.0186339580723	267	1.83934630332e-06	0.2	1000000	20260723	2.75901945498e-06
evenness_h_over_log_hurlbert	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-0.0439801600863	-0.0449955038944	-0.0571716799501	-0.0313135563675	183	7.09717632872e-08	0.133333333333	1000000	20260723	2.12915289861e-07
evenness_h_over_log_observed	Deep-Surface	shallow subsurface minus surface	60	0.00664802119107	0.00783997821611	-0.0069317825983	0.019932212124	747	0.216180168196	0.633333333333	1000000	20260723	0.216180168196
evenness_h_over_log_observed	Rhizosphere-Surface	root-adjacent minus surface	60	-0.032597871582	-0.0294488759721	-0.0469880722394	-0.0185695188448	320	1.18595580861e-05	0.2	1000000	20260723	1.77893371292e-05
evenness_h_over_log_observed	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-0.0392458927731	-0.0466240388679	-0.0539608856811	-0.0245378657043	286	3.64874903196e-06	0.183333333333	1000000	20260723	1.09462470959e-05
