Trip	Site	Type	shannon	richness_hurlbert_25000	evenness_h_over_log_hurlbert	evenness_h_over_log_observed	sequencing_depth	n_profiles
1	1	Deep	6.65582741667	1636.62520126	0.899399069222	0.896353136403	207774	2
1	1	Rhizosphere	6.76349588609	2175.8681657	0.880088293931	0.871067279739	421548	2
1	1	Surface	6.16739868902	1597.14618261	0.838158141788	0.823152629359	995003	3
1	2	Deep	6.98554155916	4260.57106853	0.908266804723	0.87688952512	1473044	3
1	2	Rhizosphere	5.13929224666	1526.14264902	0.823255076795	0.809069805564	233931	2
1	2	Surface	6.11505693878	3029.06307031	0.842734209793	0.845955012174	685205	2
1	3	Deep	6.59516863499	2250.50927431	0.879945820849	0.8656202985	617780	2
1	3	Rhizosphere	4.98236384869	1534.10388595	0.703508509963	0.750926120287	540125	3
1	3	Surface	5.82963588195	994.067148988	0.867829983546	0.864328841761	94096	2
1	4	Deep	6.20706979307	2382.22805871	0.857230978631	0.841635707782	1121924	3
1	4	Rhizosphere	6.41183915272	2527.41327416	0.819612964341	0.780923793755	2868220	3
1	4	Surface	6.33288878265	1938.92891023	0.836589164864	0.806847019409	641748	1
1	5	Deep	5.78333860866	1127.02974038	0.895752086304	0.898695592211	167754	2
1	5	Surface	5.79082200281	1952.60071707	0.837866180504	0.82749246868	1012808	3
1	6	Deep	6.38460533062	3183.99325809	0.894780296348	0.862828866341	978991	2
1	6	Rhizosphere	5.47955443149	2006.25759725	0.78883957765	0.788194343026	868883	2
1	6	Surface	5.89182775158	1310.016932	0.824194468518	0.808728022242	572689	2
1	7	Deep	6.39279566802	1609.04091744	0.866516257044	0.858517918357	539326	2
1	7	Rhizosphere	5.30777835202			0.87532426848	14554	1
1	7	Surface	4.25520646803	879.701337805	0.634760891793	0.632178744616	201903	2
1	8	Rhizosphere	5.83847673371	1172.29240613	0.871701966658	0.870878057954	763061	3
1	8	Surface	6.10414047227	1262.2719397	0.87218923587	0.868361697551	197699	2
1	9	Deep	6.5385130118	1753.31885836	0.877388478209	0.868445146662	572622	2
1	9	Rhizosphere	5.79772282846	1007.9952969	0.838620203971	0.86798911418	481950	2
1	9	Surface	6.18736300248	1803.79052998	0.827285171254	0.814941770129	778496	3
1	10	Deep	6.65923238455	2134.77977395	0.86865760685	0.853015419939	503679	1
1	10	Rhizosphere	6.0887383197	1217.51710954	0.85740036265	0.849620030758	742124	2
1	10	Surface	6.45792730714	2428.60789043	0.828978879672	0.794487658771	2683084	2
1	11	Deep	5.88910036924	1076.58121417	0.846532164413	0.83871509642	639497	2
1	11	Rhizosphere	5.55777713159	2121.79773984	0.780091994161	0.767537235211	1544550	3
1	11	Surface	5.67888327431	917.463612527	0.832483950805	0.830309648056	125604	1
1	12	Deep	6.08267252566	1498.90809632	0.840598341469	0.824433537827	735313	2
1	12	Rhizosphere	6.13278560999	1366.31473215	0.870126913417	0.8653791477	354670	2
1	12	Surface	5.37688902085	1291.88318998	0.749518186533	0.742504781285	482363	3
1	13	Deep	6.3704847123	2166.8265591	0.829048383548	0.798292897127	2325640	2
1	13	Surface	5.65405654852	1328.19679025	0.78620532769	0.771177899287	357173	1
1	14	Deep	5.70479138815	1622.47300903	0.779376076939	0.754474199939	1939892	3
1	14	Rhizosphere	4.72981338951	597.448887359	0.740703769851	0.716273423827	988383	2
1	14	Surface	5.89325363569	1832.76022109	0.784347124734	0.741605291658	1079644	1
1	15	Deep	7.11127481637	3124.5103571	0.883709597674	0.848614700391	2124910	2
1	15	Rhizosphere	5.91322636799	1416.46689151	0.815134929157	0.784526236475	2035943	3
1	15	Surface	6.13254549078	1442.29869222	0.850428591199	0.84076863975	971961	2
1	16	Deep	6.29355310576	1512.40354776	0.86280410814	0.855000959049	537091	2
1	16	Rhizosphere	5.22766775599	1528.94449042	0.732513512053	0.738469242529	1708227	3
1	16	Surface	4.80518913673	804.702830366	0.718213659576	0.711027218335	214146	1
1	17	Deep	6.63119360362	1777.80517381	0.886183823509	0.880194125333	377750	3
1	17	Rhizosphere	5.5528274881	876.662329461	0.820786072056	0.81347483461	254784	2
1	17	Surface	5.88076212341	1408.56548862	0.839369998173	0.837769160387	730670	3
1	18	Deep	5.75325189392	932.478064257	0.841383705805	0.837439179736	299805	1
1	18	Rhizosphere	4.31852654613	715.211642027	0.660512360917	0.634121130252	1255244	2
1	18	Surface	5.24522008602	487.560393017	0.847912388611	0.846405516929	230212	2
1	19	Deep	5.55148524352	964.262045459	0.817420823189	0.81408966502	187793	2
1	19	Surface	4.59057505915	1034.06136097	0.661893722928	0.649129537895	896382	2
1	20	Deep	5.62846868664	1360.15562158	0.780169464517	0.767516683334	821711	2
1	20	Rhizosphere	5.80253203709	1849.27048881	0.771470297866	0.751623992943	834875	2
1	20	Surface	4.26852922988	749.12843528	0.644801136545	0.633371656099	881277	2
1	21	Deep	6.12778106775	1728.72780474	0.821953740592	0.804199849735	355097	1
1	21	Surface	6.17219828017	1682.0811537	0.833387828949	0.822685863547	866584	3
1	22	Deep	6.25108732852	1643.3700745	0.846808346524	0.832291781188	1315676	3
1	22	Rhizosphere	5.74794086042	1182.8608362	0.812681051637	0.798330270598	655515	2
1	22	Surface	5.68117091539	563.454070949	0.898315436453	0.894938312528	334183	2
1	23	Deep	5.84301528936	1427.12252856	0.804382428731	0.797709064578	314175	2
1	23	Rhizosphere	5.02694032621	724.544370661	0.764566719753	0.761077959238	286415	3
1	23	Surface	5.5300595574	1312.76799486	0.770377033423	0.754093170416	1541881	3
1	24	Deep	6.23950324928	1624.77576095	0.843982614507	0.822286321529	999400	2
1	24	Surface	5.04412643336	610.559934698	0.786549026157	0.780810330673	145880	2
1	25	Deep	6.34325660243	2248.42692878	0.822152278235	0.794338773065	1297728	2
1	25	Rhizosphere	5.26500939512	1102.61283617	0.75156034988	0.730378873607	375595	1
1	25	Surface	6.13182044438	1596.75014003	0.83227526938	0.819772552317	1194673	2
1	26	Deep	6.01292156677	1698.55428073	0.808977541116	0.790530289588	1519920	3
1	26	Rhizosphere	5.28384804754	856.457910784	0.783871213309	0.774295225002	349279	2
1	26	Surface	5.7837074082	1446.74303407	0.794820227463	0.783374610438	1535430	3
1	27	Deep	6.571049932	2309.7013707	0.851560423696	0.831468065806	1485853	3
1	27	Rhizosphere	5.32472282433	1541.67151258	0.72544629411	0.702537406197	867136	2
1	27	Surface	5.79496183444	1910.1144899	0.767467994007	0.740643913891	1399384	2
1	28	Deep	6.24890739442	1224.05479448	0.879374885184	0.875078823939	460857	2
1	28	Rhizosphere	6.07333801381	1797.81307374	0.816489452054	0.798874914578	566434	2
1	28	Surface	5.82050622511	1538.96205688	0.800132788642	0.777394325406	1722363	3
1	29	Deep	6.35308298297	1475.56681969	0.87551804717	0.867770007164	1169069	3
1	29	Rhizosphere	6.21620098235	1437.6660469	0.859403905837	0.851241510433	974827	3
1	29	Surface	5.55846384382	759.639961749	0.843559019471	0.832449158452	831757	2
1	30	Deep	6.17215729052	1051.47899416	0.887065100127	0.884963216502	139558	1
1	30	Rhizosphere	6.15329421371	1921.55237175	0.818218101211	0.792697352321	1125663	2
1	30	Surface	5.68474643178	1339.01521484	0.792308793253	0.77946523894	1334299	3
1	31	Deep	6.01958195343	857.873064591	0.891201574789	0.884488297338	462115	1
1	31	Rhizosphere	5.10825107641	856.159354663	0.757398290768	0.742691926398	527866	2
