Site	Type	shannon	richness_hurlbert_25000	evenness_h_over_log_hurlbert	evenness_h_over_log_observed
1	Deep	5.16412479486	1618.76418322	0.818714457376	0.815005889871
1	Rhizosphere	5.41901734309	1358.34684407	0.771959100145	0.760254002331
1	Surface	6.19923866272	1737.16631476	0.840832780183	0.834371722331
2	Deep	6.23933057087	2562.65426737	0.87793258959	0.848037161557
2	Rhizosphere	5.58003439928	1998.97129494	0.805616023246	0.789683187274
2	Surface	6.58811968588	2670.63530948	0.856943348994	0.839610294935
3	Deep	6.29696173555	2238.24734036	0.891946735164	0.882914914679
3	Rhizosphere	5.54678623193	1789.67509224	0.747992544644	0.74228193621
3	Surface	6.2974599111	1474.70776025	0.887913387249	0.8785156029
4	Deep	6.6572091813	2697.15435886	0.861837944182	0.836791126738
4	Rhizosphere	6.18459306078	2096.21265318	0.813077959562	0.784951443241
4	Surface	6.5539953769	2189.59063379	0.856707360149	0.8323196692
5	Deep	6.27516209502	1533.41369434	0.889030960622	0.879242454365
5	Rhizosphere	6.45972066807	2227.87877542	0.847748032742	0.828989364467
5	Surface	6.35254029046	2204.39276361	0.845248833696	0.821703129409
6	Deep	6.74895230528	2866.86263853	0.870749301646	0.843928409423
6	Rhizosphere	5.68982819083	2294.07656139	0.812840427734	0.791251257158
6	Surface	6.16751279794	1888.39551513	0.825268110076	0.798441138019
7	Deep	6.4870280537	1931.37453849	0.860273235291	0.84646617338
7	Rhizosphere	5.93792070015	1827.97342997	0.817273889918	0.808693212784
7	Surface	5.72444377939	1496.90945341	0.786042463057	0.775720465899
8	Deep	5.72538698026	1979.89075288	0.852270315852	0.809234574415
8	Rhizosphere	6.32074926011	2239.65120792	0.855734220398	0.837885642632
8	Surface	6.18598621995	1531.72406145	0.857578562259	0.844249258717
9	Deep	6.07896583272	1692.4678018	0.818661635885	0.804564947052
9	Rhizosphere	5.38020602201	1268.70783799	0.765321060617	0.754626665309
9	Surface	6.07010730273	1790.35469697	0.811442711264	0.797311857243
10	Deep	6.12464988828	2099.8224712	0.805196674178	0.784753287173
10	Rhizosphere	5.19420454917	1572.23828544	0.727262270534	0.710890208378
10	Surface	6.26563927152	2229.11086315	0.813365975532	0.789599625561
11	Deep	6.54942436686	2257.61988326	0.860387200111	0.841159381162
11	Rhizosphere	6.15996391861	2381.79579094	0.81140359934	0.786312829518
11	Surface	5.60602405519	1247.287933	0.805280869196	0.787971148779
12	Deep	6.91213276203	2721.35441294	0.883525943393	0.85607257053
12	Rhizosphere	6.14289852845	1912.6793166	0.824364125408	0.801369083781
12	Surface	6.13759309786	1866.06026369	0.822157250702	0.801365200786
13	Deep	6.47003105409	2099.65844411	0.849001659707	0.826565631921
13	Rhizosphere	6.46511291384	2373.98762458	0.837517314728	0.815123218643
13	Surface	6.18514483653	1625.62409292	0.843299912796	0.826135230913
14	Deep	5.8227590233	1942.31776248	0.771789080578	0.747929782706
14	Rhizosphere	4.47690074679	621.233717052	0.707197177323	0.688382716721
14	Surface	6.06339114988	1957.31008201	0.801442699265	0.777075387257
15	Deep	6.93797340982	2841.43936822	0.877982879206	0.853543528766
15	Rhizosphere	6.18289860832	1945.98020899	0.831267333281	0.806292880146
15	Surface	6.63911071374	2429.94735678	0.86729794015	0.847254667697
16	Deep	6.46124475172	2177.66944727	0.844725626718	0.828571889859
16	Rhizosphere	6.05741098638	1820.93103995	0.81305507847	0.79489091719
16	Surface	5.94514367706	1717.62162385	0.803810999789	0.786531272855
17	Deep	6.54937382983	2431.75035413	0.843944645807	0.819448799944
17	Rhizosphere	6.07907269808	1487.58762885	0.838918187517	0.82178237049
17	Surface	6.43716814577	1928.36084086	0.862275679329	0.852924402403
18	Deep	6.02951014916	1267.3668876	0.853961787678	0.845855341647
18	Rhizosphere	4.13417209329	1373.46419619	0.614094500814	0.595885730128
18	Surface	5.93644623673	1339.16965384	0.843001556878	0.833757672513
19	Deep	6.48429018224	2304.89247525	0.857899338078	0.831964050601
19	Rhizosphere	5.96274343682	1821.06053313	0.802605752663	0.777889005813
19	Surface	6.17761417847	2217.16978243	0.805525064612	0.784482099459
20	Deep	6.20729316139	1566.68585601	0.845435872481	0.833798955602
20	Rhizosphere	6.07769653089	1994.98870302	0.805611053401	0.777441356745
20	Surface	5.94674826092	1849.59700072	0.79616102333	0.77944017609
21	Deep	6.52666403249	2213.31130511	0.849494582515	0.828560491464
21	Rhizosphere	5.94862567525	2087.70600835	0.791501610137	0.766423779917
21	Surface	6.19248344845	2308.07868762	0.80967390602	0.78606728057
22	Deep	6.08396066119	1617.47730763	0.828008395577	0.813669295678
22	Rhizosphere	6.20775229516	1946.49840512	0.825434501768	0.805515468594
22	Surface	6.15698611957	1566.83356338	0.871752853794	0.863219658891
23	Deep	6.21984359227	2081.54286345	0.861597074714	0.841229805487
23	Rhizosphere	5.98260544259	1714.65375398	0.849301274398	0.829938271113
23	Surface	6.22551549966	1823.24118394	0.832849000363	0.817889406258
24	Deep	5.98474906176	1878.28508975	0.795261283415	0.76875425525
24	Rhizosphere	6.51718855878	2243.65244626	0.853976597465	0.834477859406
24	Surface	5.70038779259	1262.3275957	0.807613866201	0.797615874859
25	Deep	6.35471277726	2203.14843988	0.828134608774	0.802156581575
25	Rhizosphere	5.18763487145	1296.15661904	0.726701393034	0.701549660406
25	Surface	5.8912460594	1965.28597023	0.781959537932	0.759113474641
26	Deep	6.51297583093	2198.73513134	0.847441992125	0.829076195744
26	Rhizosphere	5.70238806965	1553.43699277	0.80184372372	0.787587274664
26	Surface	6.39749129088	2165.92426054	0.836945291358	0.818459342016
27	Deep	6.57196139185	2497.66221183	0.847238760538	0.821667859364
27	Rhizosphere	5.16575872302	1369.09166182	0.719580531913	0.691719195873
27	Surface	5.84081631576	1920.85415155	0.775165241967	0.75501197462
28	Deep	6.71676554065	2283.65609467	0.877809991826	0.857941546823
28	Rhizosphere	5.8757950237	1933.97107818	0.783435491323	0.761013985497
28	Surface	6.43865289533	2217.42572226	0.840549486437	0.817741618092
29	Deep	6.4913042147	1711.72423658	0.874461575864	0.861795496497
29	Rhizosphere	6.04041418645	1847.77812943	0.83006883648	0.815498346119
29	Surface	5.75337486628	1407.66734446	0.807015845122	0.792552475756
30	Deep	6.2534983231	1485.38683771	0.860670476686	0.849679068688
30	Rhizosphere	5.94020686739	1616.9848367	0.808706770254	0.785843144449
30	Surface	6.3374182055	2227.09204912	0.826883924924	0.807891397834
31	Deep	6.07721896496	1676.34616564	0.827698543328	0.813349209046
31	Rhizosphere	5.11797683618	747.62142359	0.774591440948	0.766398281689
31	Surface	6.16342302078	1365.92028054	0.85681922951	0.84798049462
32	Deep	6.33387009273	1513.84137413	0.865637597449	0.856242259976
32	Rhizosphere	5.916603268	1720.44240743	0.812286999745	0.790168002843
32	Surface	6.32771351906	1725.21842677	0.850794414897	0.832552130809
33	Deep	6.21513502553	1750.38700555	0.833334080137	0.819149901606
33	Rhizosphere	5.93363706768	1626.46116706	0.803452035297	0.779683185029
33	Surface	6.15039846781	1571.06964567	0.842445212683	0.831320293189
34	Deep	6.08184129199	2100.69659708	0.797935147856	0.773503873363
34	Rhizosphere	5.63942645738	1475.03097004	0.779876305969	0.758495565474
34	Surface	5.89693863415	1613.54880396	0.804929643843	0.788880515634
35	Deep	6.63637101146	2413.08250245	0.856010686942	0.827411895482
35	Rhizosphere	5.89125081506	1323.85262414	0.842642080732	0.822614065914
35	Surface	6.33385734484	1996.8168729	0.83551200286	0.815913696213
36	Deep	6.32127469702	1681.67137786	0.858137623738	0.841980702408
36	Rhizosphere	5.55403833561	1269.29038893	0.777321448411	0.761905286021
36	Surface	5.89322082135	1795.33645799	0.830364171845	0.813962448707
37	Deep	6.20749562284	1591.8650004	0.845358451817	0.830037889084
37	Rhizosphere	5.50427842343	1556.35906386	0.753213683055	0.723176440945
37	Surface	6.28928644228	1798.32021529	0.842518322812	0.827822961527
38	Deep	6.35448068382	1973.29666584	0.838139163474	0.820765697571
38	Rhizosphere	5.44556495319	1306.36971294	0.797625957739	0.771702685375
38	Surface	6.24549984555	1976.22858655	0.824017125165	0.800215487159
39	Deep	5.70310955243	1582.28601593	0.83303751829	0.786267168426
39	Rhizosphere	5.39376785353	1308.93038904	0.767408527608	0.746594128496
39	Surface	5.9983858272	1376.55156122	0.833871984383	0.821919643957
40	Deep	6.30844820292	1921.27653177	0.849285656548	0.836051407293
40	Rhizosphere	6.21023195722	1888.38526027	0.831969019621	0.808447159861
40	Surface	6.37224913976	2015.0486555	0.848438065677	0.821170063549
41	Deep	4.39050131938	924.542610438	0.750957966909	0.681542093137
41	Rhizosphere	5.45748169675	1030.83750526	0.786645431835	0.772030396193
41	Surface	5.93543856752	803.160118842	0.887402341872	0.882746353328
42	Deep	5.34638527889	1257.62260175	0.845121867283	0.834695499605
42	Rhizosphere	5.72348118166	1241.79617028	0.809197997544	0.790359447369
42	Surface	6.02614181997	1540.31516922	0.825367819334	0.805560638306
43	Deep	6.26103270092	1976.33482754	0.834260202282	0.810419925346
43	Rhizosphere	5.50068371029	1475.6108275	0.770026643962	0.74680654306
43	Surface	5.65478314616	972.115399936	0.835283283307	0.824299050109
44	Deep	6.29030034299	1752.41667256	0.847061694505	0.828793527158
44	Rhizosphere	5.78917669416	1703.4553781	0.807320921389	0.784978606768
44	Surface	6.0246937554	1354.69912036	0.836382875418	0.823894275825
45	Deep	5.72767279475	1342.68281271	0.797289934068	0.780604181064
45	Rhizosphere	5.63979623504	1415.42256499	0.782750302009	0.762928791593
45	Surface	5.74863450719	1538.65551652	0.788176850982	0.767306034855
46	Deep	5.55959068721	1120.76168691	0.810942533378	0.801972555904
46	Rhizosphere	5.07408409333	1227.27814531	0.794951641479	0.811181230348
46	Surface	4.10114475512	176.416512755	0.824205880926	0.823107796278
47	Deep	4.90198283633	735.024858954	0.777071797137	0.768321672673
47	Rhizosphere	5.33099706516	1290.39410793	0.829466018488	0.82175479136
47	Surface	4.91139079648	1040.28032541	0.831790124283	0.82332994017
48	Deep	4.4723314491	824.51146125	0.793379587651	0.779245857558
48	Rhizosphere	5.53800635383	1266.48925316	0.805775536984	0.787188708554
48	Surface	5.7326574975	1250.58088269	0.809165602407	0.798033460496
49	Deep	4.97054035041	954.066547158	0.752423165192	0.739045715194
49	Rhizosphere	5.13881779492	581.180603939	0.824531591153	0.822575952237
49	Surface	5.5622399741	969.147892412	0.834053056438	0.828073414041
50	Deep	5.85030347134	1111.9372706	0.838652829964	0.831840444064
50	Rhizosphere	5.36696968841	1416.02318786	0.740289526234	0.723551085983
50	Surface	5.86658561825	1378.69239711	0.833174420035	0.819933568838
51	Deep	5.70557035024	964.086657021	0.839705549473	0.825740408788
51	Rhizosphere	5.04681238202	863.500808666	0.755226971531	0.735422127492
51	Surface	5.30065515192	614.703486505	0.827016133018	0.82378731682
52	Deep	3.47034666837	284.730277513	0.827958607474	0.823349436317
52	Rhizosphere	5.30634844881	644.319989013	0.820375399162	0.817911050182
52	Surface	2.51558753176	58.5645375794	0.76788799274	0.763719432619
53	Deep	2.99942353124	491.218475515	0.773577000692	0.713679898425
53	Rhizosphere	4.0652818466	714.154108801	0.670185946407	0.654599389526
53	Surface	2.24676698641	99.6984830992	0.530115444338	0.525189259921
54	Deep	4.41519786347	512.861800816	0.80422747743	0.798210008386
54	Rhizosphere	4.85007619889	695.828276335	0.773317152438	0.768519273053
54	Surface	2.50290233819	324.178644346	0.775572432153	0.685540630211
55	Deep	3.60194431169	343.586221558	0.66129122727	0.639559991
55	Rhizosphere	4.01740330945	549.138164572	0.689505765635	0.672617812131
55	Surface	3.84136918422	384.314809046	0.710595714673	0.700757998712
56	Deep	2.98274687907	123.497380625	0.657146655553	0.630272182735
56	Rhizosphere	3.0248149031	355.929319557	0.514885583764	0.514377678026
56	Surface	3.56735680815	583.192413259	0.648944571783	0.656462503373
57	Deep	3.67652767851	149.355840404	0.776109626985	0.771801316036
57	Rhizosphere	4.94320233942	799.808190788	0.748375596278	0.733481267443
57	Surface	3.83126010342	153.70912756	0.767266973184	0.761361694099
58	Deep	2.093980554	3.99998342332	0.740411289608	0.748547790016
58	Rhizosphere	4.50643781775	629.191538764	0.730886136457	0.715612957197
58	Surface	4.14687368011	495.749160354	0.749215011396	0.790760893882
59	Deep	2.6856085981	113.809097349	0.677683002334	0.585059857852
59	Rhizosphere	3.3862804097	264.327072384	0.612502932605	0.717041980549
59	Surface	3.63285371599	496.401766894	0.646300365588	0.651285792304
60	Deep	4.07250795743	261.605911529	0.732731258205	0.728669324421
60	Rhizosphere	4.97574212872	936.896448126	0.761139785917	0.745189685807
60	Surface	3.8964291346	246.71545851	0.778209456917	0.776399570377
