sample	compartment_source_label	n_shared_kos	spearman_rho
11Dr3	Deep	3471	0.756388218682
11PRr3	Rhizosphere	3471	0.754238669734
14Dr3	Deep	3471	0.758678159478
14PRr2	Rhizosphere	3471	0.768753889687
14Sr2	Surface	3471	0.772237672294
15PRr2	Rhizosphere	3471	0.794814376769
17PRr2	Rhizosphere	3471	0.729754247644
18PRr2	Rhizosphere	3471	0.742996360192
1Dr2	Deep	3471	0.710821636841
1Sr3	Surface	3471	0.75899865604
23PRr2	Rhizosphere	3471	0.807995580123
24PRr2	Rhizosphere	3471	0.609859065841
25PRr2	Rhizosphere	3471	0.776336676779
27PRr1	Rhizosphere	3471	0.742527620976
2Dr1	Deep	3471	0.727802636204
2PRr2	Rhizosphere	3471	0.748903391112
2Sr3	Surface	3471	0.75630766771
30PRr3	Rhizosphere	3471	0.800625520229
31PRr3	Rhizosphere	3471	0.750742082655
34PRr1	Rhizosphere	3471	0.749790453063
37PRr2	Rhizosphere	3471	0.773794500883
38PRr2	Rhizosphere	3471	0.780076614539
39PRr3	Rhizosphere	3471	0.730836023036
3PRr3	Rhizosphere	3471	0.716161232533
41PRr2	Rhizosphere	3471	0.653922037828
42PRr2	Rhizosphere	3471	0.734230559858
44Dr2	Deep	3471	0.760958277185
45PRr2	Rhizosphere	3471	0.745767711822
48Dr2	Deep	3471	0.713291086918
48Sr2	Surface	3471	0.708506380823
49Dr2	Deep	3471	0.748477764566
4Dr2	Deep	3471	0.748592448321
4PRr1	Rhizosphere	3471	0.783551550795
50Dr1	Deep	3471	0.786724383309
50PRr2	Rhizosphere	3471	0.6938617954
51Dr1	Deep	3471	0.693518112598
55Dr2	Deep	3471	0.680622444536
55Sr3	Surface	3471	0.671996694353
5Sr2	Surface	3471	0.696558846058
62PRr2	Rhizosphere	3471	0.729927902381
64Dr3	Deep	3471	0.774311094188
64PRr2	Rhizosphere	3471	0.698486404961
64Sr2	Surface	3471	0.778119995318
6Dr1	Deep	3471	0.692761684983
6PRr2	Rhizosphere	3471	0.765464730496
7PRr2	Rhizosphere	3471	0.782280227817
9Dr3	Deep	3471	0.771433019907
9Sr2	Surface	3471	0.751189070979
F10PRr1	Rhizosphere	3471	0.712878604316
F12Dr1	Deep	3471	0.730391332482
F12PRr3	Rhizosphere	3471	0.762384823476
F13Dr1	Deep	3471	0.765029786612
F13PRr1	Rhizosphere	3471	0.783041892691
F14PRr2	Rhizosphere	3471	0.809273530042
F15Dr3	Deep	3471	0.764725742806
F15Sr2	Surface	3471	0.774229211615
F16Dr2	Deep	3471	0.732160688434
F17PRr3	Rhizosphere	3471	0.77115961756
F19PRr1	Rhizosphere	3471	0.73071182191
F1Dr1	Deep	3471	0.441601068281
F1PRr3	Rhizosphere	3471	0.75415325558
F1Sr1	Surface	3471	0.740417964733
F21Dr3	Deep	3471	0.659585092007
F21PRr1	Rhizosphere	3471	0.792877927024
F21Sr2	Surface	3471	0.801595273472
F22PRr2	Rhizosphere	3471	0.725476800653
F23PRr1	Rhizosphere	3471	0.727508380611
F24PRr1	Rhizosphere	3471	0.691253068724
F25Dr2	Deep	3471	0.724589651266
F25PRr3	Rhizosphere	3471	0.703892387855
F25Sr1	Surface	3471	0.711565253525
F26PRr1	Rhizosphere	3471	0.735688932539
F27Dr1	Deep	3471	0.720642235456
F27PRr2	Rhizosphere	3471	0.789077538428
F27Sr1	Surface	3471	0.73598326892
F28Dr1	Deep	3471	0.74946541073
F28PRr2	Rhizosphere	3471	0.775548650313
F2Dr1	Deep	3471	0.677153440861
F2PRr3	Rhizosphere	3471	0.715452024322
F2Sr2	Surface	3471	0.653199205687
F31Dr2	Deep	3471	0.704608609507
F32PRr1	Rhizosphere	3471	0.766058964396
F34PRr2	Rhizosphere	3471	0.74009127544
F35Dr1	Deep	3471	0.717831927762
F35PRr1	Rhizosphere	3471	0.779297454224
F36Dr3	Deep	3471	0.758251389529
F36PRr2	Rhizosphere	3471	0.744728610002
F36Sr1	Surface	3471	0.738000946515
F37Dr2	Deep	3471	0.745806095684
F37PRr2	Rhizosphere	3471	0.71428447336
F37Sr1	Surface	3471	0.767065505616
F38Dr3	Deep	3471	0.684438451027
F38PRr1	Rhizosphere	3471	0.750892163025
F38Sr1	Surface	3471	0.708324970532
F39Sr1	Surface	3471	0.719450773972
F3PRr1	Rhizosphere	3471	0.716745297178
F41Dr3	Deep	3471	0.485461763415
F41PRr1	Rhizosphere	3471	0.702319726037
F42PRr2	Rhizosphere	3471	0.781794962097
F43PRr2	Rhizosphere	3471	0.75443731328
F45Dr3	Deep	3471	0.761436973264
F45Sr3	Surface	3471	0.715563334406
F47Dr3	Deep	3471	0.625280413707
F48Dr2	Deep	3471	0.756165156341
F48Sr2	Surface	3471	0.798179308851
F49Dr1	Deep	3471	0.7005452288
F49PRr3	Rhizosphere	3471	0.460654631909
F4Dr1	Deep	3471	0.779518837639
F4PRr2	Rhizosphere	3471	0.777843745964
F4Sr2	Surface	3471	0.798185002456
F51PRr1	Rhizosphere	3471	0.713467322071
F54PRr2	Rhizosphere	3471	0.522209806785
F57PRr2	Rhizosphere	3471	0.698242250865
F58PRr1	Rhizosphere	3471	0.742445547126
F58Sr3	Surface	3471	0.753795150806
F5Sr2	Surface	3471	0.716820562607
F6PRr3	Rhizosphere	3471	0.764493678314
F8PRr3	Rhizosphere	3471	0.786060689452
F9PRr2	Rhizosphere	3471	0.757850420778
T2Dr2	Deep	3471	0.739574831684
T5Sr2	Surface	3471	0.741356382977
T7Dr3	Deep	3471	0.760675245604
T7PRr1	Rhizosphere	3471	0.544239537709
T8Dr1	Deep	3471	0.648350812523
T8PRr1	Rhizosphere	3471	0.711587174522
