sample_id	n_source_picrust_columns	source_picrust_columns	aggregation_rule
11Dr3	1	e0329_11Dr3	within_sample_normalize
11PRr3	1	e0330_11PRr3	within_sample_normalize
14Dr3	1	e0340_14Dr3	within_sample_normalize
14PRr2	1	e0342_14PRr2	within_sample_normalize
14Sr2	1	e0343_14Sr2	within_sample_normalize
15PRr2	1	e0347_15PRr2	within_sample_normalize
17PRr2	1	e0358_17PRr2	within_sample_normalize
18PRr2	1	e0360_18PRr2	within_sample_normalize
1Dr2	1	e0365_1Dr2	within_sample_normalize
1Sr3	1	e0369_1Sr3	within_sample_normalize
23PRr2	1	e0897_23PRr2	within_sample_normalize
24PRr2	1	e0384_24PRr2	within_sample_normalize
25PRr2	1	e0387_25PRr2	within_sample_normalize
27PRr1	1	e0399_27PRr1	within_sample_normalize
2Dr1	1	e0414_2Dr1	within_sample_normalize
2PRr2	1	e0416_2PRr2	within_sample_normalize
2Sr3	1	e0417_2Sr3	within_sample_normalize
30PRr3	1	e0420_30PRr3	within_sample_normalize
31PRr3	1	e0425_31PRr3	within_sample_normalize
34PRr1	1	e0433_34PRr1	within_sample_normalize
37PRr2	1	e0445_37PRr2	within_sample_normalize
38PRr2	1	e0451_38PRr2	within_sample_normalize
39PRr3	1	e0455_39PRr3	within_sample_normalize
3PRr3	1	e0459_3PRr3	within_sample_normalize
41PRr2	1	e0463_41PRr2	within_sample_normalize
42PRr2	1	e0467_42PRr2	within_sample_normalize
44Dr2	1	e0474_44Dr2	within_sample_normalize
45PRr2	1	e0477_45PRr2	within_sample_normalize
48Dr2	1	e0484_48Dr2	within_sample_normalize
48Sr2	1	e0486_48Sr2	within_sample_normalize
49Dr2	1	e0487_49Dr2	within_sample_normalize
4Dr2	1	e0881_4Dr2	within_sample_normalize
4PRr1	1	e0491_4PRr1	within_sample_normalize
50Dr1	1	e0495_50Dr1	within_sample_normalize
50PRr2	1	e0497_50PRr2	within_sample_normalize
51Dr1	1	e0500_51Dr1	within_sample_normalize
55Dr2	1	e0513_55Dr2	within_sample_normalize
55Sr3	1	e0515_55Sr3	within_sample_normalize
5Sr2	1	e0815_5Sr2	within_sample_normalize
62PRr2	1	e0530_62PRr2	within_sample_normalize
64Dr3	1	e0534_64Dr3	within_sample_normalize
64PRr2	1	e0535_64PRr2	within_sample_normalize
64Sr2	1	e0538_64Sr2	within_sample_normalize
6Dr1	1	e0540_6Dr1	within_sample_normalize
6PRr2	1	e0541_6PRr2	within_sample_normalize
7PRr2	1	e0821_7PRr2	within_sample_normalize
9Dr3	1	e0547_9Dr3	within_sample_normalize
9Sr2	1	e0551_9Sr2	within_sample_normalize
F10PRr1	1	e8366_F10PRr1	within_sample_normalize
F12Dr1	1	e8411_F12Dr1	within_sample_normalize
F12PRr3	1	e8412_F12PRr3	within_sample_normalize
F13Dr1	1	e8424_F13Dr1	within_sample_normalize
F13PRr1	1	e8401_F13PRr1	within_sample_normalize
F14PRr2	1	e8426_F14PRr2	within_sample_normalize
F15Dr3	1	e8379_F15Dr3	within_sample_normalize
F15Sr2	1	e8403_F15Sr2	within_sample_normalize
F16Dr2	1	e8380_F16Dr2	within_sample_normalize
F17PRr3	1	e8382_F17PRr3	within_sample_normalize
F19PRr1	1	e8384_F19PRr1	within_sample_normalize
F1Dr1	1	e8287_F1Dr1	within_sample_normalize
F1PRr3	1	e8295_F1PRr3	within_sample_normalize
F1Sr1	1	e8290_F1Sr1	within_sample_normalize
F21Dr3	1	e8454_F21Dr3	within_sample_normalize
F21PRr1	1	e8410_F21PRr1	within_sample_normalize
F21Sr2	1	e8386_F21Sr2	within_sample_normalize
F22PRr2	1	e8512_F22PRr2	within_sample_normalize
F23PRr1	1	e8513_F23PRr1	within_sample_normalize
F24PRr1	1	e8526_F24PRr1	within_sample_normalize
F25Dr2	1	e8481_F25Dr2	within_sample_normalize
F25PRr3	1	e8472_F25PRr3	within_sample_normalize
F25Sr1	1	e8503_F25Sr1	within_sample_normalize
F26PRr1	1	e8551_F26PRr1	within_sample_normalize
F27Dr1	1	e8493_F27Dr1	within_sample_normalize
F27PRr2	1	e8484_F27PRr2	within_sample_normalize
F27Sr1	1	e8528_F27Sr1	within_sample_normalize
F28Dr1	1	e8506_F28Dr1	within_sample_normalize
F28PRr2	1	e8495_F28PRr2	within_sample_normalize
F2Dr1	1	e8296_F2Dr1	within_sample_normalize
F2PRr3	1	e8304_F2PRr3	within_sample_normalize
F2Sr2	1	e8300_F2Sr2	within_sample_normalize
F31Dr2	1	e8556_F31Dr2	within_sample_normalize
F32PRr1	1	e8534_F32PRr1	within_sample_normalize
F34PRr2	1	e8561_F34PRr2	within_sample_normalize
F35Dr1	1	e8581_F35Dr1	within_sample_normalize
F35PRr1	1	e8562_F35PRr1	within_sample_normalize
F36Dr3	1	e8616_F36Dr3	within_sample_normalize
F36PRr2	1	e8583_F36PRr2	within_sample_normalize
F36Sr1	1	e8624_F36Sr1	within_sample_normalize
F37Dr2	1	e8617_F37Dr2	within_sample_normalize
F37PRr2	1	e8596_F37PRr2	within_sample_normalize
F37Sr1	1	e8636_F37Sr1	within_sample_normalize
F38Dr3	1	e8637_F38Dr3	within_sample_normalize
F38PRr1	1	e8597_F38PRr1	within_sample_normalize
F38Sr1	1	e8564_F38Sr1	within_sample_normalize
F39Sr1	1	e8575_F39Sr1	within_sample_normalize
F3PRr1	1	e8311_F3PRr1	within_sample_normalize
F41Dr3	2	e0784_F41Dr3;e8588_F41Dr3	sum_then_within_sample_normalize
F41PRr1	1	e8629_F41PRr1	within_sample_normalize
F42PRr2	1	e8567_F42PRr2	within_sample_normalize
F43PRr2	1	e8687_F43PRr2	within_sample_normalize
F45Dr3	1	e8730_F45Dr3	within_sample_normalize
F45Sr3	1	e8689_F45Sr3	within_sample_normalize
F47Dr3	1	e8680_F47Dr3	within_sample_normalize
F48Dr2	1	e8681_F48Dr2	within_sample_normalize
F48Sr2	1	e8709_F48Sr2	within_sample_normalize
F49Dr1	1	e8682_F49Dr1	within_sample_normalize
F49PRr3	1	e8683_F49PRr3	within_sample_normalize
F4Dr1	1	e8313_F4Dr1	within_sample_normalize
F4PRr2	1	e8319_F4PRr2	within_sample_normalize
F4Sr2	1	e8316_F4Sr2	within_sample_normalize
F51PRr1	1	e8685_F51PRr1	within_sample_normalize
F54PRr2	1	e8650_F54PRr2	within_sample_normalize
F57PRr2	1	e8652_F57PRr2	within_sample_normalize
F58PRr1	1	e8653_F58PRr1	within_sample_normalize
F58Sr3	2	e0797_F58Sr3;e8646_F58Sr3	sum_then_within_sample_normalize
F5Sr2	1	e8323_F5Sr2	within_sample_normalize
F6PRr3	1	e8332_F6PRr3	within_sample_normalize
F8PRr3	1	e8350_F8PRr3	within_sample_normalize
F9PRr2	1	e8358_F9PRr2	within_sample_normalize
T2Dr2	1	e0862_T2Dr2	within_sample_normalize
T5Sr2	1	e734_T5Sr2	within_sample_normalize
T7Dr3	1	e707_T7Dr3	within_sample_normalize
T7PRr1	1	e752_T7PRr1	within_sample_normalize
