compartment	taxon_a	taxon_b	partial_correlation	absolute_partial_correlation	full_data_selected	bootstrap_selection_probability	bootstrap_sign_consistency_with_full	null_selection_probability	stable_edge
Surface	Domibacillus	Massilia	0.2189045467	0.2189045467	true	0.99	1	0.01	true
Surface	Domibacillus	Microvirga	0	0	false	0.5	0	0.01	false
Surface	Domibacillus	Bacillus	0	0	false	0.52	0	0.01	false
Surface	Domibacillus	Flavisolibacter	0.01384063074	0.01384063074	true	0.455	1	0	false
Surface	Domibacillus	Herpetosiphon	-0	0	false	0.12	0.9583333333	0	false
Surface	Domibacillus	Noviherbaspirillum	0	0	false	0.005	1	0.01	false
Surface	Domibacillus	Streptomyces	0	0	false	0.17	0	0	false
Surface	Domibacillus	Paenibacillus	0	0	false	0.1	0	0	false
Surface	Domibacillus	Nocardioides	0.06798675251	0.06798675251	true	0.525	1	0.03	false
Surface	Domibacillus	Rubrobacter	0	0	false	0.015	0.3333333333	0.01	false
Surface	Domibacillus	Lysinibacillus	0.2692545533	0.2692545533	true	1	1	0.01	true
Surface	Domibacillus	Deinococcus	0	0	false	0.005	0	0.01	false
Surface	Domibacillus	Rubellimicrobium	0	0	false	0.005	0	0	false
Surface	Domibacillus	Ammoniphilus	0	0	false	0	0	0	false
Surface	Domibacillus	Geodermatophilus	-0	0	false	0.035	1	0.01	false
Surface	Domibacillus	Ramlibacter	0	0	false	0.005	0	0	false
Surface	Domibacillus	Nibribacter	0.08124488097	0.08124488097	true	0.835	1	0.01	true
Surface	Domibacillus	Ectobacillus	0.02374261741	0.02374261741	true	0.54	1	0.03	false
Surface	Domibacillus	Neobacillus	0.02223767387	0.02223767387	true	0.58	1	0.02	false
Surface	Domibacillus	Planococcus	0	0	false	0.31	0	0	false
Surface	Domibacillus	Acidiferrimicrobium	-0	0	false	0.05	1	0.02	false
Surface	Domibacillus	Adhaeribacter	0	0	false	0.215	0	0	false
Surface	Domibacillus	Bradyrhizobium	0	0	false	0.055	0	0.01	false
Surface	Domibacillus	Solirubrobacter	-0	0	false	0.065	1	0	false
Surface	Domibacillus	Metabacillus	0.04471080562	0.04471080562	true	0.605	1	0	false
Surface	Domibacillus	Ellin6055	-0	0	false	0.045	1	0.03	false
Surface	Domibacillus	Symbiobacterium	0	0	false	0.01	0.5	0	false
Surface	Domibacillus	Halomonas	-0	0	false	0.04	1	0.01	false
Surface	Domibacillus	Sphingoaurantiacus	-0	0	false	0.01	0.5	0.03	false
Surface	Domibacillus	Arthrobacter	0.08913578558	0.08913578558	true	0.855	1	0.01	true
Surface	Domibacillus	Pontibacter	-0	0	false	0.135	1	0	false
Surface	Domibacillus	Blastococcus	-0	0	false	0	0	0.01	false
Surface	Domibacillus	Tumebacillus	-0	0	false	0	0	0	false
Surface	Domibacillus	Roseomonas	-0	0	false	0.015	0.3333333333	0.02	false
Surface	Domibacillus	Nitrolancea	0	0	false	0	0	0.02	false
Surface	Domibacillus	CSP1-2	0	0	false	0	0	0.02	false
Surface	Domibacillus	Chthoniobacter	-0	0	false	0	0	0	false
Surface	Domibacillus	Pseudomonas	0	0	false	0.215	0	0	false
Surface	Domibacillus	Lysobacter	-0	0	false	0.015	1	0	false
Surface	Domibacillus	Cytophaga	-0	0	false	0	0	0.01	false
Surface	Domibacillus	Pseudonocardia	-0.03976363604	0.03976363604	true	0.595	1	0	false
Surface	Domibacillus	Archangium	0	0	false	0.09	0	0.01	false
