distance_class	phylogenetic_distance_low	phylogenetic_distance_high	pair_count	mean_elemental_axis_niche_difference
1	0.002677878	0.6030483879	31960	0.8079093542158223
2	0.6030483879	0.9044561406000001	31960	0.8732996865693997
3	0.9044561406000001	1.0180114803	31960	0.9274123791661827
4	1.0180114803	1.1006422222	31960	0.859247902107881
5	1.1006422222	1.1903641885	31960	0.7926142982915684
6	1.1903641885	1.2681980406	31960	0.8120532358283404
7	1.2681980406	1.3564449216	31960	0.760167535313743
8	1.3564449216	1.4874175208	31960	0.6988454593989164
9	1.4874175208	1.6814549063	31960	0.6483166751384972
10	1.6814549063	2.7951852750000006	31960	0.5146863287227287
