contrast	pathway	description	n_sites	mean_clr_difference	p_value	q_global_600	supported_q_lt_0_05
Deep-Surface	PWY-3781	aerobic respiration I (cytochrome c)	60	0.04921372998	0.0149	0.03478599222	True
Deep-Surface	PWY-7111	pyruvate fermentation to isobutanol (engineered)	60	-0.01842423736	0.5681	0.6670450098	False
Deep-Surface	PWY-5101	L-isoleucine biosynthesis II	60	0.02766459876	0.3176	0.4244097996	False
Deep-Surface	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	60	0.02302410823	0.5145	0.6198396794	False
Deep-Surface	VALSYN-PWY	L-valine biosynthesis	60	0.02302410823	0.5145	0.6198396794	False
Deep-Surface	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	60	0.04735692784	0.019	0.04318181818	True
Deep-Surface	PWY-5973	cis-vaccenate biosynthesis	60	0.02373087449	0.4587	0.5639754098	False
Deep-Surface	PWY-7663	gondoate biosynthesis (anaerobic)	60	0.02014534577	0.5651	0.6655294118	False
Deep-Surface	FASYN-ELONG-PWY	fatty acid elongation -- saturated	60	0.01365558305	0.699	0.7835820896	False
Deep-Surface	TCA	TCA cycle I (prokaryotic)	60	0.03073059766	0.2078	0.304097561	False
Deep-Surface	PWY-6969	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	60	0.04237119745	0.0436	0.08493506494	False
Deep-Surface	PWY-5103	L-isoleucine biosynthesis III	60	0.04264638929	0.0444	0.08621359223	False
Deep-Surface	PWY-7094	fatty acid salvage	60	-0.011210644	0.7388	0.8163535912	False
Deep-Surface	PWY-5667	CDP-diacylglycerol biosynthesis I	60	0.05591149416	0.0004	0.001481481481	True
Deep-Surface	PWY0-1319	CDP-diacylglycerol biosynthesis II	60	0.05591149416	0.0004	0.001481481481	True
Deep-Surface	FAO-PWY	fatty acid &beta;-oxidation I	60	-0.04045104494	0.1779	0.2629064039	False
Deep-Surface	NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	60	0.06717178565	0.0002	0.0008333333333	True
Deep-Surface	PWY-7208	superpathway of pyrimidine nucleobases salvage	60	0.05007574446	0.0031	0.008732394366	True
Deep-Surface	PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	60	0.06046165536	0.0002	0.0008333333333	True
Deep-Surface	PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	60	0.06502501781	0.0002	0.0008333333333	True
Deep-Surface	PWY-3001	superpathway of L-isoleucine biosynthesis I	60	0.04969350635	0.0147	0.034453125	True
Deep-Surface	PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	60	-0.0339689257	0.152	0.2320610687	False
Deep-Surface	PWY-2942	L-lysine biosynthesis III	60	0.04229908278	0.0447	0.08643086817	False
Deep-Surface	REDCITCYC	TCA cycle VIII (helicobacter)	60	-0.03767203363	0.1478	0.2279691517	False
Deep-Surface	PWY-7219	adenosine ribonucleotides de novo biosynthesis	60	0.06642178588	0.0002	0.0008333333333	True
Deep-Surface	SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	60	0.03776222583	0.1008	0.1732951289	False
Deep-Surface	PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	60	0.06093788226	0.0002	0.0008333333333	True
Deep-Surface	PWY-7220	adenosine deoxyribonucleotides de novo biosynthesis II	60	0.05429180537	0.0011	0.003567567568	True
Deep-Surface	PWY-7222	guanosine deoxyribonucleotides de novo biosynthesis II	60	0.05429180537	0.0011	0.003567567568	True
Deep-Surface	P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	60	-0.01215862343	0.6565	0.7446124764	False
Deep-Surface	PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis	60	0.05863846402	0.0005	0.001775147929	True
Deep-Surface	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	60	0.04991412587	0.0062	0.01631578947	True
Deep-Surface	PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	60	0.04991412587	0.0062	0.01631578947	True
Deep-Surface	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	60	0.03965726282	0.0385	0.07694352159	False
Deep-Surface	PWY-5686	UMP biosynthesis	60	0.05600394899	0.0019	0.005816326531	True
Deep-Surface	PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)	60	0.07520071159	0.0001	0.0005042016807	True
Deep-Surface	PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)	60	0.07520071159	0.0001	0.0005042016807	True
Deep-Surface	PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I	60	0.04957606444	0.0023	0.006764705882	True
Deep-Surface	PWY-5097	L-lysine biosynthesis VI	60	0.03904262756	0.0898	0.156173913	False
Deep-Surface	PWY-841	superpathway of purine nucleotides de novo biosynthesis I	60	0.05126760345	0.0028	0.007924528302	True
Deep-Surface	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	60	0.0632698419	0.0002	0.0008333333333	True
Deep-Surface	PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	60	0.05136828566	0.001	0.003351955307	True
Deep-Surface	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	60	0.05016429255	0.0021	0.006331658291	True
