endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	-493.5091037658496	213.83068346354236	-2.307943349252736	0.01243584328460699	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	241.83748889417618	115.88288205233508	2.086912964288871	0.010191067435750841	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	234.02860095924402	61.446981908319486	3.808626456355836	0.0331553111721742	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	179.5673223157866	44.895941071035374	3.9996337760616516	0.036440038950894024	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	150.53030219757815	38.432102418605325	3.9167855184707534	0.0349983266227253	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	132.4633096832073	35.24667269609434	3.7581791287177433	0.032310999304027206	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	118.31239464862283	33.23828861852647	3.5595212499201137	0.029082071197428134	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	105.1597481875861	31.595584909375752	3.3283051568505932	0.02551989512653726	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	92.31443717486496	30.0263129096149	3.074451313844279	0.02185732843785218	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	80.10940500198376	28.482977729837778	2.8125361667528157	0.018357320754591223	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	69.03903548656815	27.010373475616827	2.556019284549768	0.015210079353540731	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	59.36545416739729	25.66217149536766	2.3133449239910773	0.012493393693184255	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.5	51.08795075796224	24.470197150593773	2.087762123188394	0.010199277951027791	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.0	44.04807309291947	23.442613609606603	1.8789744960378014	0.008277355975673318	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.5	38.03053847316122	22.571569929462072	1.6848867221912185	0.006666473271530278	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.0	32.8227677078476	21.84094227295371	1.5028091415494016	0.005310736080394638	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.5	28.240599548248984	21.23159949149656	1.3301211507667894	0.004165137639300919	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.0	24.134992866834402	20.724363105933406	1.1645710289608142	0.0031959603734264042	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.5	20.390201067941426	20.301437055153656	1.004372301948213	0.002379110544952586	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.0	16.919013063474903	19.94696886393575	0.8481997028663633	0.0016979224066216289	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.5	13.657565270203248	19.64716879844995	0.6951416466315876	0.001141065062043112	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.0	10.56064877465394	19.390228115062644	0.5446376758430324	0.0007007620112850547	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.5	7.597732778953821	19.166160698669174	0.39641391400216003	0.0003713608370931215	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.0	4.749659173087289	18.96662625468105	0.2504219310967364	0.00014823131872035016	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.5	2.0058925961546032	18.784758444287963	0.10678298590336953	2.6955788917722577e-05	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.0	-0.6377826817671539	18.615004498160218	-0.034261752761337666	2.7750932498503363e-06	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.5	-3.1811977094525115	18.45297575270696	-0.17239483496236893	7.025506180314996e-05	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.0	-5.621414572010795	18.295306526504664	-0.30725992832462107	0.00022313852799961094	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.5	-7.954050986074495	18.13951912552456	-0.43849293528857414	0.0004543467950093671	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	15.0	-10.174331492936558	17.98389402607759	-0.5657468553908983	0.0007560933852236711	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	15.5	-12.277881243690326	17.827345602169892	-0.6887105639661744	0.001120073203986993	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	16.0	-14.261282203902605	17.66930472449627	-0.8071218662119245	0.0015376926327500145	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	16.5	-16.12241775257739	17.509610015326246	-0.9207753764056059	0.0020003105812955	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	17.0	-17.860637444852603	17.34840952049984	-1.029525929956143	0.002499466658751604	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	17.5	-19.47677741800248	17.186074174576433	-1.133288336833476	0.0030270795452245866	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	18.0	-20.973072797854304	17.02312384133763	-1.2320343195133743	0.0035756054899820644	617	60	193
