endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	612.1453835168782	139.36054792101467	4.3925299709916725	0.043623258751915334	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	394.1047791415186	94.26666143808991	4.180743999301904	0.03968097332922676	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	368.85732213159974	95.92187359576663	3.8453932174639958	0.033776807767153014	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	330.8176828220527	102.80406064755034	3.217943734306526	0.023895323716249785	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	238.784409749498	103.66946356088653	2.303324446250815	0.012386733158064774	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	137.37489391019253	94.41547921598075	1.4550039363348428	0.0049798908846487204	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	77.38956667241318	80.04804756724901	0.9667889352004192	0.0022047756115692796	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	54.09081376999275	65.93864720707538	0.8203203441545381	0.0015883135942473161	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	47.3606094968884	54.153803798509315	0.8745573934769858	0.0018048939956678352	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	45.549999553857056	44.92095250254766	1.014003421928191	0.002424845641289436	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	44.44213045733489	37.858627904127665	1.1738970194556215	0.0032471855308077923	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	43.027517781186134	32.477198720743786	1.324853111598682	0.004132346395075995	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.5	41.279311393261686	28.347617868118125	1.456182723546853	0.0049879229144432794	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.0	39.35961437199445	25.13857428915514	1.5657059115311207	0.005761962000187897	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.5	37.40753114184115	22.607343753208898	1.6546628188697092	0.006430973108072287	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.0	35.50859801242093	20.579597486237915	1.7254272361821659	0.006988871357916244	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.5	33.706888853425234	18.930533629619486	1.7805567192615246	0.007439236424441537	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.0	32.02075853327694	17.57031732583472	1.822434845055123	0.007790530306162102	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.5	30.454203990468894	16.433638498905992	1.8531625843233845	0.008053320936285215	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.0	29.0038383736644	15.47244015693811	1.8745484280098235	0.008238726913445998	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.5	27.662858064840353	14.650900729477565	1.888133608685422	0.008357572981145887	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.0	26.423186862438772	13.941967653521624	1.8952265217574578	0.008419952903754219	617	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.5	25.276578097189844	13.32494674293084	1.896936519509888	0.008435025606353688	617	60	193
