soil_position	soil_position_label	n_analysis_units	nuisance_rank	endpoint	cluster_definition	n_clusters	estimate_per_mm_at_kernel_peak	standard_error	t	p_two_sided	ci_low	ci_high
Surface	surface	196	73	richness_hurlbert_25000	site	60	281.4616933885899	128.3163017454953	2.1934991077505157	0.028271438803612194	29.966363338045	532.9570234391348
Surface	surface	196	73	richness_hurlbert_25000	campaign_rain_grid	193	281.4616933885899	125.83829241773304	2.2366935213507912	0.02530637773022319	34.82317237381335	528.1002144033664
Surface	surface	196	73	shannon	site	60	0.14659982207853917	0.09846347559858729	1.4888751507837543	0.13652024818438202	-0.04638504388733036	0.33958468804440867
Surface	surface	196	73	shannon	campaign_rain_grid	193	0.14659982207853917	0.09851850251332182	1.4880435485579544	0.13673940933287235	-0.046492894658390405	0.33969253881546874
Surface	surface	196	73	evenness_h_over_log_hurlbert	site	60	0.010067883799753957	0.010348117386903478	0.9729193652650111	0.33059337951090784	-0.010214053586369596	0.03034982118587751
Surface	surface	196	73	evenness_h_over_log_hurlbert	campaign_rain_grid	193	0.010067883799753957	0.009289743879878272	1.0837633340528523	0.2784697461649056	-0.008139679630408844	0.028275447229916758
Deep	shallow-subsurface	203	73	richness_hurlbert_25000	site	60	606.0441331958353	174.72800397202727	3.468500294279438	0.0005233719536125128	263.5835383200904	948.5047280715803
Deep	shallow-subsurface	203	73	richness_hurlbert_25000	campaign_rain_grid	197	606.0441331958353	147.43371940733246	4.110620932796561	3.9459654705996614e-05	317.07935305067974	895.008913340991
Deep	shallow-subsurface	203	73	shannon	site	60	0.34657345977570053	0.1661126295384211	2.0863763383839498	0.036944546601900094	0.020998688503150842	0.6721482310482503
Deep	shallow-subsurface	203	73	shannon	campaign_rain_grid	197	0.34657345977570053	0.14402843198861176	2.406285029910649	0.016115685548871165	0.06428292032824484	0.6288639992231562
Deep	shallow-subsurface	203	73	evenness_h_over_log_hurlbert	site	60	0.02980802777985809	0.013111723036105706	2.273387540125415	0.023002836333751636	0.004109522853826736	0.05550653270588944
Deep	shallow-subsurface	203	73	evenness_h_over_log_hurlbert	campaign_rain_grid	197	0.02980802777985809	0.011262305662401634	2.6467074037397125	0.008127964586568441	0.0077343142986693696	0.051881741261046804
Rhizosphere	root-adjacent	218	72	richness_hurlbert_25000	site	60	35.57048389784972	116.73324368502037	0.3047159727166414	0.7605824833430208	-193.2224695233279	264.36343731902735
Rhizosphere	root-adjacent	218	72	richness_hurlbert_25000	campaign_rain_grid	211	35.57048389784972	112.87917093029998	0.3151199960514734	0.7526705467335809	-185.66862573027885	256.8095935259783
Rhizosphere	root-adjacent	218	72	shannon	site	60	-0.1295635982957255	0.12871222076498695	-1.0066145819385175	0.3141200242888277	-0.3818349153652684	0.12270771877381742
Rhizosphere	root-adjacent	218	72	shannon	campaign_rain_grid	211	-0.1295635982957255	0.14269276720047167	-0.9079899481779566	0.363883532415886	-0.4092362828630083	0.15010908627155728
Rhizosphere	root-adjacent	218	72	evenness_h_over_log_hurlbert	site	60	-0.0018971159598490227	0.01222314071909982	-0.15520691477310725	0.8766581971485088	-0.02585403154724969	0.02205979962755164
Rhizosphere	root-adjacent	218	72	evenness_h_over_log_hurlbert	campaign_rain_grid	211	-0.0018971159598490227	0.012995312294591022	-0.14598463790967536	0.883933515672245	-0.027367460025097996	0.023573228105399947
