endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	-0.6947407127422888	55.140465229514	-0.01259947136554858	1.48361161843796e-06	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	3.902892560396877	32.29484525178846	0.1208518737268369	0.00013647833731995093	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	4.28575260694232	29.135596915624202	0.1470967840251816	0.00020217840413678506	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	2.756973307405134	28.895428143950536	0.09541209404029288	8.50718994379991e-05	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	-0.11108867995099353	29.34490575699939	-0.0037856206072325346	1.3393384544399954e-07	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	-3.9406349756685	29.887420794976784	-0.13184928210101046	0.00016244307703009862	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	-8.409230670101893	30.361250834055543	-0.27697247112986023	0.0007164372819944754	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	-13.236679905325662	30.73954560779431	-0.43060753318257816	0.001729925979740433	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	-18.176549919272443	31.029535116581553	-0.5857822184889668	0.003196671952362768	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	-23.016451928419272	31.24294979958203	-0.736692664299169	0.0050465164113974005	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	-27.58661358520053	31.390945809082957	-0.8788079770829446	0.00716606619498553	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	-31.767120295774667	31.48432306139902	-1.008982160226985	0.009424767867809054	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.5	-35.4872575881684	31.53338102889612	-1.1253870162431703	0.01169794889338184	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.0	-38.717130613408784	31.547030427826343	-1.2272828880672708	0.013881446074793406	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.5	-41.45556207651292	31.531899943273483	-1.314718179085063	0.015897249998986618	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.0	-43.7183875746544	31.491915899037675	-1.388241595551522	0.01769268343488428	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.5	-45.529562361053955	31.428426816898988	-1.4486745590642425	0.019236331747560433	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.0	-46.91571377595811	31.34072672045029	-1.4969567934538324	0.020513196605723292	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.5	-47.90365481553285	31.226780957339923	-1.5340567726457566	0.021520425375158185	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.0	-48.519925657571044	31.083988904458323	-1.5609298345429505	0.022264070077055824	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.5	-48.79140994684052	30.90986893195728	-1.5785058828378196	0.022756804932064376	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.0	-48.746257145812486	30.702597248494772	-1.587691645474792	0.023016318107427484	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.5	-48.414593448462654	30.461368541265188	-1.589376832589669	0.023064075907990447	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.0	-47.828751053224046	30.186574243978033	-1.5844378585875964	0.022924236734324855	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.5	-47.022953716307086	29.87981561878131	-1.5737364084251662	0.02262259913220355	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.0	-46.03254688209953	29.543783986492432	-1.5581127625068558	0.022185562151608447	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.5	-44.892946001979084	29.18204894491029	-1.5383753925821912	0.02163913729986875	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.0	-43.63850068035113	28.79879715654327	-1.5152890047158163	0.021008075783878682	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.5	-42.3014486897143	28.39856012040744	-1.4895631507498908	0.020315169302181073	179	60	71
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	15.0	-40.91108210140408	27.985961070220593	-1.4618430290370443	0.019580759361555886	179	60	71
