endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	-3.5406729442460567	38.975050235992	-0.09084460245227285	2.337832538081739e-05	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	-1.2112568017490986	22.837170939266354	-0.053038828888671896	7.96910751231459e-06	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	-1.521406189381991	20.602449310751105	-0.07384588921609753	1.544796349304374e-05	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	-3.009251206256847	20.404795982770942	-0.1474776424521837	6.160995758620575e-05	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	-5.200470140376628	20.683819680380672	-0.25142697145583104	0.00017904873460689534	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	-7.7660666154565945	21.038256739327316	-0.36914021497509825	0.0003858694561020173	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	-10.49284775989003	21.371457194023122	-0.4909748392273656	0.0006824130107757297	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	-13.255438233684993	21.672710795099498	-0.6116188398860669	0.0010585881336813824	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	-15.969363435980593	21.945392902411715	-0.7276863762245798	0.0014978309335125174	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	-18.562349909859122	22.18862081622301	-0.8365706937624274	0.0019786565491109035	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	-20.9669144348001	22.396683123641694	-0.9361615878142087	0.002476566739595681	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	-23.122848425579413	22.561878507905845	-1.024863617516467	0.002966655584588968	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.5	-24.981216900198266	22.67665376379342	-1.1016271254308436	0.0034261315320673427	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.0	-26.50690048752225	22.73470402396225	-1.1659223915817916	0.0038361480435019873	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.5	-27.679605834803002	22.731516862669906	-1.2176752656686511	0.004182807551309181	547	60	193
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.0	-28.493940739234993	22.664714869373757	-1.257193876184082	0.004457482235694818	547	60	193
