endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	45.60101942381806	37.68732127625271	1.209983036192914	0.0034820073600062987	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	24.91125140828869	21.840719187780042	1.1405875051141456	0.0030952580245613604	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	21.44187369361581	19.663561765985172	1.090436918234561	0.002829804025321016	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	20.33012660777488	19.57577731477174	1.0385348321486019	0.0025675069240778683	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	19.76822128431894	20.07744519179687	0.9845984434511483	0.002308344408292071	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	19.381915187747772	20.787230064205083	0.9323952795963317	0.0020705510767233606	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	19.120072886457773	21.60625569557281	0.8849322694248933	0.0018654993779296828	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	18.97462032977211	22.51503948223143	0.8427531448366604	0.0016921981107944268	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	18.907025474939765	23.509963433053635	0.804213308488502	0.0015411987144164283	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	18.843916032180488	24.585957793312403	0.766450353107911	0.0014000565297607654	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	18.689315941231897	25.734171790780337	0.7262450912808327	0.001257204874970437	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	18.336438257095292	26.942915326283188	0.680566228080294	0.0011041979928104633	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.5	17.67594046500204	28.198125587031882	0.6268480651469642	0.0009369220621284041	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.0	16.601759018535912	29.482634098894565	0.5631029765809964	0.0007561937579121927	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.5	15.016690963851243	30.77452632814835	0.48795847590726416	0.0005679433053355263	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.0	12.839988179845932	32.045223541951046	0.4006833705821039	0.00038302069349677295	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.5	10.018626311230749	33.25807330040666	0.30123892688360415	0.0002165280244820768	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.0	6.542335465533519	34.36832971586927	0.19035942449401763	8.647631712750662e-05	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.5	2.4598177404801156	35.32535578260725	0.06963320498788093	1.1572141112363734e-05	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.0	-2.109554625421383	36.07750062347992	-0.05847285950979777	8.160017659994569e-06	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.5	-6.976093430717914	36.57926253856284	-0.1907117023850202	8.679665047651662e-05	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.0	-11.897863461149168	36.799207924786444	-0.3233184661329423	0.0002494242411021044	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.5	-16.615620866013213	36.72625856994787	-0.45241801133560977	0.00048826281227709736	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.0	-20.8953598098118	36.37209988477628	-0.5744886843488971	0.0007870584483061633	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.5	-24.564473189352064	35.768802601887955	-0.6867569334863756	0.0011243551321301194	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.0	-27.530300300643713	34.96260880245036	-0.7874212263792583	0.001477603880157921	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.5	-29.778244756625174	34.00610654172383	-0.8756734535336682	0.0018267380600888417	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.0	-31.354857814469117	32.95108863828537	-0.951557569422407	0.0021563468215597043	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.5	-32.344812706481534	31.843520633501477	-1.015742357095172	0.0024563204540952992	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	15.0	-32.84936290226989	30.720949748182388	-1.06928214041343	0.0027213670212868743	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	15.5	-32.97031013270675	29.611925218250764	-1.113413257993307	0.002949957167968021	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	16.0	-32.80025374161248	28.536713652514035	-1.1494054340319189	0.0031431511492618063	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	16.5	-32.418032538851904	27.508645044312985	-1.1784670777724788	0.0033035720839666182	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	17.0	-31.88769041123115	26.53561954202251	-1.2016938349878343	0.0034346258698954384	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	17.5	-31.259454601423435	25.621506489602268	-1.22004748682944	0.0035399679514163175	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	18.0	-30.571635663083704	24.767317822626268	-1.2343539127662375	0.003623172337487779	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	18.5	-29.852774322948584	23.97213004649555	-1.2453117126032243	0.00368754798919598	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	19.0	-29.123674252359418	23.233775902599735	-1.2535058603668736	0.0037360538584542582	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	19.5	-28.399162341671847	22.549345010079474	-1.2594229379601725	0.0037712752814850195	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	20.0	-27.689534066223644	21.915535359941984	-1.2634660121894894	0.003795435642174198	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	20.5	-27.00170011813713	21.328892999550444	-1.2659681924751676	0.0038104262237263183	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	21.0	-26.340074961024843	20.785970340062107	-1.2672044908222524	0.0038178436768805763	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	21.5	-25.70725406220703	20.283426595426924	-1.2674019323738404	0.0038190289326101743	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	22.0	-25.104523814011575	19.8180878840219	-1.266748031441106	0.003815104214767055	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	22.5	-24.532241908299113	19.3869797465199	-1.2653978200344913	0.0038070065479678425	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	23.0	-23.99011892141302	18.987341187658938	-1.26347963542182	0.003795517179987414	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	23.5	-23.477425364151177	18.616626649691895	-1.261099865508649	0.003781286908520199	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	24.0	-22.993142925113204	18.272500367088703	-1.2583468306574523	0.00376485759514367	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	24.5	-22.53607416574085	17.952826153035616	-1.2552939561513137	0.0037466802780630657	617	60	197
