endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	-357.7935712087964	215.5680456155238	-1.659770909863602	0.006531850296419207	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	73.41329867005965	124.81640034622876	0.5881702922566119	0.0008249615798162282	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	137.3664287777018	76.50683011797724	1.7954792868280662	0.007635160032959286	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	114.75490905665701	55.544562390942275	2.065997176266713	0.010084251254543646	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	96.88356905737902	45.51834991646844	2.128450816762291	0.010696525959480927	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	86.22715846491872	39.979892325770706	2.1567631488926597	0.010979840465341586	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	79.64547983163733	36.50661274856892	2.181672684348385	0.011232063242237125	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	74.93732753610676	34.05221824109802	2.2006592053866267	0.011426169761324923	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	70.93383533402918	32.13799397574899	2.2071643733443707	0.011493043797267172	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	67.13503322363793	30.54758646412105	2.197719721736112	0.011396013247475677	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	63.39998826297472	29.186790012998767	2.172215177987665	0.011135974875659585	617	60	197
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	59.737066633881746	28.013687793242877	2.1324242304253422	0.010736070839701496	617	60	197
