endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	35.208467974430825	41.892738693999895	0.8404432145533988	0.0016991436520747971	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	20.26424982270359	24.025802044449083	0.8434369760149355	0.0017112495750229765	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	17.708712969095	21.6171873259576	0.8191959805904369	0.0016144545136468093	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	16.89899699732898	21.56305684287046	0.7837013611043933	0.0014777835824456016	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	16.456002253566645	22.18120358416034	0.7418895097882751	0.0013245085185205853	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	16.033947603353614	23.04699622805388	0.6957066094294901	0.001164924948854332	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	15.54309113403892	24.052551862394488	0.6462138081215458	0.0010052349576944418	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	14.939750215871769	25.179027015176086	0.5933410455800049	0.000847602878863075	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	14.162446671110402	26.424950307468016	0.5359497939001959	0.0006916710951020927	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	13.123464151999691	27.786309480626745	0.47229964674328817	0.000537221975525035	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	11.717196396906306	29.253443404373733	0.40054075805497985	0.0003864359080248401	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	9.830779361246917	30.81158187951618	0.31906116990969907	0.0002452411194958762	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.5	7.353991741314443	32.44083564696185	0.2266893436822784	0.00012381131594204993	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.0	4.1896901691245	34.11485850469703	0.12281130137320227	3.6342331584474564e-05	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.5	0.2671404314302425	35.79860407610854	0.007462314197008818	1.3418343542824744e-07	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.0	-4.440001944500798	37.446091907449215	-0.11857050277702119	3.387587438335614e-05	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.5	-9.891549197174795	38.99941132081414	-0.25363329502093374	0.00015498765785699033	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.0	-15.958909973765408	40.39035360424965	-0.3951168670156505	0.00037604489511335883	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.5	-22.412597492010814	41.54581084487196	-0.539467085519098	0.0007007729977868477	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.0	-28.93070693851631	42.397079713428084	-0.682374992194411	0.0011207560626916285	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.5	-35.13612597249031	42.891459042576095	-0.8191870073156646	0.0016144192022510377	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.0	-40.65850321076816	43.002765391839645	-0.9454857807466415	0.0021494503006427718	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.5	-45.20257185749137	42.73690903249278	-1.0576939905299176	0.002688455320645182	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.0	-48.59791193102518	42.130285940585686	-1.153514884744919	0.003196009614063016	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.5	-50.81321773142581	41.241726898171066	-1.2320826879264168	0.003644566738416263	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.0	-51.93543032149597	40.1412096924966	-1.2938182660500142	0.004017447316945027	617	60	201
