endpoint	endpoint_label	candidate_peak_days	estimate_per_mm_at_kernel_peak	classical_standard_error	classical_t	partial_r2	n_analysis_units	n_sites	nuisance_rank
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	0.5	-319.9740384965415	221.75178621724018	-1.442937817795422	0.004991990061549414	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.0	102.73570531727708	131.11689406083104	0.7835428535213269	0.0014771867473592788	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	1.5	157.2406320796713	80.46298874266655	1.9541982535914972	0.009118239167566464	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.0	124.4567421848116	57.906497435493804	2.1492707674722147	0.011008464382383804	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	2.5	100.86433056152887	47.02259899771525	2.145018197876083	0.010965421767398299	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.0	86.85046566322694	40.986332961884074	2.119010396563044	0.010703956866149205	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	3.5	78.32002710110038	37.25241204841116	2.102414925490463	0.010538712874271047	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.0	72.69590404248785	34.720332493684	2.0937559873803635	0.010452988377093627	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	4.5	68.55975747069684	32.86320927344717	2.086216136112178	0.010378619098439889	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.0	65.15826045961013	31.41430328640382	2.074159018125058	0.010260228286174178	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	5.5	62.10551263978095	30.234381767884944	2.0541353587639626	0.010065066995262129	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.0	59.21246475239599	29.24846118214174	2.024464274672659	0.009779219046665247	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	6.5	56.38987765380011	28.413703337080424	1.9846014785482133	0.009401479415176191	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.0	53.595208810868016	27.702967981739494	1.9346377921021127	0.008938238884571757	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	7.5	50.80561788078482	27.096609790148513	1.8749806073251338	0.008400051703482245	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.0	48.00574061807633	26.578589518915965	1.806180895487726	0.0077996259994949	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	8.5	45.18319146593142	26.134763596506005	1.7288540337886213	0.00715075450756771	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.0	42.3277122822525	25.752219528702653	1.6436529765939318	0.006467763444310113	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	9.5	39.43176656622783	25.41908253766117	1.5512663176495582	0.005765189588680158	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.0	36.49147226178399	25.124515840678875	1.4524248942023783	0.005057515786004587	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	10.5	33.507355452782676	24.85878627626576	1.3479079421015114	0.004358882792310282	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.0	30.48471026813814	24.61333763576283	1.2385443501918363	0.003682753716284024	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	11.5	27.433506430256546	24.38084564337429	1.1252073382332348	0.003041543809843651	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.0	24.36787188948729	24.155242300940955	1.008802627019728	0.0024462487593760267	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	12.5	21.305230135301766	23.931703910119396	0.8902512840422099	0.0019061124442763713	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.0	18.265203665271372	23.7066013069413	0.7704690954549994	0.0014283728015334705	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	13.5	15.26840992872893	23.477414440595997	0.6503446095975348	0.0010181144617926175	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.0	12.335274191264224	23.242616668012726	0.5307179637927965	0.0006782422224865074	617	60	201
richness_hurlbert_25000	Hurlbert expected richness at 25,000 reads	14.5	9.484966642952115	23.001536707805105	0.41236230272099966	0.0004095735511462586	617	60	201
