soil_position	soil_position_label	n_analysis_units	nuisance_rank	endpoint	cluster_definition	n_clusters	estimate_per_mm_at_kernel_peak	standard_error	t	p_two_sided	ci_low	ci_high
Surface	surface	196	81	richness_hurlbert_25000	site	60	96.85548356690043	119.30965567639656	0.8117992044969222	0.4169068586155704	-136.98714456671163	330.6981117005125
Surface	surface	196	81	richness_hurlbert_25000	campaign_rain_grid	74	96.85548356690043	65.75780170143544	1.4729124310855142	0.14077464965993502	-32.02743947043973	225.7384066042406
Surface	surface	196	81	shannon	site	60	-0.018243368363611512	0.11542234448298828	-0.15805750996766785	0.874411481799364	-0.24446700656144396	0.20798026983422094
Surface	surface	196	81	shannon	campaign_rain_grid	74	-0.018243368363611512	0.07018737905004635	-0.2599237727712168	0.7949225733279409	-0.15580810347096347	0.11932136674374044
Surface	surface	196	81	evenness_h_over_log_hurlbert	site	60	-0.006555201544687278	0.0127858877333964	-0.5126903724928904	0.608167925285021	-0.031615081012516685	0.01850467792314213
Surface	surface	196	81	evenness_h_over_log_hurlbert	campaign_rain_grid	74	-0.006555201544687278	0.008886686184711797	-0.7376429648167967	0.4607314394414739	-0.023972786408632065	0.010862383319257509
Deep	shallow-subsurface	203	80	richness_hurlbert_25000	site	60	165.98988009200582	88.7843112186862	1.8695857163677627	0.061541370316660175	-8.024172288814611	340.00393247282625
Deep	shallow-subsurface	203	80	richness_hurlbert_25000	campaign_rain_grid	76	165.98988009200582	95.98245680990567	1.7293772800664047	0.08374159358190045	-22.132278403080534	354.1120385870922
Deep	shallow-subsurface	203	80	shannon	site	60	0.232135390742393	0.17394937794142123	1.3344996888725082	0.18204014875524965	-0.10879912515593873	0.5730699066407248
Deep	shallow-subsurface	203	80	shannon	campaign_rain_grid	76	0.232135390742393	0.09281165391014244	2.501144855872731	0.012379253285663869	0.05022789173291775	0.41404288975186826
Deep	shallow-subsurface	203	80	evenness_h_over_log_hurlbert	site	60	0.006697604914651243	0.008383295897405654	0.7989226429099234	0.4243352686154612	-0.009733353116006229	0.023128562945308715
Deep	shallow-subsurface	203	80	evenness_h_over_log_hurlbert	campaign_rain_grid	76	0.006697604914651243	0.008515064682728142	0.7865594877084828	0.4315397826393741	-0.009991615189524898	0.023386825018827384
Rhizosphere	root-adjacent	218	80	richness_hurlbert_25000	site	60	117.59936001954998	107.33397680563797	1.09563964291103	0.27323650587023707	-92.77136883695798	327.97008887605796
Rhizosphere	root-adjacent	218	80	richness_hurlbert_25000	campaign_rain_grid	79	117.59936001954998	67.48014336687471	1.7427254026445689	0.08138159218241568	-14.659290651123882	249.85801069022384
Rhizosphere	root-adjacent	218	80	shannon	site	60	0.08289947809338273	0.16277071714012525	0.509302161653663	0.610540442974378	-0.23612526523901922	0.40192422142578466
Rhizosphere	root-adjacent	218	80	shannon	campaign_rain_grid	79	0.08289947809338273	0.0779465639704624	1.0635424304886258	0.2875360339252737	-0.06987298000737098	0.23567193619413646
Rhizosphere	root-adjacent	218	80	evenness_h_over_log_hurlbert	site	60	0.0017828712967748036	0.013559034090915075	0.13148955042228092	0.895388052360141	-0.024792347186569537	0.028358089780119146
Rhizosphere	root-adjacent	218	80	evenness_h_over_log_hurlbert	campaign_rain_grid	79	0.0017828712967748036	0.010777811443818033	0.16542053143798763	0.8686129945382925	-0.01934125096527218	0.022906993558821788
