product	Trip	window_days	n	spearman_rain_longitude	spearman_rain_sampling_day	spearman_sampling_day_longitude
NASA_POWER_PRECTOTCORR	1	1	60	-0.5793384993600874	-0.5705303207255745	0.9652323901129852
NASA_POWER_PRECTOTCORR	2	1	8			
NASA_POWER_PRECTOTCORR	3	1	60	-0.7669978580368647	-0.7727213238967267	0.9767789710125891
NASA_POWER_PRECTOTCORR	4	1	60	-0.3109558264117892	-0.18089619731013343	0.9187618666456024
NASA_POWER_PRECTOTCORR	5	1	60			0.9647294817968761
NASA_POWER_PRECTOTCORR	1	3	60	-0.8130268816943966	-0.7415372977072029	0.9652323901129852
NASA_POWER_PRECTOTCORR	2	3	8			
NASA_POWER_PRECTOTCORR	3	3	60	-0.940198058347378	-0.9235647904466433	0.9767789710125891
NASA_POWER_PRECTOTCORR	4	3	60	0.5354381188123007	0.6026787708382051	0.9187618666456024
NASA_POWER_PRECTOTCORR	5	3	60			0.9647294817968761
NASA_POWER_PRECTOTCORR	1	7	60	-0.9189976138830869	-0.8787893149509791	0.9652323901129852
NASA_POWER_PRECTOTCORR	2	7	8			
NASA_POWER_PRECTOTCORR	3	7	60	-0.45039064573677673	-0.45246448036650067	0.9767789710125891
NASA_POWER_PRECTOTCORR	4	7	60	0.19818299931123892	0.327870390734985	0.9187618666456024
NASA_POWER_PRECTOTCORR	5	7	60	0.36446547789282796	0.2810010785345119	0.9647294817968761
NASA_POWER_PRECTOTCORR	1	14	60	-0.9189976138830869	-0.8787893149509791	0.9652323901129852
NASA_POWER_PRECTOTCORR	2	14	8			
NASA_POWER_PRECTOTCORR	3	14	60	0.8310893475972774	0.8407840466950697	0.9767789710125891
NASA_POWER_PRECTOTCORR	4	14	60	-0.8004684958231073	-0.8018840349221064	0.9187618666456024
NASA_POWER_PRECTOTCORR	5	14	60	0.8076298431498818	0.7762661922185995	0.9647294817968761
NASA_POWER_PRECTOTCORR	1	30	60	-0.8946536893221696	-0.8588940886905913	0.9652323901129852
NASA_POWER_PRECTOTCORR	2	30	8			
NASA_POWER_PRECTOTCORR	3	30	60	0.819566927386793	0.8321243926025333	0.9767789710125891
NASA_POWER_PRECTOTCORR	4	30	60	-0.8005074806976591	-0.8609453996416607	0.9187618666456024
NASA_POWER_PRECTOTCORR	5	30	60	0.3316437217881547	0.38319852128690624	0.9647294817968761
NASA_POWER_PRECTOTCORR	1	60	60	-0.8445760627164188	-0.8240334816611126	0.9652323901129852
NASA_POWER_PRECTOTCORR	2	60	8	-0.9258200997725514		
NASA_POWER_PRECTOTCORR	3	60	60	0.819566927386793	0.8321243926025333	0.9767789710125891
NASA_POWER_PRECTOTCORR	4	60	60	-0.8757752646168395	-0.9153166134086528	0.9187618666456024
NASA_POWER_PRECTOTCORR	5	60	60	0.5362860639368824	0.5687593713057588	0.9647294817968761
NASA_POWER_PRECTOTCORR	1	90	60	-0.6414634670547471	-0.6168526024684525	0.9652323901129852
NASA_POWER_PRECTOTCORR	2	90	8	-0.9258200997725514		
NASA_POWER_PRECTOTCORR	3	90	60	0.8195276722713922	0.8317567276592469	0.9767789710125891
NASA_POWER_PRECTOTCORR	4	90	60	-0.9782510177651916	-0.9153166134086528	0.9187618666456024
