trip	metric	comparison	n_sites	mean_difference	median_difference	ci_low	ci_high	wilcoxon_w	p	fraction_positive	bootstrap_resamples	bootstrap_seed	q_within_metric
all	shannon	Deep-Surface	60	0.07535736740449633	0.09813885841865311	-0.08897144135939695	0.2347023542257329	700.0	0.11347967802538327	0.5666666666666667	1000000	20260723	0.189426442685062
all	shannon	Rhizosphere-Surface	60	-0.1303594568956347	-0.2502080380959244	-0.3212559163501875	0.07878798663012854	568.0	0.0106347687157284	0.3333333333333333	1000000	20260723	0.025633103490703617
all	shannon	Rhizosphere-Deep	60	-0.20571682430013102	-0.4298408296684002	-0.39809211642228637	-0.0011887830765719874	574.0	0.012062636936801702	0.31666666666666665	1000000	20260723	0.025633103490703617
1	shannon	Deep-Surface	52	0.43441840956834343	0.3897755893161059	0.24114529781685842	0.6329190690515527	222.0	2.1099144751812227e-05	0.75	1000000	20260723	0.00017934273039040392
1	shannon	Rhizosphere-Surface	45	-0.1283396019628884	-0.32793463530988376	-0.3902362811583983	0.16281056574788297	381.0	0.12558989826936795	0.4	1000000	20260723	0.189426442685062
1	shannon	Rhizosphere-Deep	46	-0.5113005687266429	-0.6903001622354665	-0.7422735033513123	-0.24576777516784795	160.0	1.0896568198859313e-05	0.21739130434782608	1000000	20260723	0.00017934273039040392
2	shannon	Rhizosphere-Surface	4	-0.672596129217832	-0.5949103886568237	-1.3324960163070934	-0.09038198268957887	1.0	0.25	0.25	1000000	20260723	0.30357142857142855
2	shannon	Rhizosphere-Deep	5	0.4130829790838126	0.25352416744715267	-1.154414109835368	1.928800703912519	6.0	0.8125	0.6	1000000	20260723	0.8125
3	shannon	Deep-Surface	54	0.21608043551540798	0.14901095735800496	-0.0027429310739601836	0.4329535964102507	481.0	0.024349331765690114	0.6666666666666666	1000000	20260723	0.04599318222408132
3	shannon	Rhizosphere-Surface	54	-0.3328556213889763	-0.3788377620703076	-0.5971634255057618	-0.06507672266584176	436.0	0.00831431774910077	0.35185185185185186	1000000	20260723	0.02355723362245218
3	shannon	Rhizosphere-Deep	54	-0.44579963148388374	-0.43330606242445935	-0.7438373058282722	-0.14683647717225326	388.0	0.002270781527811428	0.25925925925925924	1000000	20260723	0.00965082149319857
4	shannon	Deep-Surface	59	-0.2123737223232246	0.0014578132981766245	-0.5155405762570764	0.06632875242605046	793.0	0.4874227483084589	0.5254237288135594	1000000	20260723	0.549407958984375
4	shannon	Rhizosphere-Surface	58	-0.37996150411002616	-0.3859511435536056	-0.7380301122785147	-0.0004271074509594592	461.0	0.0022554405055918284	0.29310344827586204	1000000	20260723	0.00965082149319857
4	shannon	Rhizosphere-Deep	57	-0.18806416477646026	-0.4951192113933427	-0.5817189141860611	0.22437898239811033	643.0	0.14485551499445917	0.40350877192982454	1000000	20260723	0.189426442685062
5	shannon	Deep-Surface	17	0.1268091905307348	0.1530029841340257	-0.28575982727588645	0.5259901871244448	62.0	0.51708984375	0.5882352941176471	1000000	20260723	0.549407958984375
5	shannon	Rhizosphere-Surface	22	-0.3072429853984466	-0.19058140282145164	-0.6314485031769936	0.019315938020485333	80.0	0.13748931884765625	0.4090909090909091	1000000	20260723	0.189426442685062
5	shannon	Rhizosphere-Deep	32	-0.38351206352061334	-0.3259742385758537	-0.6411800887069882	-0.12305553228661108	122.0	0.006894533988088369	0.25	1000000	20260723	0.023441415559500457
all	richness_rare	Deep-Surface	60	141.40869048102098	76.9765326156164	39.322884210807885	244.7681340958115	605.0	0.022483618187483196	0.5666666666666667	1000000	20260723	0.06618957442028986
all	richness_rare	Rhizosphere-Surface	60	-10.492025291680754	5.5661755658062475	-136.01882146520913	115.96177861299195	883.0	0.813765349083316	0.5	1000000	20260723	0.8680163723555371
all	richness_rare	Rhizosphere-Deep	60	-151.90071577270174	-74.77357140275438	-277.5354493541888	-28.7848960223869	658.0	0.058500045334662486	0.43333333333333335	1000000	20260723	0.11700009066932497
1	richness_rare	Deep-Surface	52	267.8341249938466	192.96709246141617	105.84095184951458	434.41065989025714	379.0	0.004755518013585786	0.6923076923076923	1000000	20260723	0.019022072054343146
1	richness_rare	Rhizosphere-Surface	41	-26.206043164447898	-11.730919145175449	-237.14782803118487	180.54419496433994	425.0	0.9489011496671083	0.4878048780487805	1000000	20260723	0.9489011496671083
1	richness_rare	Rhizosphere-Deep	42	-406.68163117551404	-307.8419934229203	-632.805518698736	-191.87886756323198	188.0	0.0006853578411210037	0.23809523809523808	1000000	20260723	0.00548286272896803
2	richness_rare	Rhizosphere-Surface	3	360.4150849298422	328.4518550579246	90.57840546839998	662.214994263202	0.0	0.25	1.0	1000000	20260723	0.36363636363636365
3	richness_rare	Deep-Surface	53	187.26773931774264	117.47314281605418	56.017943070343875	322.0815800372878	462.0	0.024821090407608697	0.5849056603773585	1000000	20260723	0.06618957442028986
3	richness_rare	Rhizosphere-Surface	54	-301.1378010208769	-372.5542103622661	-471.7447313771078	-123.24481403905877	368.0	0.001261811161109622	0.2777777777777778	1000000	20260723	0.006729659525917984
3	richness_rare	Rhizosphere-Deep	53	-450.74157553583825	-504.9564745755031	-641.5672941709186	-255.71617368889522	269.0	7.725510608599777e-05	0.22641509433962265	1000000	20260723	0.0012360816973759643
4	richness_rare	Deep-Surface	56	-126.15559938729062	-86.49130201572905	-310.1902669495371	53.778625370720036	665.0	0.2779693898009373	0.44642857142857145	1000000	20260723	0.37062585306791646
4	richness_rare	Rhizosphere-Surface	56	-243.496218896009	-155.53109761690425	-452.7216109942904	-34.49916524016082	543.0	0.037520348033123326	0.39285714285714285	1000000	20260723	0.08576079550428188
4	richness_rare	Rhizosphere-Deep	54	-155.62784836268972	-10.600648879439518	-374.9007122926588	66.29313045053355	590.0	0.18916332255490453	0.48148148148148145	1000000	20260723	0.30266131608784724
