trip	compartment	site_campaign_position_groups	sites	pH_specimens	ph_mean	ph_sd	ph_min	ph_max
1	Deep	51	51	54	8.030490196078432	0.17335297777067735	7.61	8.39
1	Rhizosphere	45	45	47	7.97674074074074	0.21501055751491194	7.29	8.45
1	Surface	47	47	52	8.025851063829787	0.1760475452977558	7.395	8.43
2	Deep	4	4	5	7.77875	0.13218516053879384	7.595	7.91
2	Rhizosphere	6	6	10	7.559166666666667	0.08434551954115102	7.445	7.7
2	Surface	3	3	5	7.697777777777778	0.14553859103853306	7.53	7.79
3	Deep	46	46	50	7.994673913043478	0.2042340764197169	7.58	8.39
3	Rhizosphere	46	46	52	7.945652173913044	0.22512533635564716	7.54	8.46
3	Surface	49	49	54	7.987721088435373	0.2394473512353089	7.53	8.53
4	Deep	52	52	52	7.993653846153847	0.2545432575907627	7.4	8.42
4	Rhizosphere	54	54	54	8.002037037037038	0.35222944724715527	7.51	9.98
4	Surface	50	50	50	8.0516	0.24979469120680337	7.53	8.54
5	Deep	35	35	55	7.996333333333333	0.201131927568901	7.645	8.45
5	Rhizosphere	53	53	133	7.960503144654089	0.24875922542392384	7.516666666666667	8.436666666666667
5	Surface	21	21	29	7.912857142857144	0.185859970330969	7.51	8.425
