source_sheet	source_row	trip	sample_id	specimen_iri	site	compartment	replicate	measurement_date_raw	measurement_date	date_status	calibration_recorded	slope_percent	ph10_check	ph_value_raw	ph_value	notes	metadata_match	calibration_pass	slope_pass	ph10_check_pass	value_range_pass	disposition	ecology_eligible	kg_eligible	reason_codes	alpha_trip	alpha_site	alpha_compartment	shannon	sequencing_depth	n_profiles
Trip 1	2	1	1Sr1	https://rubalkhali.science/kb/RAK_6000004	1	Surface	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	1	Surface	6.278563061630953	466832.0	1
Trip 1	3	1	1Sr2	https://rubalkhali.science/kb/RAK_6000005	1	Surface	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	8.0	8.0		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	1	Surface	5.866764641138717	79374.0	1
Trip 1	4	1	1Sr3	https://rubalkhali.science/kb/RAK_6000006	1	Surface	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.98	7.98		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	1	Surface	6.356868364296517	448797.0	1
Trip 1	5	1	1Dr1	https://rubalkhali.science/kb/RAK_6000001	1	Deep	1	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	8.0	8.0		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	1	Deep	6.669304419200758	80130.0	1
Trip 1	6	1	1Dr2	https://rubalkhali.science/kb/RAK_6000002	1	Deep	2	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.99	7.99		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	1	Deep	6.642350414136711	127644.0	1
Trip 1	9	1	1PRr3	https://rubalkhali.science/kb/RAK_6000009	1	Rhizosphere	3	2026-07-21T00:00:00	2026-07-21	accepted	Yes	97.4	10.06	7.95	7.95		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	1	Rhizosphere	6.715934327655664	186884.0	1
Trip 1	10	1	2Sr1	https://rubalkhali.science/kb/RAK_6000013	2	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.15	8.15		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	2	Surface	5.474749176568929	18569.0	1
Trip 1	13	1	2Dr2	https://rubalkhali.science/kb/RAK_6000011	2	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.07	8.07		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	2	Deep	5.781290608805656	20729.0	1
Trip 1	16	1	2PRr2	https://rubalkhali.science/kb/RAK_6000017	2	Rhizosphere	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.9	7.9		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	2	Rhizosphere	6.034870259113963	227586.0	1
Trip 1	17	1	3Sr1	https://rubalkhali.science/kb/RAK_6000022	3	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.84	7.84		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	3	Surface	6.417511801421415	68097.0	1
Trip 1	19	1	3Dr2	https://rubalkhali.science/kb/RAK_6000020	3	Deep	2	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.77	7.77		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	3	Deep	7.401163248654631	569675.0	1
Trip 1	21	1	3PRr1	https://rubalkhali.science/kb/RAK_6000025	3	Rhizosphere	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.65	7.65		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	3	Rhizosphere	6.38308220002177	295697.0	1
Trip 1	24	1	4Sr1	https://rubalkhali.science/kb/RAK_6000031	4	Surface	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	8.02	8.02		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	4	Surface	6.332888782654392	641748.0	1
Trip 1	25	1	4Dr1	https://rubalkhali.science/kb/RAK_6000028	4	Deep	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.97	7.97		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	4	Deep	5.290081596005005	12168.0	1
Trip 1	28	1	4PRr1	https://rubalkhali.science/kb/RAK_6000034	4	Rhizosphere	1	2026-07-22T00:00:00	2026-07-22	accepted	Yes	96.1	10.06	7.93	7.93		True	True	True	True	True	ADMITTED_MEASUREMENT	True	True		1	4	Rhizosphere	6.003990519698318	961183.0	1
