normalized_sample_id	profile_a	profile_b	profile_a_retained_in_ecology	profile_b_retained_in_ecology	depth_a	depth_b	nonzero_features_a	nonzero_features_b	shared_nonzero_features	count_vectors_exactly_equal	pearson_count_correlation_on_union
F15PRr1	e0775_F15PRr1	e8427_F15PRr1	True	True	44056	54675	622	604	449	False	0.9706006213006245
F1PRr2	e0873_F1PRr2	e8374_F1PRr2	True	True	4027	68130	59	914	34	False	0.7646550590197715
F20Sr3	e0776_F20Sr3	e8385_F20Sr3	True	True	519118	335302	1864	1741	1635	False	0.9925620866997642
F24PRr3	e0777_F24PRr3	e8549_F24PRr3	True	True	135900	143523	1167	1212	964	False	0.9870014322694804
F31Sr2	e0778_F31Sr2	e8498_F31Sr2	True	True	346747	134337	2191	1531	1368	False	0.9921558948402774
F31Sr3	e0779_F31Sr3	e8510_F31Sr3	True	True	330334	201462	2116	1821	1614	False	0.9950039319659862
F33Dr1	e0780_F33Dr1	e8559_F33Dr1	True	True	638705	269610	2591	2067	1909	False	0.9980000033774917
F34Sr1	e0781_F34Sr1	e8603_F34Sr1	True	True	640860	383223	2556	2270	2066	False	0.9983241518330624
F40Dr3	e0782_F40Dr3	e8576_F40Dr3	True	True	527271	258240	2069	1721	1606	False	0.9981746021674256
F41Dr3	e0784_F41Dr3	e8588_F41Dr3	True	True	453018	322894	514	490	458	False	0.9994136239131467
F43Dr1	e0785_F43Dr1	e8590_F43Dr1	True	True	631922	358973	1556	1418	1332	False	0.9981234022732045
F47PRr1	e0787_F47PRr1	e8716_F47PRr1	True	True	164406	79406	67	66	65	False	0.9983658830378845
F48PRr3	e0788_F48PRr3	e8741_F48PRr3	True	True	171036	116046	250	246	240	False	0.9957280881236933
F51Sr3	e0789_F51Sr3	e8744_F51Sr3	True	True	283169	234138	659	656	600	False	0.996153011185026
F52Sr2	e0790_F52Sr2	e8745_F52Sr2	True	True	97694	68412	150	125	100	False	0.9981124079193266
F55Sr1	e0791_F55Sr1	e8670_F55Sr1	True	True	1060384	1171	506	59	6	False	-0.05178377415437535
F56Sr2	e0792_F56Sr2	e8644_F56Sr2	True	True	100406	72658	65	53	46	False	0.9997795717673396
F56Sr3	e0793_F56Sr3	e8651_F56Sr3	True	True	40862	10766	93	48	37	False	0.9983343389624155
F57Dr1	e0794_F57Dr1	e8656_F57Dr1	True	True	141218	46631	107	54	49	False	0.9997072818848082
F57Sr3	e0795_F57Sr3	e8673_F57Sr3	True	True	122158	74802	122	82	69	False	0.9998445313930077
F58Dr1	e0796_F58Dr1	e8662_F58Dr1	True	True	3571	6319	51	85	36	False	0.9911539868706638
F58Sr3	e0797_F58Sr3	e8646_F58Sr3	True	True	340345	188156	1927	1569	1432	False	0.991490106481368
F59Dr2	e0798_F59Dr2	e8668_F59Dr2	True	True	32260	13425	114	76	65	False	0.9956761750561525
F59PRr1	e0799_F59PRr1	e8659_F59PRr1	True	True	54837	15335	107	51	46	False	0.9976410499861893
F59Sr3	e0800_F59Sr3	e8654_F59Sr3	True	True	32805	19184	84	63	47	False	0.9988892682179594
F60PRr1	e0801_F60PRr1	e8664_F60PRr1	True	True	88416	32618	262	219	200	False	0.9958911732307909
F60PRr2	e0802_F60PRr2	e8666_F60PRr2	True	True	98782	78596	156	141	131	False	0.6716740830187453
F60Sr3	e0803_F60Sr3	e8660_F60Sr3	True	True	74139	29637	217	196	182	False	0.9895192112940373
T1Dr1	e0804_T1Dr1	e681_T1Dr1	True	False	1485	934	64	60	32	False	0.8545647109555458
