workflow	sample_id	trip	site	compartment	analyte	source_row_count	status_value_sequence	expected_primary_status	max_positive	mean_positive	median_positive	first_reported	last_reported	primary_status_value	current_rule	current_value	current_minus_primary_relative	primary_status_available
lab_t1_4	1Dr1	1	1	Deep	Cl	2	XRF 0:0.45;XRF 1:0.45	XRF 0	0.45	0.45	0.45	0.45	0.45	0.45	max_positive	0.45	0	true
lab_t1_4	1PRr1	1	1	Rhizosphere	Cl	2	XRF 0:0.12;XRF 1:0.12	XRF 0	0.12	0.12	0.12	0.12	0.12	0.12	max_positive	0.12	0	true
lab_t1_4	3PRr1	1	3	Rhizosphere	Cl	2	XRF 0:0.12;XRF 1:0.12	XRF 0	0.12	0.12	0.12	0.12	0.12	0.12	max_positive	0.12	0	true
lab_t1_4	7Dr1	1	7	Deep	Cl	2	XRF 0:0.18;XRF 1:0.18	XRF 0	0.18	0.18	0.18	0.18	0.18	0.18	max_positive	0.18	0	true
lab_t1_4	10Dr1	1	10	Deep	Cl	2	XRF 0:0.14;XRF 1:0.14	XRF 0	0.14	0.14	0.14	0.14	0.14	0.14	max_positive	0.14	0	true
lab_t1_4	16Dr1	1	16	Deep	Cl	2	XRF 0:0.1;XRF 1:0.1	XRF 0	0.1	0.1	0.1	0.1	0.1	0.1	max_positive	0.1	0	true
lab_t1_4	19Dr1	1	19	Deep	Cl	2	XRF 0:0.11;XRF 1:0.11	XRF 0	0.11	0.11	0.11	0.11	0.11	0.11	max_positive	0.11	0	true
lab_t1_4	22PRr1	1	22	Rhizosphere	Cl	2	XRF 0:0.12;XRF 1:0.12	XRF 0	0.12	0.12	0.12	0.12	0.12	0.12	max_positive	0.12	0	true
lab_t1_4	28PRr1	1	28	Rhizosphere	CeO2	1	XRF 2:0.37	XRF 1	0.37	0.37	0.37	0.37	0.37		max_positive	0.37		false
lab_t1_4	29PRr1	1	29	Rhizosphere	Nd2O3	1	XRF 2:0.31	XRF 1	0.31	0.31	0.31	0.31	0.31		max_positive	0.31		false
lab_t1_4	32Dr1	1	32	Deep	CeO2	1	XRF 2:0.59	XRF 1	0.59	0.59	0.59	0.59	0.59		max_positive	0.59		false
lab_t1_4	40Dr1	1	40	Deep	Cl	2	XRF 0:0.11;XRF 1:0.11	XRF 0	0.11	0.11	0.11	0.11	0.11	0.11	max_positive	0.11	0	true
lab_t1_4	40Sr1	1	40	Surface	Cl	2	XRF 0:3.22;XRF 1:3.22	XRF 0	3.22	3.22	3.22	3.22	3.22	3.22	max_positive	3.22	0	true
lab_t1_4	41PRr1	1	41	Rhizosphere	Cl	2	XRF 0:0.17;XRF 1:0.17	XRF 0	0.17	0.17	0.17	0.17	0.17	0.17	max_positive	0.17	0	true
lab_t1_4	41Sr1	1	41	Surface	Cl	2	XRF 0:3.12;XRF 1:3.12	XRF 0	3.12	3.12	3.12	3.12	3.12	3.12	max_positive	3.12	0	true
