workflow	analyte	formula_class	expected_primary_status	observed_statuses	sample_analyte_groups	groups_with_multiple_rows	groups_missing_primary_status	groups_current_differs_from_primary	current_rule	spearman_current_vs_primary	median_relative_difference	q95_absolute_relative_difference	median_relative_difference_among_changed	maximum_absolute_relative_difference	paired_groups
lab_t1_4	Al	element	XRF 0	XRF 0	547	0	0	0	max_positive	1	0	0		0	547
lab_t1_4	Al2O3	compound	XRF 1	XRF 1	540	0	0	0	max_positive	1	0	0		0	540
lab_t1_4	As	element	XRF 0	XRF 0	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	As2O3	compound	XRF 1	XRF 1	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	Ba	element	XRF 0	XRF 0	182	0	0	0	max_positive	1	0	0		0	182
lab_t1_4	BaO	compound	XRF 1	XRF 1,XRF 2,XRF 3	27	0	6	0	max_positive	1	0	0		0	21
lab_t1_4	Br	element	XRF 0	XRF 0,XRF 1	6	6	0	0	max_positive	1	0	0		0	6
lab_t1_4	Ca	element	XRF 0	XRF 0	547	0	0	0	max_positive	1	0	0		0	547
lab_t1_4	CaO	compound	XRF 1	XRF 1	541	0	0	0	max_positive	1	0	0		0	541
lab_t1_4	Ce	element	XRF 0	XRF 0	140	0	0	0	max_positive	1	0	0		0	140
lab_t1_4	CeO2	compound	XRF 1	XRF 1,XRF 2	34	0	12	0	max_positive	1	0	0		0	22
lab_t1_4	Cl	element	XRF 0	XRF 0,XRF 1	474	126	0	0	max_positive	1	0	0		0	474
lab_t1_4	Co	element	XRF 0	XRF 0	2	0	0	0	max_positive	1	0	0		0	2
lab_t1_4	CoO	compound	XRF 1	XRF 1	2	0	0	0	max_positive	1	0	0		0	2
lab_t1_4	Cr	element	XRF 0	XRF 0	295	0	0	0	max_positive	1	0	0		0	295
lab_t1_4	Cr2O3	compound	XRF 1	XRF 1,XRF 2	176	0	10	0	max_positive	1	0	0		0	166
lab_t1_4	Cs	element	XRF 0	XRF 0	3	0	0	0	max_positive	1	0	0		0	3
lab_t1_4	Cs2O	compound	XRF 1	XRF 1	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	Cu	element	XRF 0	XRF 0	23	0	0	0	max_positive	1	0	0		0	23
lab_t1_4	CuO	compound	XRF 1	XRF 1	23	0	0	0	max_positive	1	0	0		0	23
lab_t1_4	Dy	element	XRF 0	XRF 0	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	Eu	element	XRF 0	XRF 0	21	0	0	0	max_positive	1	0	0		0	21
lab_t1_4	Eu2O3	compound	XRF 1	XRF 1	8	0	0	0	max_positive	1	0	0		0	8
lab_t1_4	Fe	element	XRF 0	XRF 0	547	0	0	0	max_positive	1	0	0		0	547
lab_t1_4	Fe2O3	compound	XRF 1	XRF 1,XRF 2	547	0	3	0	max_positive	1	0	0		0	544
lab_t1_4	Ga	element	XRF 0	XRF 0	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	Ga2O3	compound	XRF 1	XRF 1	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	Gd	element	XRF 0	XRF 0	14	0	0	0	max_positive	1	0	0		0	14
lab_t1_4	Gd2O3	compound	XRF 1	XRF 1	3	0	0	0	max_positive	1	0	0		0	3
lab_t1_4	I	element	XRF 0	XRF 0,XRF 1	1	1	0	0	max_positive		0	0		0	1
lab_t1_4	K	element	XRF 0	XRF 0	546	0	0	0	max_positive	1	0	0		0	546
lab_t1_4	K2O	compound	XRF 1	XRF 1	536	0	0	0	max_positive	1	0	0		0	536
lab_t1_4	La	element	XRF 0	XRF 0	213	0	0	0	max_positive	1	0	0		0	213
lab_t1_4	La2O3	compound	XRF 1	XRF 1	15	0	0	0	max_positive	1	0	0		0	15
lab_t1_4	Mg	element	XRF 0	XRF 0	547	0	0	0	max_positive	1	0	0		0	547
lab_t1_4	MgO	compound	XRF 1	XRF 1	492	0	0	0	max_positive	1	0	0		0	492
lab_t1_4	Mn	element	XRF 0	XRF 0	121	0	0	0	max_positive	1	0	0		0	121
lab_t1_4	MnO	compound	XRF 1	XRF 1	102	0	0	0	max_positive	1	0	0		0	102
lab_t1_4	Mo	element	XRF 0	XRF 0	4	0	0	0	max_positive	1	0	0		0	4
lab_t1_4	MoO3	compound	XRF 1	XRF 1	4	0	0	0	max_positive	1	0	0		0	4
lab_t1_4	Na	element	XRF 0	XRF 0	530	0	0	0	max_positive	1	0	0		0	530
lab_t1_4	Na2O	compound	XRF 1	XRF 1	131	0	0	0	max_positive	1	0	0		0	131
lab_t1_4	Nb	element	XRF 0	XRF 0	2	0	0	0	max_positive	1	0	0		0	2
lab_t1_4	Nb2O5	compound	XRF 1	XRF 1	2	0	0	0	max_positive	1	0	0		0	2
lab_t1_4	Nd	element	XRF 0	XRF 0	208	0	0	0	max_positive	1	0	0		0	208
lab_t1_4	Nd2O3	compound	XRF 1	XRF 1,XRF 2	53	0	9	0	max_positive	1	0	0		0	44
lab_t1_4	Ni	element	XRF 0	XRF 0	5	0	0	0	max_positive	1	0	0		0	5
lab_t1_4	NiO	compound	XRF 1	XRF 1	5	0	0	0	max_positive	1	0	0		0	5
lab_t1_4	P	element	XRF 0	XRF 0	445	0	0	0	max_positive	1	0	0		0	445
lab_t1_4	P2O5	compound	XRF 1	XRF 1	97	0	0	0	max_positive	1	0	0		0	97
lab_t1_4	Pr	element	XRF 0	XRF 0	182	0	0	0	max_positive	1	0	0		0	182
lab_t1_4	Pr6O11	compound	XRF 1	XRF 1,XRF 2	11	0	1	0	max_positive	1	0	0		0	10
lab_t1_4	Rb	element	XRF 0	XRF 0	2	0	0	0	max_positive	1	0	0		0	2
lab_t1_4	Rb2O	compound	XRF 1	XRF 1	2	0	0	0	max_positive	1	0	0		0	2
lab_t1_4	S	element	XRF 0	XRF 0	488	0	0	0	max_positive	1	0	0		0	488
lab_t1_4	SO3	compound	XRF 1	XRF 1	187	0	0	0	max_positive	1	0	0		0	187
lab_t1_4	Sb	element	XRF 0	XRF 0	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	Sb2O3	compound	XRF 1	XRF 1	1	0	0	0	max_positive		0	0		0	1
lab_t1_4	Sc	element	XRF 0	XRF 0	298	0	0	0	max_positive	1	0	0		0	298
