sampleID	forwardReads	reverseReads	run	source_sample_name	biosample_accession	experiment_accession	library_name	bioproject	umbrella_project	campaign	compartment	is_control	in_ledger
T1Dr1	${EQ_READS_DIR}/ERR16061083_1.fastq.gz	${EQ_READS_DIR}/ERR16061083_2.fastq.gz	ERR16061083	T1Dr1	ERS28391676	ERX15451265	T1Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T1PRr3	${EQ_READS_DIR}/ERR16061084_1.fastq.gz	${EQ_READS_DIR}/ERR16061084_2.fastq.gz	ERR16061084	T1PRr3	ERS28391677	ERX15451266	T1PRr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T2Dr2	${EQ_READS_DIR}/ERR16061085_1.fastq.gz	${EQ_READS_DIR}/ERR16061085_2.fastq.gz	ERR16061085	T2Dr2	ERS28391678	ERX15451267	T2Dr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T2PRr3	${EQ_READS_DIR}/ERR16061086_1.fastq.gz	${EQ_READS_DIR}/ERR16061086_2.fastq.gz	ERR16061086	T2PRr3	ERS28391679	ERX15451268	T2PRr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T4PRr1	${EQ_READS_DIR}/ERR16061087_1.fastq.gz	${EQ_READS_DIR}/ERR16061087_2.fastq.gz	ERR16061087	T4PRr1	ERS28391680	ERX15451269	T4PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T4PRr2	${EQ_READS_DIR}/ERR16061088_1.fastq.gz	${EQ_READS_DIR}/ERR16061088_2.fastq.gz	ERR16061088	T4PRr2	ERS28391681	ERX15451270	T4PRr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T4Sr1	${EQ_READS_DIR}/ERR16061089_1.fastq.gz	${EQ_READS_DIR}/ERR16061089_2.fastq.gz	ERR16061089	T4Sr1	ERS28391682	ERX15451271	T4Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Surface	False	True
T5PRr1	${EQ_READS_DIR}/ERR16061090_1.fastq.gz	${EQ_READS_DIR}/ERR16061090_2.fastq.gz	ERR16061090	T5PRr1	ERS28391683	ERX15451272	T5PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T5Sr1	${EQ_READS_DIR}/ERR16061091_1.fastq.gz	${EQ_READS_DIR}/ERR16061091_2.fastq.gz	ERR16061091	T5Sr1	ERS28391684	ERX15451273	T5Sr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Surface	False	True
T5Sr2	${EQ_READS_DIR}/ERR16061092_1.fastq.gz	${EQ_READS_DIR}/ERR16061092_2.fastq.gz	ERR16061092	T5Sr2	ERS28391685	ERX15451274	T5Sr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Surface	False	True
T6Dr1	${EQ_READS_DIR}/ERR16061093_1.fastq.gz	${EQ_READS_DIR}/ERR16061093_2.fastq.gz	ERR16061093	T6Dr1	ERS28391686	ERX15451275	T6Dr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T6Dr2	${EQ_READS_DIR}/ERR16061094_1.fastq.gz	${EQ_READS_DIR}/ERR16061094_2.fastq.gz	ERR16061094	T6Dr2	ERS28391687	ERX15451276	T6Dr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T6PRr3	${EQ_READS_DIR}/ERR16061095_1.fastq.gz	${EQ_READS_DIR}/ERR16061095_2.fastq.gz	ERR16061095	T6PRr3	ERS28391688	ERX15451277	T6PRr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T6Sr3	${EQ_READS_DIR}/ERR16061096_1.fastq.gz	${EQ_READS_DIR}/ERR16061096_2.fastq.gz	ERR16061096	T6Sr3	ERS28391689	ERX15451278	T6Sr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Surface	False	True
T7Dr2	${EQ_READS_DIR}/ERR16061097_1.fastq.gz	${EQ_READS_DIR}/ERR16061097_2.fastq.gz	ERR16061097	T7Dr2	ERS28391690	ERX15451279	T7Dr2_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T7Dr3	${EQ_READS_DIR}/ERR16061098_1.fastq.gz	${EQ_READS_DIR}/ERR16061098_2.fastq.gz	ERR16061098	T7Dr3	ERS28391691	ERX15451280	T7Dr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T7PRr1	${EQ_READS_DIR}/ERR16061099_1.fastq.gz	${EQ_READS_DIR}/ERR16061099_2.fastq.gz	ERR16061099	T7PRr1	ERS28391692	ERX15451281	T7PRr1_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T7PRr3	${EQ_READS_DIR}/ERR16061100_1.fastq.gz	${EQ_READS_DIR}/ERR16061100_2.fastq.gz	ERR16061100	T7PRr3	ERS28391693	ERX15451282	T7PRr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T7Sr3	${EQ_READS_DIR}/ERR16061101_1.fastq.gz	${EQ_READS_DIR}/ERR16061101_2.fastq.gz	ERR16061101	T7Sr3	ERS28391694	ERX15451283	T7Sr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Surface	False	True
T8Dr3	${EQ_READS_DIR}/ERR16061102_1.fastq.gz	${EQ_READS_DIR}/ERR16061102_2.fastq.gz	ERR16061102	T8Dr3	ERS28391695	ERX15451284	T8Dr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T8PRr3	${EQ_READS_DIR}/ERR16061103_1.fastq.gz	${EQ_READS_DIR}/ERR16061103_2.fastq.gz	ERR16061103	T8PRr3	ERS28391696	ERX15451285	T8PRr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Rhizosphere	False	True
T8Sr3	${EQ_READS_DIR}/ERR16061104_1.fastq.gz	${EQ_READS_DIR}/ERR16061104_2.fastq.gz	ERR16061104	T8Sr3	ERS28391697	ERX15451286	T8Sr3_amp_lib1	PRJEB106069	PRJEB104209	Trip2	Surface	False	True
T1Dr1__lib2	${EQ_READS_DIR}/ERR16061168_1.fastq.gz	${EQ_READS_DIR}/ERR16061168_2.fastq.gz	ERR16061168	T1Dr1	ERS28391676	ERX15451350	T1Dr1_amp_lib2	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
T2Dr2__lib2	${EQ_READS_DIR}/ERR16061169_1.fastq.gz	${EQ_READS_DIR}/ERR16061169_2.fastq.gz	ERR16061169	T2Dr2	ERS28391678	ERX15451351	T2Dr2_amp_lib2	PRJEB106069	PRJEB104209	Trip2	Deep	False	True
