sampleID,forwardReads,reverseReads,run
T1Dr1,${EQ_READS_DIR}/ERR16061083_1.fastq.gz,${EQ_READS_DIR}/ERR16061083_2.fastq.gz,ERR16061083
T1PRr3,${EQ_READS_DIR}/ERR16061084_1.fastq.gz,${EQ_READS_DIR}/ERR16061084_2.fastq.gz,ERR16061084
T2Dr2,${EQ_READS_DIR}/ERR16061085_1.fastq.gz,${EQ_READS_DIR}/ERR16061085_2.fastq.gz,ERR16061085
T2PRr3,${EQ_READS_DIR}/ERR16061086_1.fastq.gz,${EQ_READS_DIR}/ERR16061086_2.fastq.gz,ERR16061086
T4PRr1,${EQ_READS_DIR}/ERR16061087_1.fastq.gz,${EQ_READS_DIR}/ERR16061087_2.fastq.gz,ERR16061087
T4PRr2,${EQ_READS_DIR}/ERR16061088_1.fastq.gz,${EQ_READS_DIR}/ERR16061088_2.fastq.gz,ERR16061088
T4Sr1,${EQ_READS_DIR}/ERR16061089_1.fastq.gz,${EQ_READS_DIR}/ERR16061089_2.fastq.gz,ERR16061089
T5PRr1,${EQ_READS_DIR}/ERR16061090_1.fastq.gz,${EQ_READS_DIR}/ERR16061090_2.fastq.gz,ERR16061090
T5Sr1,${EQ_READS_DIR}/ERR16061091_1.fastq.gz,${EQ_READS_DIR}/ERR16061091_2.fastq.gz,ERR16061091
T5Sr2,${EQ_READS_DIR}/ERR16061092_1.fastq.gz,${EQ_READS_DIR}/ERR16061092_2.fastq.gz,ERR16061092
T6Dr1,${EQ_READS_DIR}/ERR16061093_1.fastq.gz,${EQ_READS_DIR}/ERR16061093_2.fastq.gz,ERR16061093
T6Dr2,${EQ_READS_DIR}/ERR16061094_1.fastq.gz,${EQ_READS_DIR}/ERR16061094_2.fastq.gz,ERR16061094
T6PRr3,${EQ_READS_DIR}/ERR16061095_1.fastq.gz,${EQ_READS_DIR}/ERR16061095_2.fastq.gz,ERR16061095
T6Sr3,${EQ_READS_DIR}/ERR16061096_1.fastq.gz,${EQ_READS_DIR}/ERR16061096_2.fastq.gz,ERR16061096
T7Dr2,${EQ_READS_DIR}/ERR16061097_1.fastq.gz,${EQ_READS_DIR}/ERR16061097_2.fastq.gz,ERR16061097
T7Dr3,${EQ_READS_DIR}/ERR16061098_1.fastq.gz,${EQ_READS_DIR}/ERR16061098_2.fastq.gz,ERR16061098
T7PRr1,${EQ_READS_DIR}/ERR16061099_1.fastq.gz,${EQ_READS_DIR}/ERR16061099_2.fastq.gz,ERR16061099
T7PRr3,${EQ_READS_DIR}/ERR16061100_1.fastq.gz,${EQ_READS_DIR}/ERR16061100_2.fastq.gz,ERR16061100
T7Sr3,${EQ_READS_DIR}/ERR16061101_1.fastq.gz,${EQ_READS_DIR}/ERR16061101_2.fastq.gz,ERR16061101
T8Dr3,${EQ_READS_DIR}/ERR16061102_1.fastq.gz,${EQ_READS_DIR}/ERR16061102_2.fastq.gz,ERR16061102
T8PRr3,${EQ_READS_DIR}/ERR16061103_1.fastq.gz,${EQ_READS_DIR}/ERR16061103_2.fastq.gz,ERR16061103
T8Sr3,${EQ_READS_DIR}/ERR16061104_1.fastq.gz,${EQ_READS_DIR}/ERR16061104_2.fastq.gz,ERR16061104
T1Dr1__lib2,${EQ_READS_DIR}/ERR16061168_1.fastq.gz,${EQ_READS_DIR}/ERR16061168_2.fastq.gz,ERR16061168
T2Dr2__lib2,${EQ_READS_DIR}/ERR16061169_1.fastq.gz,${EQ_READS_DIR}/ERR16061169_2.fastq.gz,ERR16061169
T2PRr1,${EQ_READS_DIR}/ERR16061170_1.fastq.gz,${EQ_READS_DIR}/ERR16061170_2.fastq.gz,ERR16061170
T3Dr2,${EQ_READS_DIR}/ERR16061171_1.fastq.gz,${EQ_READS_DIR}/ERR16061171_2.fastq.gz,ERR16061171
T5Sr3,${EQ_READS_DIR}/ERR16061172_1.fastq.gz,${EQ_READS_DIR}/ERR16061172_2.fastq.gz,ERR16061172
T6PRr2,${EQ_READS_DIR}/ERR16061173_1.fastq.gz,${EQ_READS_DIR}/ERR16061173_2.fastq.gz,ERR16061173
T7PRr2,${EQ_READS_DIR}/ERR16061174_1.fastq.gz,${EQ_READS_DIR}/ERR16061174_2.fastq.gz,ERR16061174
T8Dr1,${EQ_READS_DIR}/ERR16061175_1.fastq.gz,${EQ_READS_DIR}/ERR16061175_2.fastq.gz,ERR16061175
T8PRr1,${EQ_READS_DIR}/ERR16061176_1.fastq.gz,${EQ_READS_DIR}/ERR16061176_2.fastq.gz,ERR16061176
T_Neg_Ctrl1,${EQ_READS_DIR}/ERR16061177_1.fastq.gz,${EQ_READS_DIR}/ERR16061177_2.fastq.gz,ERR16061177
T_Neg_Ctrl2,${EQ_READS_DIR}/ERR16061178_1.fastq.gz,${EQ_READS_DIR}/ERR16061178_2.fastq.gz,ERR16061178
S1Dr1,${EQ_READS_DIR}/ERR16061185_1.fastq.gz,${EQ_READS_DIR}/ERR16061185_2.fastq.gz,ERR16061185
S1PRr1,${EQ_READS_DIR}/ERR16061186_1.fastq.gz,${EQ_READS_DIR}/ERR16061186_2.fastq.gz,ERR16061186
S1Sr1,${EQ_READS_DIR}/ERR16061187_1.fastq.gz,${EQ_READS_DIR}/ERR16061187_2.fastq.gz,ERR16061187
S2Dr1,${EQ_READS_DIR}/ERR16061188_1.fastq.gz,${EQ_READS_DIR}/ERR16061188_2.fastq.gz,ERR16061188
S2Sr1,${EQ_READS_DIR}/ERR16061189_1.fastq.gz,${EQ_READS_DIR}/ERR16061189_2.fastq.gz,ERR16061189
S3Dr1,${EQ_READS_DIR}/ERR16061190_1.fastq.gz,${EQ_READS_DIR}/ERR16061190_2.fastq.gz,ERR16061190
S3PRr1,${EQ_READS_DIR}/ERR16061191_1.fastq.gz,${EQ_READS_DIR}/ERR16061191_2.fastq.gz,ERR16061191
S3Sr1,${EQ_READS_DIR}/ERR16061192_1.fastq.gz,${EQ_READS_DIR}/ERR16061192_2.fastq.gz,ERR16061192
S4Dr1,${EQ_READS_DIR}/ERR16061193_1.fastq.gz,${EQ_READS_DIR}/ERR16061193_2.fastq.gz,ERR16061193
S4PRr1,${EQ_READS_DIR}/ERR16061194_1.fastq.gz,${EQ_READS_DIR}/ERR16061194_2.fastq.gz,ERR16061194
S4Sr1,${EQ_READS_DIR}/ERR16061195_1.fastq.gz,${EQ_READS_DIR}/ERR16061195_2.fastq.gz,ERR16061195
S5Dr1,${EQ_READS_DIR}/ERR16061196_1.fastq.gz,${EQ_READS_DIR}/ERR16061196_2.fastq.gz,ERR16061196
S5PRr1,${EQ_READS_DIR}/ERR16061197_1.fastq.gz,${EQ_READS_DIR}/ERR16061197_2.fastq.gz,ERR16061197
S5Sr1,${EQ_READS_DIR}/ERR16061198_1.fastq.gz,${EQ_READS_DIR}/ERR16061198_2.fastq.gz,ERR16061198
S6Dr1,${EQ_READS_DIR}/ERR16061199_1.fastq.gz,${EQ_READS_DIR}/ERR16061199_2.fastq.gz,ERR16061199
S6PRr1,${EQ_READS_DIR}/ERR16061200_1.fastq.gz,${EQ_READS_DIR}/ERR16061200_2.fastq.gz,ERR16061200
S6Sr1,${EQ_READS_DIR}/ERR16061201_1.fastq.gz,${EQ_READS_DIR}/ERR16061201_2.fastq.gz,ERR16061201
S7Dr1,${EQ_READS_DIR}/ERR16061202_1.fastq.gz,${EQ_READS_DIR}/ERR16061202_2.fastq.gz,ERR16061202
S7PRr1,${EQ_READS_DIR}/ERR16061203_1.fastq.gz,${EQ_READS_DIR}/ERR16061203_2.fastq.gz,ERR16061203
