SiteID	TestID	LE	LE_error	Ag	Ag_error	Al	Al_error	Al2O3	Al2O3_error	As	As_error	Ba	Ba_error	BaO	BaO_error	Bi	Bi_error	Ca	Ca_error	CaO	CaO_error	Cd	Cd_error	Ce	Ce_error	CeO2	CeO2_error	Co	Co_error	CoO	CoO_error	Cr	Cr_error	Cr2O3	Cr2O3_error	Cu	Cu_error	CuO	CuO_error	Fe	Fe_error	Fe2O3	Fe2O3_error	Hg	Hg_error	K	K_error	K2O	K2O_error	La	La_error	La2O3	La2O3_error	Mg	Mg_error	MgO	MgO_error	Mn	Mn_error	MnO	MnO_error	Mo	Mo_error	Nb	Nb_error	Nd	Nd_error	Nd2O3	Nd2O3_error	Ni	Ni_error	NiO	NiO_error	P	P_error	P2O5	P2O5_error	Pb	Pb_error	PbO	PbO_error	Pr	Pr_error	PrO2	PrO2_error	Rb	Rb_error	S	S_error	SO3	SO3_error	Sb	Sb_error	Se	Se_error	Si	Si_error	SiO2	SiO2_error	Sn	Sn_error	Sr	Sr_error	SrO	SrO_error	Th	Th_error	Ti	Ti_error	TiO2	TiO2_error	U	U_error	V	V_error	V2O5	V2O5_error	W	W_error	Y	Y_error	Zn	Zn_error	ZnO	ZnO_error	Zr	Zr_error	ZrO2	ZrO2_error
2	5830	10.183900	0.102800	0.000000	0.002600	3.761300	0.081300	7.106976	0.153616	0.000000	0.000700	0.025900	0.002100	0.028917	0.002345	0.000000	0.003800	5.431700	0.027900	7.600035	0.039038	0.005300	0.001700	0.000000	0.075100	0.000000	0.092253	0.000000	0.004600	0.000000	0.005849	0.000000	0.008900	0.000000	0.013008	0.000000	0.002100	0.000000	0.002629	0.346700	0.008800	0.495677	0.012581	0.000000	0.002200	2.405700	0.026700	2.897906	0.032163	0.011500	0.003300	0.013486	0.003870	0.000000	0.303400	0.000000	0.503128	0.000000	0.033600	0.000000	0.043384	0.002100	0.000500	0.000000	0.000700	0.000000	0.158500	0.000000	0.184874	0.000000	0.002000	0.000000	0.002545	0.000000	0.008900	0.000000	0.020393	0.000000	0.000800	0.000000	0.000862	0.000000	0.125300	0.000000	0.153756	0.001000	0.000200	0.260700	0.023500	0.651020	0.058684	0.000000	0.006700	0.000000	0.000500	77.544300	0.118600	165.890521	0.253721	0.000000	0.004900	0.004800	0.000300	0.005676	0.000355	0.005000	0.000900	0.000000	0.021000	0.000000	0.035030	0.000000	0.001200	0.000000	0.016400	0.000000	0.029277	0.000000	0.002800	0.000000	0.000600	0.000000	0.001500	0.000000	0.001867	0.010300	0.000400	0.013913	0.000540
3	5832	74.476600	0.125700	0.000000	0.003900	3.058500	0.082200	5.779036	0.155317	0.000000	0.000400	0.006000	0.000800	0.006699	0.000893	0.000000	0.002200	0.879200	0.009600	1.230177	0.013432	0.000000	0.002100	0.005800	0.001600	0.007125	0.001965	0.000000	0.004800	0.000000	0.006103	0.000000	0.005100	0.000000	0.007454	0.002500	0.000800	0.003130	0.001001	1.431000	0.013700	2.045901	0.019587	0.000000	0.001100	0.898300	0.012700	1.082092	0.015298	0.004200	0.001200	0.004925	0.001407	0.000000	1.291100	0.000000	2.141031	0.034500	0.003200	0.044546	0.004132	0.001700	0.000300	0.000000	0.000400	0.000000	0.233600	0.000000	0.272471	0.005900	0.000800	0.007508	0.001018	0.000000	0.026000	0.000000	0.059576	0.000900	0.000300	0.000969	0.000323	0.000000	0.184900	0.000000	0.226891	0.002800	0.000200	0.217500	0.011200	0.543141	0.027969	0.000000	0.004100	0.000000	0.000300	18.695400	0.111300	39.995069	0.238104	0.000000	0.003000	0.009200	0.000200	0.010880	0.000237	0.003900	0.000600	0.251400	0.023500	0.419360	0.039200	0.000000	0.000600	0.000000	0.009600	0.000000	0.017138	0.000000	0.001500	0.000800	0.000200	0.004900	0.000600	0.006100	0.000747	0.009100	0.000300	0.012292	0.000405
4	5833	80.350700	0.111700	0.000000	0.005000	0.257900	0.055500	0.487302	0.104867	0.000000	0.000300	0.001900	0.000500	0.002121	0.000558	0.000000	0.002000	0.113500	0.005400	0.158809	0.007556	0.000000	0.001900	0.000000	0.137900	0.000000	0.169396	0.000000	0.001900	0.000000	0.002416	0.000000	0.004100	0.000000	0.005993	0.000000	0.000900	0.000000	0.001127	0.179000	0.004000	0.255916	0.005719	0.000000	0.000900	0.055300	0.009300	0.066614	0.011203	0.000000	0.110300	0.000000	0.129349	0.000000	1.662900	0.000000	2.757587	0.000000	0.114400	0.000000	0.147713	0.001700	0.000300	0.000000	0.000400	0.009500	0.002400	0.011081	0.002799	0.000000	0.000900	0.000000	0.001145	0.000000	0.031500	0.000000	0.072179	0.000000	0.000400	0.000000	0.000431	0.005700	0.001800	0.006994	0.002209	0.000600	0.000100	0.166800	0.010900	0.416533	0.027219	0.000000	0.003800	0.000000	0.000200	18.846100	0.102800	40.317462	0.219920	0.000000	0.002700	0.002500	0.000100	0.002957	0.000118	0.005000	0.000500	0.000000	0.066900	0.000000	0.111596	0.000000	0.000600	0.000000	0.007200	0.000000	0.012853	0.000000	0.001200	0.000000	0.000300	0.000000	0.000600	0.000000	0.000747	0.004100	0.000200	0.005538	0.000270
4	5835	71.665700	0.933600	0.000000	0.038400	0.000000	0.771200	0.000000	1.457182	0.000000	0.005000	0.000000	0.258500	0.000000	0.288615	0.000000	0.021200	26.193000	0.935400	36.649246	1.308812	0.025800	0.008400	0.000000	0.522700	0.000000	0.642085	0.000000	0.024700	0.000000	0.031406	0.000000	0.061000	0.000000	0.089158	0.000000	0.016300	0.000000	0.020404	0.342100	0.039300	0.489100	0.056187	0.000000	0.017300	0.000000	0.349700	0.000000	0.421249	0.001900	0.000600	0.002228	0.000704	0.000000	6.612400	0.000000	10.965343	0.159900	0.040700	0.206463	0.052552	0.015800	0.003200	0.000000	0.003700	0.000000	1.131900	0.000000	1.320248	0.000000	0.015600	0.000000	0.019853	0.000000	0.134100	0.000000	0.307277	0.000000	0.005900	0.000000	0.006355	0.000000	0.890700	0.000000	1.092978	0.000000	0.002500	0.642200	0.088700	1.603702	0.221502	0.000000	0.027600	0.000000	0.003900	0.895900	0.188100	1.916599	0.402402	0.000000	0.020400	0.057700	0.004000	0.068236	0.004730	0.000000	0.009600	0.000000	0.220400	0.000000	0.367649	0.000000	0.007100	0.000000	0.103200	0.000000	0.184233	0.000000	0.022500	0.000000	0.003400	0.000000	0.012300	0.000000	0.015311	0.000000	0.004200	0.000000	0.005673
5	5838	89.298400	0.091600	0.000000	0.007100	0.000000	0.482700	0.000000	0.912062	0.000000	0.000500	0.002400	0.000400	0.002680	0.000447	0.000000	0.003000	2.667900	0.026700	3.732926	0.037359	0.000000	0.002800	0.000000	0.184100	0.000000	0.226148	0.000000	0.005100	0.000000	0.006485	0.019000	0.005000	0.027770	0.007308	0.000000	0.001600	0.000000	0.002003	0.880600	0.013100	1.258994	0.018729	0.000000	0.001600	0.262300	0.014100	0.315967	0.016985	0.000000	0.146300	0.000000	0.171566	0.000000	3.910800	0.000000	6.485280	0.012800	0.003900	0.016527	0.005036	0.002800	0.000400	0.000000	0.000600	0.007200	0.002000	0.008398	0.002333	0.004100	0.001000	0.005218	0.001273	0.000000	0.079200	0.000000	0.181479	0.000000	0.000600	0.000000	0.000646	0.000000	0.303100	0.000000	0.371934	0.001800	0.000200	0.280600	0.015600	0.700714	0.038956	0.000000	0.005500	0.000000	0.000400	6.249300	0.083600	13.369127	0.178845	0.000000	0.003900	0.009300	0.000300	0.010998	0.000355	0.004900	0.000800	0.273200	0.031900	0.455725	0.053212	0.000000	0.000900	0.000000	0.013100	0.000000	0.023386	0.000000	0.002100	0.000900	0.000300	0.000000	0.001100	0.000000	0.001369	0.022700	0.000500	0.030663	0.000675
6	5839	64.411300	0.131300	0.000000	0.003000	1.713500	0.062000	3.237658	0.117149	0.000000	0.000400	0.013500	0.001200	0.015073	0.001340	0.000000	0.002200	2.076600	0.015100	2.905579	0.021128	0.000000	0.002100	0.000000	0.084000	0.000000	0.103186	0.000000	0.003500	0.000000	0.004450	0.000000	0.004900	0.000000	0.007162	0.000000	0.001100	0.000000	0.001377	0.699500	0.008600	1.000075	0.012295	0.000000	0.001100	0.780600	0.012100	0.940311	0.014576	0.000000	0.067000	0.000000	0.078571	0.000000	0.739600	0.000000	1.226479	0.018800	0.003000	0.024275	0.003874	0.002400	0.000300	0.000000	0.000400	0.016300	0.005400	0.019012	0.006299	0.000000	0.001100	0.000000	0.001400	0.000000	0.016100	0.000000	0.036892	0.000000	0.000400	0.000000	0.000431	0.000000	0.139800	0.000000	0.171549	0.001500	0.000100	0.143300	0.010700	0.357849	0.026720	0.000000	0.004200	0.000000	0.000300	29.838700	0.127300	63.833931	0.272333	0.000000	0.003000	0.006800	0.000200	0.008042	0.000237	0.004100	0.000600	0.252400	0.025000	0.421028	0.041703	0.000000	0.000700	0.000000	0.009500	0.000000	0.016959	0.000000	0.001400	0.000000	0.000400	0.001500	0.000500	0.001867	0.000622	0.019300	0.000300	0.026070	0.000405
7	5841	67.448100	0.126700	0.000000	0.003000	1.089200	0.056300	2.058043	0.106379	0.000000	0.000300	0.005100	0.001000	0.005694	0.001117	0.000000	0.002200	1.603600	0.012500	2.243757	0.017490	0.000000	0.002100	0.000000	0.089200	0.000000	0.109573	0.000000	0.003200	0.000000	0.004069	0.000000	0.004900	0.000000	0.007162	0.000000	0.001000	0.000000	0.001252	0.596500	0.007600	0.852816	0.010866	0.000000	0.001100	0.493800	0.010700	0.594831	0.012889	0.000000	0.071400	0.000000	0.083731	0.000000	0.806400	0.000000	1.337253	0.012100	0.002800	0.015624	0.003615	0.001700	0.000300	0.000000	0.000400	0.000000	0.187500	0.000000	0.218700	0.002600	0.000700	0.003309	0.000891	0.000000	0.017300	0.000000	0.039641	0.000000	0.000400	0.000000	0.000431	0.000000	0.148400	0.000000	0.182102	0.001100	0.000100	0.148400	0.010500	0.370584	0.026221	0.000000	0.004100	0.000000	0.000300	28.321900	0.122800	60.589041	0.262706	0.000000	0.002900	0.006200	0.000200	0.007332	0.000237	0.005600	0.000600	0.246900	0.024000	0.411854	0.040034	0.000000	0.000600	0.000000	0.009000	0.000000	0.016067	0.000000	0.001400	0.000000	0.000400	0.000000	0.000800	0.000000	0.000996	0.017300	0.000300	0.023369	0.000405
8	5845	86.829000	0.090700	0.000000	0.004700	0.258600	0.053700	0.488625	0.101466	0.000000	0.000300	0.002600	0.000600	0.002903	0.000670	0.000000	0.002000	0.877400	0.008400	1.227658	0.011753	0.003400	0.001100	0.003600	0.001200	0.004422	0.001474	0.000000	0.003800	0.000000	0.004832	0.017100	0.003200	0.024993	0.004677	0.000000	0.000900	0.000000	0.001127	1.035200	0.010300	1.480025	0.014726	0.000000	0.000900	0.212000	0.008100	0.255375	0.009757	0.003300	0.000900	0.003870	0.001055	0.000000	2.346600	0.000000	3.891367	0.023300	0.002700	0.030085	0.003486	0.001500	0.000300	0.000000	0.000400	0.000000	0.272800	0.000000	0.318194	0.000000	0.000900	0.000000	0.001145	0.000000	0.047700	0.000000	0.109300	0.000700	0.000200	0.000754	0.000215	0.000000	0.214800	0.000000	0.263581	0.001400	0.000100	0.170300	0.009000	0.425273	0.022475	0.000000	0.003700	0.000000	0.000200	10.069200	0.075500	21.541040	0.161517	0.000000	0.002700	0.010000	0.000200	0.011826	0.000237	0.004200	0.000500	0.438500	0.022900	0.731462	0.038199	0.000000	0.000600	0.000000	0.009400	0.000000	0.016781	0.000000	0.001200	0.000900	0.000200	0.001600	0.000400	0.001992	0.000498	0.036100	0.000400	0.048764	0.000540
9	5846	72.499700	0.131800	0.000000	0.003700	0.446300	0.057700	0.843284	0.109024	0.000000	0.000400	0.003800	0.000800	0.004243	0.000893	0.000000	0.002300	0.275900	0.007000	0.386039	0.009794	0.000000	0.002200	0.000000	0.103100	0.000000	0.126648	0.000000	0.002300	0.000000	0.002924	0.000000	0.004600	0.000000	0.006723	0.000000	0.001100	0.000000	0.001377	0.195300	0.004600	0.279220	0.006577	0.000000	0.001100	0.166000	0.011000	0.199964	0.013251	0.000000	0.082600	0.000000	0.096865	0.000000	0.863400	0.000000	1.431776	0.000000	0.088000	0.000000	0.113626	0.001700	0.000300	0.000000	0.000400	0.000000	0.213200	0.000000	0.248676	0.000000	0.001000	0.000000	0.001273	0.000000	0.024500	0.000000	0.056139	0.000000	0.000400	0.000000	0.000431	0.000000	0.169700	0.000000	0.208239	0.000600	0.000100	0.204500	0.012400	0.510677	0.030965	0.000000	0.004200	0.000000	0.000300	26.192200	0.126400	56.032973	0.270408	0.000000	0.003000	0.004600	0.000200	0.005440	0.000237	0.004800	0.000600	0.000000	0.050600	0.000000	0.084406	0.000000	0.000700	0.000000	0.008300	0.000000	0.014817	0.000000	0.001400	0.000000	0.000400	0.000000	0.000800	0.000000	0.000996	0.004700	0.000300	0.006349	0.000405
10	5847	84.227500	0.111100	0.000000	0.004900	0.000000	0.293200	0.000000	0.554001	0.000000	0.000400	0.001700	0.000500	0.001898	0.000558	0.000000	0.002400	0.252100	0.007500	0.352738	0.010494	0.000000	0.002300	0.003200	0.001100	0.003931	0.001351	0.000000	0.002400	0.000000	0.003052	0.000000	0.005200	0.000000	0.007600	0.000000	0.001200	0.000000	0.001502	0.172500	0.004600	0.246623	0.006577	0.000000	0.001200	0.050600	0.012300	0.060953	0.014817	0.003200	0.000800	0.003753	0.000938	0.000000	2.885700	0.000000	4.785356	0.000000	0.191000	0.000000	0.246619	0.001100	0.000300	0.000000	0.000500	0.007800	0.002500	0.009098	0.002916	0.000000	0.001100	0.000000	0.001400	0.000000	0.059000	0.000000	0.135193	0.000000	0.000500	0.000000	0.000539	0.000000	0.213600	0.000000	0.262109	0.000000	0.000300	0.148000	0.015000	0.369586	0.037458	0.000000	0.004600	0.000000	0.000300	15.122900	0.110300	32.352420	0.235965	0.000000	0.003300	0.002100	0.000200	0.002483	0.000237	0.004200	0.000600	0.000000	0.113000	0.000000	0.188495	0.000000	0.000700	0.000000	0.009100	0.000000	0.016245	0.000000	0.001600	0.000000	0.000400	0.000000	0.000800	0.000000	0.000996	0.003100	0.000300	0.004187	0.000405
