Site	Latitude	Longitude	CenterDate	StartDate	EndDate	AnnualMeanTemp	AnnualTotalPrecip	AnnualTotalRain
1	19.149770555555556	45.166511388888885	2024-02-17	2023-08-17	2024-08-17	27.20314	19.999998	19.999998
2	19.203468333333333	45.2447675	2024-02-17	2023-08-17	2024-08-17	27.459967	26.3	26.3
3	19.301079444444444	45.384414166666666	2024-02-17	2023-08-17	2024-08-17	28.00714	25.800001	25.800001
4	19.379571666666667	45.55182694444444	2024-02-17	2023-08-17	2024-08-17	28.43002	28.7	28.7
5	19.407155277777775	45.659501388888884	2024-02-17	2023-08-17	2024-08-17	28.607409	33.199997	33.199997
6	19.405739166666667	45.8161425	2024-02-17	2023-08-17	2024-08-17	28.403341	39.0	39.0
7	19.407005277777778	45.953943611111114	2024-02-17	2023-08-17	2024-08-17	28.499453	30.800001	30.800001
8	19.393154166666665	46.110734722222226	2024-02-17	2023-08-17	2024-08-17	28.619974	31.699999	31.699999
9	19.411200277777777	46.30267361111111	2024-02-17	2023-08-17	2024-08-17	28.689562	47.3	47.3
10	19.420469722222222	46.460795277777784	2024-02-17	2023-08-17	2024-08-17	28.8401	33.600002	33.600002
11	19.44435222222222	46.6356325	2024-02-17	2023-08-17	2024-08-17	29.131605	38.899998	38.899998
12	19.47793361111111	46.83437333333334	2024-02-17	2023-08-17	2024-08-17	29.21883	44.800003	44.800003
13	19.52934611111111	47.053284444444444	2024-02-17	2023-08-17	2024-08-17	29.497555	31.900002	31.900002
14	19.581338055555555	47.2920225	2024-02-17	2023-08-17	2024-08-17	29.458452	24.3	24.3
15	19.613749722222224	47.47587194444445	2024-02-17	2023-08-17	2024-08-17	29.768162	24.6	24.6
16	19.644455833333332	47.62611861111111	2024-02-17	2023-08-17	2024-08-17	29.865852	30.7	30.7
17	19.676460000000002	47.82730555555556	2024-02-18	2023-08-18	2024-08-18	29.871506	26.3	26.3
18	19.732518055555555	48.046860555555554	2024-02-18	2023-08-18	2024-08-18	30.033829	34.4	34.4
19	19.81231916666667	48.24049472222222	2024-02-18	2023-08-18	2024-08-18	30.070446	32.2	32.2
20	19.869310833333333	48.42464444444444	2024-02-18	2023-08-18	2024-08-18	30.085333	27.399998	27.399998
21	19.9011325	48.48646388888889	2024-02-18	2023-08-18	2024-08-18	29.884926	27.199999	27.199999
22	19.97866972222222	48.63943555555556	2024-02-18	2023-08-18	2024-08-18	30.03892	26.800001	26.800001
23	20.049265555555557	48.773331388888884	2024-02-18	2023-08-18	2024-08-18	29.958872	31.799997	31.799997
24	20.09273861111111	48.89939527777778	2024-02-18	2023-08-18	2024-08-18	29.864233	42.3	42.3
25	20.100259722222223	48.95421972222223	2024-02-18	2023-08-18	2024-08-18	29.948734	42.3	42.3
26	20.148753888888887	49.07873861111111	2024-02-18	2023-08-18	2024-08-18	29.94526	32.5	32.5
27	20.2038574	49.1959834	2024-02-18	2023-08-18	2024-08-18	30.030502	31.400002	31.400002
28	20.24376861111111	49.37088472222222	2024-02-18	2023-08-18	2024-08-18	30.030834	31.9	31.9
29	20.2597976	49.5675445	2024-02-18	2023-08-18	2024-08-18	29.993267	40.3	40.3
30	20.269303055555554	49.68367333333333	2024-02-19	2023-08-19	2024-08-19	30.11725	34.4	34.4
31	20.294623333333334	49.891405	2024-02-19	2023-08-19	2024-08-19	30.236141	37.7	37.7
32	20.310684166666668	50.09302138888889	2024-02-19	2023-08-19	2024-08-19	30.433023	34.1	34.1
33	20.317507777777777	50.30307027777778	2024-02-19	2023-08-19	2024-08-19	30.42899	68.299995	68.299995
34	20.344394444444443	50.5153725	2024-02-19	2023-08-19	2024-08-19	30.572643	55.6	55.6
35	20.371795833333334	50.72999222222222	2024-02-19	2023-08-19	2024-08-19	30.558527	74.700005	74.700005
36	20.42319	51.14483	2024-02-19	2023-08-19	2024-08-19	30.519632	53.9	53.9
37	20.454150277777778	51.344883333333335	2024-02-19	2023-08-19	2024-08-19	30.542004	44.600002	44.600002
