Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	40.3	XRF 0	Si KA1-HR-Tr	21.36	40.3	0.0245		17.4 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.3536	33	0.476		20.1 um	1.23	24.16								
Al	13	2.5	XRF 0	Al KA1-HR-Tr	1.082	2.5	0.109		12.4 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.06962	13	1.07		13.9 um	1.38	23.44								
K	19	1.9	XRF 0	K  KA1-HR-Tr	1.942	1.9	0.0812		34 um	1.03	19.06	K  KB1-HR-Tr	0.1908	1.6	0.648		42 um	1.02	19.06								
Ca	20	1.2	XRF 0	Ca KA1-HR-Tr	1.232	1.2	0.255		43 um	1.02	20	Ca KB1-HR-Tr	0.2921	2.2	0.209		54 um	1.02	20								
P	15	0.94	XRF 0	P  KA1-HR-Tr	0.4249	0.94	0.174		9.2 um	1.18	22.22																
Mg	12	0.8	XRF 0	Mg KA1-HR-Tr	0.3134	0.8	0.202		8.0 um	1.75	23.78																
Fe	26	0.613	XRF 0	Fe KA1-HR-Tr	4.431	0.613	0.0558	57.5 PPM	191 um	1	21.51	Fe KB1-HR-Tr	0.7981	0.57	0.154	316.1 PPM	253 um	1	21.51								
Ti	22	0.2	XRF 0	Ti KA1-HR-Tr	0.2562	0.2	0.224		72 um	1.01	21.32	Ti KB1-HR-Tr	0.02192	0.004	1.91		92 um	1.01	21.32								
Cl	17	0.17	XRF 0	Cl KA1-HR-Tr	0.09753	0.17	0.362		17.8 um	1.08	22.22																
S	16	0.045	XRF 0	S  KA1-HR-Tr	0.03992	0.045	1.42		12.5 um	1.12	22.22																
V	23	0.044	XRF 0	V  KA1-HR-Tr	0.08355	0.044	0.979		93 um	1.01	21.32																
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
																											
																											
																											
																											
																											
																											
																											
																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	86.2	XRF 1	Si KA1-HR-Tr	21.36	86.2	0.0245		17.4 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.3536	71	0.476		20.1 um	1.23	24.16								
Al2O3	13	4.7	XRF 1	Al KA1-HR-Tr	1.082	4.7	0.109		12.4 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.06962	25	1.07		13.9 um	1.38	23.44								
K2O	19	2.3	XRF 1	K  KA1-HR-Tr	1.942	2.3	0.0812		34 um	1.03	19.06	K  KB1-HR-Tr	0.1908	1.9	0.648		42 um	1.02	19.06								
P2O5	15	2.2	XRF 1	P  KA1-HR-Tr	0.4249	2.2	0.174		9.2 um	1.18	22.22																
CaO	20	1.7	XRF 1	Ca KA1-HR-Tr	1.232	1.7	0.255		43 um	1.02	20	Ca KB1-HR-Tr	0.2921	3.1	0.209		54 um	1.02	20								
MgO	12	1.3	XRF 1	Mg KA1-HR-Tr	0.3134	1.3	0.202		8.0 um	1.75	23.78																
Fe2O3	26	0.877	XRF 1	Fe KA1-HR-Tr	4.431	0.877	0.0558	82.2 PPM	191 um	1	21.51	Fe KB1-HR-Tr	0.7981	0.82	0.154	451.9 PPM	253 um	1	21.51								
TiO2	22	0.33	XRF 1	Ti KA1-HR-Tr	0.2562	0.33	0.224		72 um	1.01	21.32	Ti KB1-HR-Tr	0.02192	0.006	1.91		92 um	1.01	21.32								
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
