Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
Si	14	21.4	XRF 0	Si KA1-HR-Tr	21.31	21.4	0.0245		34 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.2771	7.4	0.537		39 um	1.23	24.16								
Al	13	1.1	XRF 0	Al KA1-HR-Tr	1.009	1.1	0.113		24.0 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03913	3.7	0.572		27.0 um	1.38	23.44								
Ca	20	0.73	XRF 0	Ca KA1-HR-Tr	1.411	0.73	0.0952		86 um	1.02	20	Ca KB1-HR-Tr	0.1564	0.32	0.715		108 um	1.02	20								
K	19	0.41	XRF 0	K  KA1-HR-Tr	0.7867	0.41	0.319		66 um	1.03	19.06	K  KB1-HR-Tr	0.1421	0.34	0.3		82 um	1.02	19.06								
Mg	12	0.34	XRF 0	Mg KA1-HR-Tr	0.3044	0.34	0.205		15.5 um	1.75	23.78																
Na	11	0.3	XRF 0	Na KA1-HR-Tr	0.05048	0.3	0.504		9.6 um	2.5	32.61																
Fe	26	0.27	XRF 0	Fe KA1-HR-Tr	3.446	0.27	0.0633	26.0 PPM	0.38 mm	1	21.51	Fe KB1-HR-Tr	0.6419	0.08	0.168	135.3 PPM	0.50 mm	1	21.51								
P	15	0.18	XRF 0	P  KA1-HR-Tr	0.1868	0.18	0.262		17.6 um	1.18	22.22																
Ti	22	0.11	XRF 0	Ti KA1-HR-Tr	0.2598	0.11	0.555		142 um	1.01	21.32	Ti KB1-HR-Tr	0.09667	0.089	0.91		183 um	1.01	21.32								
Cl	17	0.11	XRF 0	Cl KA1-HR-Tr	0.1172	0.11	0.826		34 um	1.08	22.22																
V	23	0.025	XRF 0	V  KA1-HR-Tr	0.08328	0.025	0.98		185 um	1.01	21.32																
S	16	0.021	XRF 0	S  KA1-HR-Tr	0.03716	0.021	1.47		24.2 um	1.12	22.22																
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
																											
																											
																											
																											
																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	45.8	XRF 1	Si KA1-HR-Tr	21.31	45.8	0.0245		34 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.2771	16	0.537		39 um	1.23	24.16								
Al2O3	13	2.1	XRF 1	Al KA1-HR-Tr	1.009	2.1	0.113		24.0 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03913	7	0.572		27.0 um	1.38	23.44								
CaO	20	1	XRF 1	Ca KA1-HR-Tr	1.411	1	0.0952		86 um	1.02	20	Ca KB1-HR-Tr	0.1564	0.45	0.715		108 um	1.02	20								
MgO	12	0.57	XRF 1	Mg KA1-HR-Tr	0.3044	0.57	0.205		15.5 um	1.75	23.78																
K2O	19	0.49	XRF 1	K  KA1-HR-Tr	0.7867	0.49	0.319		66 um	1.03	19.06	K  KB1-HR-Tr	0.1421	0.41	0.3		82 um	1.02	19.06								
P2O5	15	0.42	XRF 1	P  KA1-HR-Tr	0.1868	0.42	0.262		17.6 um	1.18	22.22																
Fe2O3	26	0.38	XRF 1	Fe KA1-HR-Tr	3.446	0.38	0.0633	37.1 PPM	0.38 mm	1	21.51	Fe KB1-HR-Tr	0.6419	0.12	0.168	193.5 PPM	0.50 mm	1	21.51								
Material		Oxides	Input																								
Mode		He	Input																								
Diameter		8mm	Input																								
Method		Fast Screening-He8mm	Input																								
