V4Dr3 Fast Screening 																											
																											
Formula	Z	Concentration	Status	Line 1	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 2	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor	Line 3	Net int.	Calc. concentration	Stat. error	LLD	Analyzed layer	Foil correction	D.C. Factor
SiO2	14	58.6	XRF 1	Si KA1-HR-Tr	26.52	58.6	0.00635	86.0 PPM	24.6 um	1.27	24.16	Si KB1-HR-Tr/Ox	0.4514	34	0.124	0.00349	28.3 um	1.23	24.16								
Al2O3	13	4.01	XRF 1	Al KA1-HR-Tr	1.815	4.01	0.0244	82.8 PPM	17.9 um	1.43	23.44	Al KB1-HR-Tr/Ox	0.03978	7.5	0.409		20.1 um	1.38	23.44								
CaO	20	1.38	XRF 1	Ca KA1-HR-Tr	1.881	1.38	0.0238		64 um	1.02	20	Ca KB1-HR-Tr	0.2405	0.93	0.0666		81 um	1.02	20								
Fe2O3	26	0.788	XRF 1	Fe KA1-HR-Tr	6.742	0.788	0.0128	12.2 PPM	284 um	1	21.51	Fe KB1-HR-Tr	1.224	0.348	0.0326	73.0 PPM	0.38 mm	1	21.51								
MgO	12	0.78	XRF 1	Mg KA1-HR-Tr	0.3829	0.78	0.061	153.4 PPM	11.6 um	1.75	23.78																
K2O	19	0.763	XRF 1	K  KA1-HR-Tr	1.194	0.763	0.0301	23.4 PPM	49 um	1.03	19.06	K  KB1-HR-Tr	0.1486	0.56	0.0847		61 um	1.02	19.06								
Na2O	11	0.32	XRF 1	Na KA1-HR-Tr	0.03475	0.32	0.212	191.0 PPM	7.1 um	2.5	32.61																
TiO2	22	0.23	XRF 1	Ti KA1-HR-Tr	0.3088	0.23	0.0605	23.3 PPM	106 um	1.01	21.32	Ti KB1-HR-Tr	0.02816	0.08	0.644	162.1 PPM	136 um	1.01	21.32								
ZrO2	40	0.0753	XRF 1	Zr KA1-HR-Tr	3.556	0.0753	0.0229	4.3 PPM	3.8 mm	1	17.3	Zr KB1-HR-Tr	1.054	0.18	0.0677	23.6 PPM	5.4 mm	1	17.3	Zr LA1-HR	0.00638	0.031	1.02		13.5 um	1.17	22.22
P2O5	15	0.055	XRF 1	P  KA1-HR-Tr	0.02246	0.055	0.218		13.1 um	1.18	22.22																
