# Live Virtuoso state on `ws` (eq_virtuoso container) at the time of the benchmark.
# Inspected via: SELECT (COUNT(*) AS ?c) WHERE { ?s ?p ?o }
#            and SELECT ?g (COUNT(*) AS ?c) WHERE { GRAPH ?g { ?s ?p ?o } } GROUP BY ?g
graph	triples
total	36999338
https://rubalkhali.science/kb/	36934267
https://rubalkhali.science/taxonomy/	42406
https://rubalkhali.science/ontology/	17024
http://www.openlinksw.com/schemas/virtrdf#	2479
http://localhost:8890/DAV/	2983
http://www.w3.org/2002/07/owl#	160
http://www.w3.org/ns/ldp#	3
urn:activitystreams-owl:map	2
http://localhost:8890/sparql	14

# Notes:
# 1. Total live triples = ~37.0 M, matching the asserted base count
#    reported in 03_knowledge_representation.tex.
# 2. The paper's claim of "65.4 million triples after OWL-Horst
#    materialization" is NOT reflected in the live database: SYS_RDF_SCHEMA
#    contains only the default Virtuoso rule sets, no project-specific
#    rule set is bound, and load_data.sql contains no rule_set call or
#    materialization step. OWL-Horst inference is therefore neither
#    forward-chained on load nor backward-chained on query — until a
#    rule set is explicitly bound (see below).
# 3. After binding the ontology graph as a rule set with
#       DB.DBA.RDFS_RULE_SET ('rak', 'https://rubalkhali.science/ontology/');
#    the same SELECT (COUNT(*) ...) under DEFINE input:inference 'rak'
#    still returns 36 999 338 triples — Virtuoso applies the rule set as
#    backward-chaining at query time, it does not materialize new
#    triples into storage.
