proc	fastq	runLabel	lineage	taxon	taxonLabel	count	relativeAbundance
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Bacillales; Family: Planococcaceae; Genus: Domibacillus	http://purl.obolibrary.org/obo/NCBITaxon_1433999	Domibacillus	509.0	0.34276094276094277
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Bacillales; Family: Planococcaceae; Genus: Lysinibacillus	http://purl.obolibrary.org/obo/NCBITaxon_400634	Lysinibacillus	159.0	0.10707070707070707
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Pseudomonadota; Class: Alphaproteobacteria; Order: Hyphomicrobiales; Family: Beijerinckiaceae; Genus: Microvirga	https://rubalkhali.science/kb/RAK_CTX_8aac456003b5c841489d924b	Microvirga	100.0	0.06734006734006734
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Bacillales; Family: Bacillaceae; Genus: NA	https://rubalkhali.science/kb/RAK_CTX_23f681072c0c4917f9a822d4	unclassified genus in Bacillaceae	68.0	0.04579124579124579
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Paenibacillales; Family: Paenibacillaceae; Genus: Ammoniphilus	https://rubalkhali.science/kb/RAK_CTX_4b5dd2247c7b0221ed055ba2	Ammoniphilus	51.0	0.03434343434343434
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Paenibacillales; Family: Paenibacillaceae; Genus: Paenibacillus	https://rubalkhali.science/kb/RAK_CTX_11e3c84d14fe797dd95e43c1	Paenibacillus	48.0	0.03232323232323232
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Bacillales; Family: Bacillaceae; Genus: Metabacillus	http://purl.obolibrary.org/obo/NCBITaxon_2675233	Metabacillus	47.0	0.03164983164983165
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacteroidota; Class: Bacteroidia; Order: Chitinophagales; Family: Chitinophagaceae; Genus: NA	https://rubalkhali.science/kb/RAK_CTX_86351b30a42337b0d332420c	unclassified genus in Chitinophagaceae	43.0	0.028956228956228958
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Bacillales; Family: Bacillaceae; Genus: Bacillus	https://rubalkhali.science/kb/RAK_0010083	Bacillus	39.0	0.026262626262626262
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Myxococcota; Class: Myxococcia; Order: Myxococcales; Family: Myxococcaceae; Genus: NA	https://rubalkhali.science/kb/RAK_CTX_b20770da40ae118678fbca9d	unclassified genus in Myxococcaceae	29.0	0.019528619528619527
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Pseudomonadota; Class: Gammaproteobacteria; Order: Burkholderiales; Family: Comamonadaceae; Genus: NA	https://rubalkhali.science/kb/RAK_CTX_c7e8a2eeb09d181a1681d845	unclassified genus in Comamonadaceae	27.0	0.01818181818181818
https://rubalkhali.science/kb/RAK_P290651	https://rubalkhali.science/kb/RAK_7790001	FASTQ dataset for ERR16061083	Domain: Bacteria; Phylum: Bacillota; Class: Bacilli; Order: Bacillales; Family: Bacillaceae; Genus: Ectobacillus	http://purl.obolibrary.org/obo/NCBITaxon_2837502	Ectobacillus	25.0	0.016835016835016835
